text,intent
when should i start a manual alert message?,help.fall_alert.show
what will my aid do when i've fallen?,help.fall_alert.show
how would i cancel an alert message text message?,help.fall_alert.show
where would i send a manual alert text?,help.fall_alert.show
what sounds will i hear in my hearing aid if i fall?,help.fall_alert.show
what do i hear when an alert text message is received?,help.fall_alert.show
how would i intercept a manual alert text?,help.fall_alert.show
what sounds will i hear in my hearing aids if i fall?,help.fall_alert.show
where do i cancel a manual alert text?,help.fall_alert.show
when would i hear alert sent?,help.fall_alert.show
where would i intercept an alert message text?,help.fall_alert.show
where would i stop a fall alert?,help.fall_alert.show
how would i know if my manual alert has started?,help.fall_alert.show
how would i know if an alert text message is canceled?,help.fall_alert.show
where should i start a manual alert text message?,help.fall_alert.show
how do i enable auto alert?,help.fall_alert.show
how would i stop an alert?,help.fall_alert.show
when would i stop a manual alert text message?,help.fall_alert.show
when should i start a manual alert text?,help.fall_alert.show
how should i send a manual alert text?,help.fall_alert.show
where do i initiate a manual alert?,help.fall_alert.show
where should i initiate a manual alert?,help.fall_alert.show
where would i send a manual alert?,help.fall_alert.show
where would i initiate a manual alert text message?,help.fall_alert.show
how would i stop a fall alert?,help.fall_alert.show
where do i intercept a manual alert text message?,help.fall_alert.show
how could i initiate a manual alert?,help.fall_alert.show
when do i cancel an alert text message?,help.fall_alert.show
what can my hearing aid do when i fall?,help.fall_alert.show
where do i stop a fall alert message?,help.fall_alert.show
how do i create a contact for fall alert?,help.fall_alert.show
where could i send a manual alert?,help.fall_alert.show
help me intercept a fall alert,help.fall_alert.show
when would i stop an alert message?,help.fall_alert.show
what does alert sent mean?,help.fall_alert.show
how would i know if an alert was canceled?,help.fall_alert.show
where do i intercept an alert message text message?,help.fall_alert.show
where do i start a manual alert message?,help.fall_alert.show
how would i cancel a fall alert message?,help.fall_alert.show
where do i stop an alert text?,help.fall_alert.show
how would i know if a manual alert has been initiated?,help.fall_alert.show
how do i know if an alert text message is received?,help.fall_alert.show
how do i turn on auto alert?,help.fall_alert.show
when would i intercept a manual alert text message?,help.fall_alert.show
where do i intercept an alert message text?,help.fall_alert.show
how would i stop a fall alert text?,help.fall_alert.show
how can i demo my fall alert indicators?,help.fall_alert.show
how would i cancel an alert message text?,help.fall_alert.show
what do the fall indicators sound like?,help.fall_alert.show
when would i cancel a manual alert text message?,help.fall_alert.show
how would i stop an alert text?,help.fall_alert.show
what does my aids do when i fall?,help.fall_alert.show
where do i initiate a manual alert message?,help.fall_alert.show
help i fallen and i can't get up,help.fall_alert.show
what do my aids do when i've fallen?,help.fall_alert.show
how do i know if an alert text message is sent?,help.fall_alert.show
how would i intercept an alert message text message?,help.fall_alert.show
where do i stop an alert message text message?,help.fall_alert.show
where should i send a manual alert?,help.fall_alert.show
what can my aids do when i've fallen?,help.fall_alert.show
what are the fall detections,help.fall_alert.show
how should i start a manual alert message?,help.fall_alert.show
when do i intercept a fall alert text?,help.fall_alert.show
when would i start a manual alert?,help.fall_alert.show
when would i stop a text alert?,help.fall_alert.show
how do i set up fall detection,help.fall_alert.show
how would i cancel a manual alert text?,help.fall_alert.show
how would i send a manual alert text?,help.fall_alert.show
when do i intercept an alert?,help.fall_alert.show
what would i hear when an alert text message is canceled?,help.fall_alert.show
where do i stop a fall alert text?,help.fall_alert.show
what sounds will i hear if i fall?,help.fall_alert.show
when do i stop a manual alert message?,help.fall_alert.show
where would i intercept a fall alert message?,help.fall_alert.show
what do my hearing aids do when i've fallen?,help.fall_alert.show
when could i send a manual alert text message?,help.fall_alert.show
misplaced telephone,find.phone.locate
lost iphone,find.phone.locate
where is my android,find.phone.locate
search iphone,find.phone.locate
search for my phone,find.phone.locate
recover iphone,find.phone.locate
detect telephone,find.phone.locate
search android,find.phone.locate
where phone,find.phone.locate
find my device,find.phone.locate
