text,intent,v6_prediction,v6_confidence,v6_top2,v6_top2_confidence,v6_top3,v6_top3_confidence,v6_correct,v7_prediction,v7_confidence,v7_top2,v7_top2_confidence,v7_top3,v7_top3_confidence,v7_correct,change_category
where is my crowd settings,Help_MemoryOptions,29,0.1875462,42,0.10131114,23,0.092493035,False,Help_DeviceSettings,0.25274068,Help_AppSettings,0.17556165,Help_Customize,0.14365752,False,BOTH_WRONG_CHANGED
log the miles i just covered,Cmd.ActivityRun,8,0.18921733,4,0.14067869,2,0.13349842,False,Cmd.BatteryLevel,0.24055581,Cmd.ActivityRun,0.1621315,Cmd.ActivityCycle,0.12775497,False,BOTH_WRONG_CHANGED
load my normal configuration,Cmd.MemoryChange,42,0.18366107,21,0.16727512,29,0.08696777,False,Help_MemoryOptions,0.20392935,Help_AppSettings,0.1659083,Help_DeviceSettings,0.12601908,False,BOTH_WRONG_CHANGED
what level am i hearing aids,Default Fallback Intent,46,0.24442886,21,0.18901287,29,0.08414716,False,Help_SelfCheck,0.19700152,Help_DeviceSettings,0.11331068,Help_ThriveScore,0.07389495,False,BOTH_WRONG_CHANGED
what add-ons are available,Help_Accessories,38,0.30569085,23,0.14705423,53,0.12090365,False,Help_Home,0.27869037,Help_Accessories,0.15763734,Help_AppSettings,0.114134066,False,BOTH_WRONG_CHANGED
are my hearing aids getting low?,Cmd.BatteryLevel,29,0.23752503,52,0.22408319,48,0.14689228,False,Help_DeviceSettings,0.28274804,Help_Volume,0.21633928,Help_Tinnitus,0.1536927,False,BOTH_WRONG_CHANGED
how can i get the left hearing aid?,Help_SelfCheck,32,0.3361856,46,0.1187656,21,0.10714733,False,Help_FindMyHearingAids,0.27234358,Help_SelfCheck,0.22325282,Help_InsertDevice,0.107497744,False,BOTH_WRONG_CHANGED
how do i turn my radio music,Default Fallback Intent,21,0.4021676,29,0.15801883,13,0.08794531,False,Help_DeviceSettings,0.20908105,Default Fallback Intent,0.1930973,Cmd.StreamingStart,0.19304858,False,BOTH_WRONG_CHANGED
can only connect,Default Fallback Intent,21,0.4649183,43,0.26694816,38,0.04979664,False,Help_Pairing,0.5483869,Default Fallback Intent,0.0682251,Cmd.StreamingStart,0.047945827,False,BOTH_WRONG_CHANGED
how do i change to basic mode,Help_AppSettings,25,0.4413407,11,0.1325896,23,0.09941888,False,Help_ChangingMemories,0.3349795,Help_AppSettings,0.30505294,Cmd.MemoryChange,0.09596395,False,BOTH_WRONG_CHANGED
there's a constant buzzing in my head,Help_Tinnitus,21,0.8683422,27,0.012896013,29,0.011630412,False,Default Fallback Intent,0.38254914,Help_Tinnitus,0.11495059,Help_DeviceSettings,0.079262264,False,BOTH_WRONG_CHANGED
how do i change my phone contact,Help_FallAlert,43,0.36987317,9,0.21419156,12,0.16103427,False,Help_Pairing,0.41772783,Cmd.FindMyPhone,0.18336457,Cmd.SendMessage,0.14062361,False,BOTH_WRONG_CHANGED
what is memory,Help_ChangingMemories,42,0.44453207,11,0.20045164,25,0.14492363,False,Help_MemoryOptions,0.43822756,Cmd.MemoryChange,0.2437584,Help_ChangingMemories,0.18128957,False,BOTH_WRONG_CHANGED
how do i tune,Default Fallback Intent,27,0.397504,21,0.3062481,29,0.13186336,False,Help_Customize,0.43915367,Help_DeviceSettings,0.23582667,Default Fallback Intent,0.1416067,False,BOTH_WRONG_CHANGED
my aid keeps cutting out,Help_DeviceSettings,39,0.49295273,29,0.25162235,22,0.037234746,False,Help_InsertDevice,0.43368444,Help_DeviceSettings,0.4039986,Help_CleanCare,0.026818523,False,BOTH_WRONG_CHANGED
tone change,Help_DeviceSettings,21,0.4526486,17,0.16623911,11,0.10870214,False,Cmd.VolumeDecrease,0.27582055,Help_Customize,0.119106986,Cmd.VolumeIncrease,0.109007865,False,BOTH_WRONG_CHANGED
the television is blaring and i still miss the words,Help_Customize,21,0.91248137,10,0.007616538,20,0.007577371,False,Default Fallback Intent,0.30307436,Cmd.VolumeIncrease,0.21163823,Cmd.StreamingStart,0.082624964,False,BOTH_WRONG_CHANGED
how do i navigate,Help_Home,21,0.921154,38,0.05150898,7,0.0022960813,False,Default Fallback Intent,0.494737,Help_Home,0.44628254,Help_WhatsNew,0.006027282,False,BOTH_WRONG_CHANGED
do i put the earmold in first,Help_InsertDevice,21,0.72467035,39,0.100628264,54,0.014385014,False,Default Fallback Intent,0.36653036,Help_InsertDevice,0.31444559,Help_CleanCare,0.028851524,False,BOTH_WRONG_CHANGED
how do i know if my microphone is working?,Help_SelfCheck,22,0.5279986,29,0.16291499,46,0.055316422,False,Help_Accessories,0.42681777,Help_DeviceSettings,0.16571821,Help_SelfCheck,0.13842241,False,BOTH_WRONG_CHANGED
why can't i hear anything through,Help_Pairing,46,0.41944903,21,0.20797606,29,0.08151408,False,Help_SelfCheck,0.4814934,Help_DeviceSettings,0.098601304,Help_InsertDevice,0.05892779,False,BOTH_WRONG_CHANGED
how do i see my biking goals?,Help_Health,2,0.69562566,33,0.157483,0,0.020554477,False,Cmd.ActivityCycle,0.5122063,Help_Health,0.35644692,Cmd.ActivityAerobics,0.019654183,False,BOTH_WRONG_CHANGED
view my body and brain health,Help_Health,21,0.9827843,47,0.0020278364,38,0.0015579918,False,Default Fallback Intent,0.73372847,Help_ThriveScore,0.034598485,Help_Home,0.030409425,False,BOTH_WRONG_CHANGED
the dome won't stay put,Help_InsertDevice,21,0.87254894,39,0.012856327,38,0.011459899,False,Default Fallback Intent,0.56728023,Help_InsertDevice,0.09649704,Help_DeviceSettings,0.034621503,False,BOTH_WRONG_CHANGED
where do i go to do things,Help_Home,21,0.9217733,38,0.049535643,51,0.0018184178,False,Default Fallback Intent,0.48040873,Help_Home,0.44289795,Help_WhatsNew,0.007302946,False,BOTH_WRONG_CHANGED
patch the sound through to me,Cmd.StreamingStart,17,0.28212583,19,0.11257102,20,0.10176122,False,Cmd.VolumeDecrease,0.37557346,Cmd.VolumeIncrease,0.15388593,Cmd.VolumeUnmute,0.096439585,False,BOTH_WRONG_CHANGED
tick off my reminder,reminders.complete,55,0.71246153,56,0.17276932,44,0.020875817,False,reminders.add,0.59687334,reminders.complete,0.28135034,Help_Reminder,0.03844852,False,BOTH_WRONG_CHANGED
can you show me a quick start guide,Help_WhatsNew,38,0.580477,53,0.26078814,28,0.020955766,False,Help_Home,0.52623224,Help_WhatsNew,0.4125468,Help_DemoMode,0.012083409,False,BOTH_WRONG_CHANGED
show me a quick start guide,Help_WhatsNew,38,0.5730495,53,0.24511056,21,0.026890159,False,Help_Home,0.55379635,Help_WhatsNew,0.3826271,Help_DemoMode,0.009482935,False,BOTH_WRONG_CHANGED
turn on hearing aids,Cmd.VolumeUnmute,21,0.9783092,20,0.0035715967,8,0.002068975,False,Default Fallback Intent,0.5392316,Cmd.VolumeUnmute,0.27287707,Cmd.VolumeMute,0.024056068,False,BOTH_WRONG_CHANGED
