text,intent
Streaming,Cmd.StreamingStart
David Soul Alert,Default Fallback Intent
Siri,Default Fallback Intent
Pandora,Default Fallback Intent
Google,Default Fallback Intent
"Hey, Mark, okay.",Default Fallback Intent
please change to speech,Cmd.MemoryChange
please change to theater,Cmd.MemoryChange
can you change to theater,Cmd.MemoryChange
please change to tinnitus,Cmd.MemoryChange
please change to train,Cmd.MemoryChange
can you change to work,Cmd.MemoryChange
please switch to personal,Cmd.MemoryChange
please switch to restaurant,Cmd.MemoryChange
can you switch to restaurant,Cmd.MemoryChange
please switch to outdoors,Cmd.MemoryChange
can you switch to outdoors,Cmd.MemoryChange
please switch to meeting,Cmd.MemoryChange
can you switch to meeting,Cmd.MemoryChange
can you switch to crowd,Cmd.MemoryChange
please switch to car,Cmd.MemoryChange
can you switch to car,Cmd.MemoryChange
please switch to auditorium,Cmd.MemoryChange
can you switch to auditorium,Cmd.MemoryChange
please switch to music,Cmd.MemoryChange
can you switch to music,Cmd.MemoryChange
please switch to television,Cmd.MemoryChange
can you switch to television,Cmd.MemoryChange
please switch to mute,Cmd.MemoryChange
can you switch to mute,Cmd.MemoryChange
please switch to telephone,Cmd.MemoryChange
can you switch to telephone,Cmd.MemoryChange
please switch to automatic,Cmd.MemoryChange
can you switch to automatic,Cmd.MemoryChange
please switch to everyday,Cmd.MemoryChange
can you switch to everyday,Cmd.MemoryChange
please switch to golf,Cmd.MemoryChange
can you switch to golf,Cmd.MemoryChange
please switch to gym,Cmd.MemoryChange
can you switch to gym,Cmd.MemoryChange
please switch to home,Cmd.MemoryChange
can you switch to home,Cmd.MemoryChange
please switch to kitchen,Cmd.MemoryChange
can you switch to kitchen,Cmd.MemoryChange
please switch to master,Cmd.MemoryChange
can you switch to master,Cmd.MemoryChange
please switch to noise,Cmd.MemoryChange
can you switch to noise,Cmd.MemoryChange
please switch to office,Cmd.MemoryChange
can you switch to office,Cmd.MemoryChange
please switch to pub,Cmd.MemoryChange
can you switch to pub,Cmd.MemoryChange
please switch to quiet,Cmd.MemoryChange
can you switch to quiet,Cmd.MemoryChange
please switch to school,Cmd.MemoryChange
can you switch to school,Cmd.MemoryChange
please switch to speech,Cmd.MemoryChange
can you switch to speech,Cmd.MemoryChange
please switch to theater,Cmd.MemoryChange
can you switch to theater,Cmd.MemoryChange
please switch to tinnitus,Cmd.MemoryChange
can you switch to tinnitus,Cmd.MemoryChange
please switch to train,Cmd.MemoryChange
can you switch to train,Cmd.MemoryChange
please switch to work,Cmd.MemoryChange
can you switch to work,Cmd.MemoryChange
please switch to worship,Cmd.MemoryChange
can you switch to worship,Cmd.MemoryChange
please switch to program two,Cmd.MemoryChange
can you switch to program two,Cmd.MemoryChange
please switch to memory one,Cmd.MemoryChange
can you switch to memory one,Cmd.MemoryChange
please change to program one,Cmd.MemoryChange
can you change to program one,Cmd.MemoryChange
please change to memory two,Cmd.MemoryChange
can you change to memory two,Cmd.MemoryChange
please change settings to three,Cmd.MemoryChange
can you change settings to three,Cmd.MemoryChange
please switch program to four,Cmd.MemoryChange
can you switch program to four,Cmd.MemoryChange
please change memory to three,Cmd.MemoryChange
can you change memory to three,Cmd.MemoryChange
please change memory to one,Cmd.MemoryChange
can you change memory to one,Cmd.MemoryChange
please change program to one,Cmd.MemoryChange
can you change program to one,Cmd.MemoryChange
please change setting to one,Cmd.MemoryChange
can you change setting to one,Cmd.MemoryChange
please switch memory to one,Cmd.MemoryChange
can you switch memory to one,Cmd.MemoryChange
please switch program to one,Cmd.MemoryChange
can you switch program to one,Cmd.MemoryChange
please switch setting to one,Cmd.MemoryChange
can you switch setting to one,Cmd.MemoryChange
please set memory to one,Cmd.MemoryChange
can you set memory to one,Cmd.MemoryChange
please set program to one,Cmd.MemoryChange
can you set program to one,Cmd.MemoryChange
please set setting to one,Cmd.MemoryChange
can you set setting to one,Cmd.MemoryChange
can you program one,Cmd.MemoryChange
can you memory one,Cmd.MemoryChange
can you setting one,Cmd.MemoryChange
please change memory to two,Cmd.MemoryChange
can you change memory to two,Cmd.MemoryChange
please change program to two,Cmd.MemoryChange
can you change program to two,Cmd.MemoryChange
please change setting to two,Cmd.MemoryChange
can you change setting to two,Cmd.MemoryChange
please switch memory to two,Cmd.MemoryChange
can you switch memory to two,Cmd.MemoryChange
please switch program to two,Cmd.MemoryChange
can you switch program to two,Cmd.MemoryChange
please switch setting to two,Cmd.MemoryChange
can you switch setting to two,Cmd.MemoryChange
please set memory to two,Cmd.MemoryChange
can you set memory to two,Cmd.MemoryChange
please set program to two,Cmd.MemoryChange
can you set program to two,Cmd.MemoryChange
please set setting to two,Cmd.MemoryChange
can you set setting to two,Cmd.MemoryChange
can you program two,Cmd.MemoryChange
can you memory two,Cmd.MemoryChange
can you setting two,Cmd.MemoryChange
please change program to three,Cmd.MemoryChange
can you change program to three,Cmd.MemoryChange
please change setting to three,Cmd.MemoryChange
can you change setting to three,Cmd.MemoryChange
please switch memory to three,Cmd.MemoryChange
can you switch memory to three,Cmd.MemoryChange
please switch program to three,Cmd.MemoryChange
can you switch program to three,Cmd.MemoryChange
please switch setting to three,Cmd.MemoryChange
can you switch setting to three,Cmd.MemoryChange
please set memory to three,Cmd.MemoryChange
can you set memory to three,Cmd.MemoryChange
please set program to three,Cmd.MemoryChange
can you set program to three,Cmd.MemoryChange
please set setting to three,Cmd.MemoryChange
can you set setting to three,Cmd.MemoryChange
can you program three,Cmd.MemoryChange
can you memory three,Cmd.MemoryChange
can you setting three,Cmd.MemoryChange
please change memory to four,Cmd.MemoryChange
can you change memory to four,Cmd.MemoryChange
please change program to four,Cmd.MemoryChange
can you change program to four,Cmd.MemoryChange
please change setting to four,Cmd.MemoryChange
can you change setting to four,Cmd.MemoryChange
please switch memory to four,Cmd.MemoryChange
can you switch memory to four,Cmd.MemoryChange
please switch setting to four,Cmd.MemoryChange
can you switch setting to four,Cmd.MemoryChange
please set memory to four,Cmd.MemoryChange
can you set memory to four,Cmd.MemoryChange
please set program to four,Cmd.MemoryChange
can you set program to four,Cmd.MemoryChange
please set setting to four,Cmd.MemoryChange
can you set setting to four,Cmd.MemoryChange
can you program four,Cmd.MemoryChange
can you memory four,Cmd.MemoryChange
can you setting four,Cmd.MemoryChange
please switch to program number two,Cmd.MemoryChange
can you switch to program number two,Cmd.MemoryChange
please switch to memory number one,Cmd.MemoryChange
can you switch to memory number one,Cmd.MemoryChange
please change to program number one,Cmd.MemoryChange
can you change to program number one,Cmd.MemoryChange
please change to memory number two,Cmd.MemoryChange
can you change to memory number two,Cmd.MemoryChange
please change settings to number three,Cmd.MemoryChange
can you change settings to number three,Cmd.MemoryChange
please switch program to number four,Cmd.MemoryChange
can you switch program to number four,Cmd.MemoryChange
please change memory to number three,Cmd.MemoryChange
can you change memory to number three,Cmd.MemoryChange
please change memory to number one,Cmd.MemoryChange
can you change memory to number one,Cmd.MemoryChange
please change program to number one,Cmd.MemoryChange
can you change program to number one,Cmd.MemoryChange
please change setting to number one,Cmd.MemoryChange
can you change setting to number one,Cmd.MemoryChange
please switch memory to number one,Cmd.MemoryChange
can you switch memory to number one,Cmd.MemoryChange
please switch program to number one,Cmd.MemoryChange
can you switch program to number one,Cmd.MemoryChange
please switch setting to number one,Cmd.MemoryChange
can you switch setting to number one,Cmd.MemoryChange
please set memory to number one,Cmd.MemoryChange
can you set memory to number one,Cmd.MemoryChange
please set program to number one,Cmd.MemoryChange
can you set program to number one,Cmd.MemoryChange
please set setting to number one,Cmd.MemoryChange
can you set setting to number one,Cmd.MemoryChange
please program number one,Cmd.MemoryChange
can you program number one,Cmd.MemoryChange
please memory number one,Cmd.MemoryChange
can you memory number one,Cmd.MemoryChange
please setting number one,Cmd.MemoryChange
can you setting number one,Cmd.MemoryChange
please change memory to number two,Cmd.MemoryChange
can you change memory to number two,Cmd.MemoryChange
please change program to number two,Cmd.MemoryChange
can you change program to number two,Cmd.MemoryChange
please change setting to number two,Cmd.MemoryChange
can you change setting to number two,Cmd.MemoryChange
please switch memory to number two,Cmd.MemoryChange
can you switch memory to number two,Cmd.MemoryChange
please switch program to number two,Cmd.MemoryChange
can you switch program to number two,Cmd.MemoryChange
please switch setting to number two,Cmd.MemoryChange
can you switch setting to number two,Cmd.MemoryChange
please set memory to number two,Cmd.MemoryChange
can you set memory to number two,Cmd.MemoryChange
please set program to number two,Cmd.MemoryChange
can you set program to number two,Cmd.MemoryChange
please set setting to number two,Cmd.MemoryChange
can you set setting to number two,Cmd.MemoryChange
please program number two,Cmd.MemoryChange
can you program number two,Cmd.MemoryChange
please memory number two,Cmd.MemoryChange
can you memory number two,Cmd.MemoryChange
please setting number two,Cmd.MemoryChange
can you setting number two,Cmd.MemoryChange
please change program to number three,Cmd.MemoryChange
can you change program to number three,Cmd.MemoryChange
please change setting to number three,Cmd.MemoryChange
can you change setting to number three,Cmd.MemoryChange
please switch memory to number three,Cmd.MemoryChange
can you switch memory to number three,Cmd.MemoryChange
please switch program to number three,Cmd.MemoryChange
can you switch program to number three,Cmd.MemoryChange
please switch setting to number three,Cmd.MemoryChange
can you switch setting to number three,Cmd.MemoryChange
please set memory to number three,Cmd.MemoryChange
can you set memory to number three,Cmd.MemoryChange
please set program to number three,Cmd.MemoryChange
can you set program to number three,Cmd.MemoryChange
please set setting to number three,Cmd.MemoryChange
can you set setting to number three,Cmd.MemoryChange
please program number three,Cmd.MemoryChange
can you program number three,Cmd.MemoryChange
please memory number three,Cmd.MemoryChange
can you memory number three,Cmd.MemoryChange
please setting number three,Cmd.MemoryChange
can you setting number three,Cmd.MemoryChange
please change memory to number four,Cmd.MemoryChange
can you change memory to number four,Cmd.MemoryChange
please change program to number four,Cmd.MemoryChange
can you change program to number four,Cmd.MemoryChange
please change setting to number four,Cmd.MemoryChange
can you change setting to number four,Cmd.MemoryChange
please switch memory to number four,Cmd.MemoryChange
can you switch memory to number four,Cmd.MemoryChange
please switch setting to number four,Cmd.MemoryChange
can you switch setting to number four,Cmd.MemoryChange
please set memory to number four,Cmd.MemoryChange
can you set memory to number four,Cmd.MemoryChange
please set program to number four,Cmd.MemoryChange
can you set program to number four,Cmd.MemoryChange
please set setting to number four,Cmd.MemoryChange
can you set setting to number four,Cmd.MemoryChange
please program number four,Cmd.MemoryChange
can you program number four,Cmd.MemoryChange
please memory number four,Cmd.MemoryChange
can you memory number four,Cmd.MemoryChange
please setting number four,Cmd.MemoryChange
can you setting number four,Cmd.MemoryChange
android phone missing,Cmd.FindMyPhone
hearing aid volume off,Cmd.VolumeMute
what's the model of my aids?,Help_DeviceSettings
how do i share my status with a caregiver?,Help_HearShare
add a new reminder,reminders.add
how long do i have to stand,Cmd.ActivityStand
how do i access the app settings?,Help_AppSettings
how do i wash my hearing aid?,Help_CleanCare
where is the hearing aid model ?,Help_DeviceSettings
