text,intent
send an email,Default Fallback Intent
email my friend,Default Fallback Intent
send an email to John,Default Fallback Intent
write an email,Default Fallback Intent
send an email message,Default Fallback Intent
compose an email,Default Fallback Intent
send this by email,Default Fallback Intent
email this to my friend,Default Fallback Intent
can you send an email,Default Fallback Intent
send an email for me,Default Fallback Intent
turn on bluetooth,Default Fallback Intent
turn bluetooth on,Default Fallback Intent
enable bluetooth,Default Fallback Intent
connect to bluetooth,Default Fallback Intent
connect my phone to bluetooth,Default Fallback Intent
turn off bluetooth,Default Fallback Intent
connect to wifi,Default Fallback Intent
connect to wi fi,Default Fallback Intent
connect my phone to wifi,Default Fallback Intent
turn on wifi,Default Fallback Intent
enable wifi,Default Fallback Intent
disconnect from wifi,Default Fallback Intent
play some music,Default Fallback Intent
play music,Default Fallback Intent
play a song,Default Fallback Intent
play a movie,Default Fallback Intent
show me a funny video,Default Fallback Intent
play a funny video,Default Fallback Intent
what movie should I watch,Default Fallback Intent
tell me a song,Default Fallback Intent
pause the movie,Default Fallback Intent
stop the movie,Default Fallback Intent
play something,Default Fallback Intent
what are you doing,Default Fallback Intent
I don't know what I want,Default Fallback Intent
I don't know what to do,Default Fallback Intent
what should I do,Default Fallback Intent
what is going on,Default Fallback Intent
something happened yesterday,Default Fallback Intent
will it rain tomorrow,Default Fallback Intent
what is the temperature,Default Fallback Intent
is it hot outside,Default Fallback Intent
what is the capital of India,Default Fallback Intent
who invented the telephone,Default Fallback Intent
what is artificial intelligence,Default Fallback Intent
explain quantum physics,Default Fallback Intent
how do I cook rice,Default Fallback Intent
give me a pizza recipe,Default Fallback Intent
take me to the airport,Default Fallback Intent
open google maps,Default Fallback Intent
open instagram,Default Fallback Intent
call my friend,Default Fallback Intent
call my brother,Default Fallback Intent
stop,Default Fallback Intent
go,Default Fallback Intent
yes,Default Fallback Intent
no,Default Fallback Intent
maybe,Default Fallback Intent
sure,Default Fallback Intent
later,Default Fallback Intent
banana elephant blue,Default Fallback Intent
asdfghjkl,Default Fallback Intent
blah blah blah,Default Fallback Intent
12345,Default Fallback Intent
