row_number,text,true_intent,predicted_intent,true_id,predicted_id,correct,confidence
8086,the wind is ruining my hearing outside,Help_EdgeMode,Cmd.VolumeMute,30,19,0,0.11066414762573419
6571,switch listening modes,Cmd.MemoryChange,Default Fallback Intent,11,21,0,0.1195365367693793
1918,saturday,Default Fallback Intent,Cmd.TranscribeStart,21,15,0,0.12534654890975896
6886,how do i back up my profile,Help_HearingCareAnywhereConnect,Cmd.FindMyPhone,35,9,0,0.12545710428452073
8364,good morning,Default Fallback Intent,Cmd.VolumeUnmute,21,20,0,0.1293978636384199
6188,how do i set up audio streaming?,Help_DeviceSettings,Cmd.VolumeIncrease,29,18,0,0.13421360463387122
1854,how do i make chili,Default Fallback Intent,Help_FallAlert,21,31,0,0.13578499064278485
1856,how do i make chicken,Default Fallback Intent,Help_FallAlert,21,31,0,0.13578499064278485
1857,how do i make eggs,Default Fallback Intent,Help_FallAlert,21,31,0,0.13578499064278485
1858,how do i make lasagna,Default Fallback Intent,Help_FallAlert,21,31,0,0.13578499064278485
8113,how do i make coffee,Default Fallback Intent,Help_FallAlert,21,31,0,0.13578499064278485
8368,morning,Default Fallback Intent,Cmd.TranslationStart,21,16,0,0.13582672303841758
641,unmute the aids,Cmd.VolumeUnmute,Help_Pairing,20,43,0,0.13626294934953054
640,unmute the hearing aids,Cmd.VolumeUnmute,Help_Pairing,20,43,0,0.13856005499055432
6267,hearing aid device settings,Default Fallback Intent,Help_CleanCare,21,26,0,0.13908905605345143
4012,please i can’t get my hearing aid on,Help_InsertDevice,Help_CleanCare,39,26,0,0.13958846850652976
6540,lower the listening level,Cmd.VolumeDecrease,Cmd.VolumeIncrease,17,18,0,0.14097803207115084
2139,youtube videos,Default Fallback Intent,Cmd.VolumeDecrease,21,17,0,0.14157471381567516
494,how to setup geotagging,Help_MemoryOptions,Help_AppSettings,42,23,0,0.14569469346022312
2149,alexa,Default Fallback Intent,Help_HearShare,21,34,0,0.14598122879779238
2032,the stage sign,Default Fallback Intent,Help_RemoteProgramming,21,45,0,0.14601053754448423
4265,please bustling hearing aid,Default Fallback Intent,Help_Pairing,21,43,0,0.1467325672257589
8243,charge status,Cmd.BatteryLevel,Cmd.StreamingStart,8,13,0,0.14717549205197222
6726,kill the audio,Cmd.VolumeMute,Help_Tinnitus,19,48,0,0.14737435575231597
2707,switch to auditorium,Cmd.MemoryChange,Cmd.TranslationStart,11,16,0,0.1492845987849536
5546,please switch to automatic,Cmd.MemoryChange,reminders.complete,11,56,0,0.14968346528229215
8356,hey there,Default Fallback Intent,Cmd.VolumeIncrease,21,18,0,0.15052450429789854
6732,how do i cook rice,Default Fallback Intent,Help_AppSettings,21,23,0,0.15544390492583995
7955,can it translate two languages at once,Help_Translate,Help_MaskMode,50,41,0,0.15622093306785725
7455,nudge me to stretch in an hour,reminders.add,Help_HeartRateRecovery,55,37,0,0.15715216536885265
7376,what did my contacts send me,Cmd.ListenMessage,Cmd.FindMyPhone,10,9,0,0.15753691548792517
6288,give me so much i don't know it's another problem,Default Fallback Intent,Help_Tinnitus,21,48,0,0.15886076177306596
7024,i keep missing words,Cmd.VolumeIncrease,Cmd.VolumeUnmute,18,20,0,0.15967249488926877
2722,switch to school,Cmd.MemoryChange,Cmd.StreamingStart,11,13,0,0.16052309050601402
4315,can you alexa learn my voice,Default Fallback Intent,Help_HearingCareAnywhereConnect,21,35,0,0.1609447941977928
2667,master setting,Cmd.MemoryChange,Help_WiCROS,11,54,0,0.16161708648187906
3488,please remember to take medicine today at 5 p.m.,reminders.add,Help_InsertDevice,55,39,0,0.1621613031134272
6417,begin a walk,Cmd.ActivityWalk,Help_FindMyHearingAids,7,32,0,0.16281562268257938
2745,setting one,Cmd.MemoryChange,Cmd.VolumeIncrease,11,18,0,0.16364905836095878
6180,different kind of needs,Default Fallback Intent,Cmd.TranscribeStart,21,15,0,0.16597173307757834
1968,how can i find out what time it is,Default Fallback Intent,Help_AppSettings,21,23,0,0.1665519536801915
1545,how can i ask thrive to do things for me,Help_VoiceAssistant,Help_HeartRate,51,36,0,0.16701477850968668
8107,what should i watch tonight,Default Fallback Intent,Cmd.FindMyPhone,21,9,0,0.16786436832710352
2708,switch to music,Cmd.MemoryChange,Cmd.ActivityRun,11,4,0,0.16862502937796162
8394,bye bye,Default Fallback Intent,Help_FindMyHearingAids,21,32,0,0.1690240163143965
6784,the noise is unbearable,Cmd.VolumeDecrease,Help_Tinnitus,17,48,0,0.16942884771091765
6085,hearing aid not charging,Help_SelfCheck,Cmd.StreamingStart,46,13,0,0.17041283719275832
1177,how do i play notifications through my aids?,Help_DeviceSettings,Cmd.ListenMessage,29,10,0,0.17103313767705375
7264,going for a walk track it for me,Cmd.ActivityWalk,Default Fallback Intent,7,21,0,0.17371438290316357
2072,i need to program new stamping to my phone,Default Fallback Intent,Help_Tinnitus,21,48,0,0.17414314755042462
1567,mute,Cmd.VolumeMute,Help_Translate,19,50,0,0.17473870419050938
1840,ashes to ashes all fall down,Default Fallback Intent,Cmd.FindMyPhone,21,9,0,0.17488894016445003
4461,can you sausages after using my location,Default Fallback Intent,Cmd.FindMyPhone,21,9,0,0.1755094129947438
1942,alexa learn my voice,Default Fallback Intent,Help_VoiceAssistant,21,51,0,0.17617946536706064
2665,gym setting,Cmd.MemoryChange,Cmd.TranscribeStart,11,15,0,0.17628867731803963
7463,buzz me when it's time,reminders.add,Default Fallback Intent,55,21,0,0.17672354487083006
8413,wanted to say hello,Default Fallback Intent,Cmd.StreamingStart,21,13,0,0.17726233018935766
8266,what does each button do,Help_Home,Help_ThriveScore,38,47,0,0.17781182493955086
2195,sunday,Default Fallback Intent,Help_IntelliVoice,21,40,0,0.17788442479319475
7899,what is wicros,Help_WiCROS,Help_HearingCareAnywhereConnect,54,35,0,0.17808611880002523
8325,i need the setting for dining out,Cmd.MemoryChange,Cmd.FindMyPhone,11,9,0,0.17819406887191247
7794,help setting up voice control,Help_VoiceAssistant,Cmd.TranscribeStart,51,15,0,0.17882260807468497
7807,what's the right way to insert my aids,Help_InsertDevice,Help_MaskMode,39,41,0,0.17884924810657005
1146,how to create event,Help_Reminder,Cmd.TranscribeStart,44,15,0,0.1803079389762847
2696,change to school,Cmd.MemoryChange,Default Fallback Intent,11,21,0,0.18084740659464676
2703,switch to personal,Cmd.MemoryChange,Cmd.TranscribeStart,11,15,0,0.1811078801511399
1560,mute the hearing aids,Cmd.VolumeMute,Help_Volume,19,52,0,0.1835458170927689
4766,please have i biked an hour?,Cmd.ActivityCycle,Cmd.ActivityStand,2,5,0,0.18366238577695185
2672,school setting,Cmd.MemoryChange,Help_HearShare,11,34,0,0.183801194021865
8153,am i good on batteries,Cmd.BatteryLevel,Cmd.ActivityAerobics,8,0,0,0.18420982123007779
4596,can you i got a ton of recommendation completely wireless,Default Fallback Intent,Help_HeartRate,21,36,0,0.18459502503978648
7516,adjust each ear's volume separately,Help_Volume,Default Fallback Intent,52,21,0,0.1853502808349245
7460,set an alert so i don't miss it,reminders.add,Cmd.FindMyPhone,55,9,0,0.1855335289808429
6646,i need to notify someone,Cmd.SendMessage,Help_DeviceSettings,12,29,0,0.18579311045656244
1932,hey find me a way to white oaks mall,Default Fallback Intent,Cmd.SendMessage,21,12,0,0.18582366113554813
1155,reminder user guide,Help_Reminder,Help_HeartRateRecovery,44,37,0,0.1862800662040064
1175,help with device settings,Help_DeviceSettings,Help_MemoryOptions,29,42,0,0.18705532282856382
7431,begin translating for me,Cmd.TranslationStart,Cmd.ListenMessage,16,10,0,0.1879201485873381
2168,how long do hearing aids last,Default Fallback Intent,Help_FindMyHearingAids,21,32,0,0.1880419384212721
6582,do i need to recharge them?,Cmd.BatteryLevel,Cmd.ListenMessage,8,10,0,0.18805487972067989
7534,explain switching my hearing modes,Help_ChangingMemories,Cmd.SendMessage,25,12,0,0.18853399114027014
2819,setting number four,Cmd.MemoryChange,Cmd.ListenMessage,11,10,0,0.18931595058259887
964,remind flight at 6 a.m.,reminders.add,Help_EdgeMode,55,30,0,0.19010838253875495
5821,help for translate,Help_Translate,Help_RemoteProgramming,50,45,0,0.19024349516668765
2140,how do i hook up my watch,Default Fallback Intent,Help_FindMyHearingAids,21,32,0,0.19067222879865967
7667,run me through testing my hearing aids,Help_SelfCheck,Help_CleanCare,46,26,0,0.19104042790316966
783,how do i reconnect my left hearing aid,Help_Pairing,Help_Battery,43,24,0,0.19131991051261998
8206,i don't know what to do,Help_Home,Help_RemoteProgramming,38,45,0,0.1921537310286676
6572,go back to normal mode,Cmd.MemoryChange,Help_AppSettings,11,23,0,0.19301839841985322
4454,please hearing aids every time the stupid phone goes,Default Fallback Intent,Cmd.BatteryLevel,21,8,0,0.19328730618011639
6372,thursday,Default Fallback Intent,Help_IntelliVoice,21,40,0,0.19395767145580786
2671,quiet setting,Cmd.MemoryChange,Cmd.TranscribeStart,11,15,0,0.19511281295531865
404,play the microphone,Cmd.StreamingStart,Cmd.FindMyPhone,13,9,0,0.19516512837849953
904,remind me to pick up my prescription sunday at 5 p.m.,reminders.add,Help_InsertDevice,55,39,0,0.19629203904090164
2679,change to personal,Cmd.MemoryChange,Default Fallback Intent,11,21,0,0.19637066651846563
6760,tell my son i said hello,Cmd.SendMessage,Help_SelfCheck,12,46,0,0.1967496940650434
3284,can you enable right hearing aid,Cmd.VolumeUnmute,Cmd.VolumeIncrease,20,18,0,0.1968285560138828
995,remind me about the teacher meeting on friday,reminders.add,Help_Translate,55,50,0,0.19712263766394994
3296,can you unmute my hearing aids,Cmd.VolumeUnmute,Help_DeviceSettings,20,29,0,0.19735940150418502
1054,i want to connect to my audiologist,Help_RemoteProgramming,Help_FindMyHearingAids,45,32,0,0.19831593173764342
7022,amplify the sound for me,Cmd.VolumeIncrease,Help_DeviceSettings,18,29,0,0.19877559399346967
3493,please remember to take medication today at 5 p.m.,reminders.add,Default Fallback Intent,55,21,0,0.19926864638937006
4385,please just like siri,Default Fallback Intent,Cmd.ListenMessage,21,10,0,0.1997305200124606
6560,move me back to my normal setting,Cmd.MemoryChange,Cmd.ListenMessage,11,10,0,0.19977835029398872
7713,sort out my device audio,Help_DeviceSettings,Default Fallback Intent,29,21,0,0.20043483743351498
384,calories standing,Cmd.ActivityStand,Default Fallback Intent,5,21,0,0.2008306252120169
4502,can you talking about my daughter,Default Fallback Intent,Help_Home,21,38,0,0.2014299421455707
6274,do i have charleston,Default Fallback Intent,Help_DeviceSettings,21,29,0,0.20269142083749553
8276,text my family,Cmd.SendMessage,Help_Health,12,33,0,0.20281080506425375
5976,how can i see what my hearing aid can do,Help_DemoMode,Help_HearingCareAnywhereConnect,28,35,0,0.20309367125058403
2155,what is the weather today,Default Fallback Intent,Help_WiCROS,21,54,0,0.20359152397894667
7459,alert me when it's time to leave,reminders.add,Help_FindMyHearingAids,55,32,0,0.2041292432646389
1630,how far have i ran?,Cmd.ActivityRun,Help_DeviceSettings,4,29,0,0.20416756607792336
1634,how far have i jogged?,Cmd.ActivityRun,Help_DeviceSettings,4,29,0,0.20416756607792336
7293,how far have i cycled,Cmd.ActivityCycle,Help_DeviceSettings,2,29,0,0.20416756607792336
6723,i want silence,Cmd.VolumeDecrease,Cmd.FindMyPhone,17,9,0,0.2042673645506937
6563,change my hearing mode,Cmd.MemoryChange,Help_FindMyHearingAids,11,32,0,0.20432904461580872
1910,don't make any noise for a minute,Default Fallback Intent,Cmd.SendMessage,21,12,0,0.20445238710172506
7466,set an alert for my appointment,reminders.add,Cmd.FindMyPhone,55,9,0,0.20446176986539444
8327,dial in the mode for traffic noise,Cmd.MemoryChange,Help_MaskMode,11,41,0,0.2046028748754103
445,what are the new features for?,Help_WhatsNew,Help_Home,53,38,0,0.2051998689129671
2723,switch to speech,Cmd.MemoryChange,Cmd.TranscribeStart,11,15,0,0.2053415999188091
7912,help me get oriented,Help_Home,Cmd.FindMyPhone,38,9,0,0.20552053053248392
5931,show me how to put my hearing aid on,Help_InsertDevice,Help_ChangingMemories,39,25,0,0.20557632102232698
6876,how does telehear work,Help_HearingCareAnywhereConnect,Default Fallback Intent,35,21,0,0.20559502398861754
7911,i need a hand getting going,Help_Home,Default Fallback Intent,38,21,0,0.20686609241116066
1381,lower the level of my hearing aids,Cmd.VolumeDecrease,Help_CleanCare,17,26,0,0.20714421779591016
6670,enable streaming mode,Cmd.StreamingStart,Cmd.StreamingStop,13,14,0,0.20758850248463862
3481,please remember to visit my family on thanksgiving day,reminders.add,Help_SelfCheck,55,46,0,0.2079950090721337
1943,hey google,Default Fallback Intent,Cmd.SendMessage,21,12,0,0.20829444142635922
3090,can you intellivoice user guide,Help_IntelliVoice,Help_HeartRateRecovery,40,37,0,0.20854298404562474
7203,stop sending sound to my hearing aids,Cmd.StreamingStop,Help_DeviceSettings,14,29,0,0.20863512172769313
4336,can you turn on this is my life,Default Fallback Intent,Cmd.TranscribeStart,21,15,0,0.20898979278161225
7144,use the setting for outdoors,Cmd.MemoryChange,Help_DeviceSettings,11,29,0,0.20945476993891096
7987,help with the captioning feature,Help_Transcribe,Help_Tinnitus,49,48,0,0.20975455334491053
7490,help me understand volume settings,Help_Volume,Help_DeviceSettings,52,29,0,0.21014986884241973
7049,knock the sound back,Cmd.VolumeDecrease,Help_DeviceSettings,17,29,0,0.21033026903245355
2141,wow that's intense intense number,Default Fallback Intent,Cmd.TranscribeStart,21,15,0,0.21099775779220703
2167,"stream, youtube music.",Default Fallback Intent,Help_FindMyHearingAids,21,32,0,0.211184939769905
2628,speech memory,Cmd.MemoryChange,Help_FindMyHearingAids,11,32,0,0.21159500312267535
872,every day,reminders.add,Help_MaskMode,55,41,0,0.2117077548667305
1336,how do i reduce the background noise,Help_Customize,Help_AppSettings,27,23,0,0.21224499715540576
7139,change into the quiet mode,Cmd.MemoryChange,Help_Home,11,38,0,0.21287080451665882
2686,change to automatic,Cmd.MemoryChange,Default Fallback Intent,11,21,0,0.21298962695856555
8351,play the audio directly in my ears,Cmd.StreamingStart,Help_SelfCheck,13,46,0,0.21313887082709349
4335,please turn on this is my life,Default Fallback Intent,Cmd.VolumeUnmute,21,20,0,0.21330683264827605
8211,what's the overview,Help_Home,Default Fallback Intent,38,21,0,0.2133341930491434
2695,change to quiet,Cmd.MemoryChange,Cmd.VolumeUnmute,11,20,0,0.21345486248435883
595,where is the homepage,Help_Home,Help_Transcribe,38,49,0,0.21375695047390955
2674,theater setting,Cmd.MemoryChange,Help_MemoryOptions,11,42,0,0.21381822369267375
2161,sweet car,Default Fallback Intent,Help_SelfCheck,21,46,0,0.21397558859449214
1872,tell me a joke i need to be cheered up,Default Fallback Intent,Help_FindMyHearingAids,21,32,0,0.21403634276871833
