text,intent,prediction,confidence,word_count
log the miles i just covered,Cmd.ActivityRun,Cmd.BatteryLevel,0.17750394,6
how long have i been on my feet,Cmd.ActivityStand,Cmd.ActivityStep,0.28395465,8
when will these die on me,Cmd.BatteryLevel,Default Fallback Intent,0.18711919,6
should i plug them in soon,Cmd.BatteryLevel,Default Fallback Intent,0.34427312,6
got enough battery for a movie,Cmd.BatteryLevel,Default Fallback Intent,0.67962396,6
are my hearing aids getting low?,Cmd.BatteryLevel,Help_DeviceSettings,0.25422823,6
are my aids running low,Cmd.BatteryLevel,Help_DeviceSettings,0.31173125,5
tell me how much runtime is left,Cmd.BatteryLevel,Help_MemoryOptions,0.19316837,7
buzz my phone so i hear it,Cmd.FindMyPhone,Cmd.VolumeUnmute,0.17651704,7
i just walked into church,Cmd.MemoryChange,Default Fallback Intent,0.46030423,5
load my normal configuration,Cmd.MemoryChange,Help_MemoryOptions,0.19367743,4
fire off a text,Cmd.SendMessage,Default Fallback Intent,0.36094123,4
text a contact with my news,Cmd.SendMessage,Default Fallback Intent,0.45920807,6
patch the sound through to me,Cmd.StreamingStart,Cmd.VolumeDecrease,0.63004345,6
switch on translate mode,Cmd.TranslationStart,Cmd.MemoryChange,0.39858267,4
its lowd,Cmd.VolumeDecrease,Default Fallback Intent,0.69328547,2
conversations are slipping past me,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.5142789,5
my grandkids sound like whispers,Cmd.VolumeIncrease,Default Fallback Intent,0.21169779,5
cut all the sound,Cmd.VolumeMute,Cmd.VolumeDecrease,0.47276986,4
cut every bit of sound,Cmd.VolumeMute,Cmd.VolumeDecrease,0.6879821,5
turn mute on,Cmd.VolumeMute,Cmd.VolumeUnmute,0.70588756,3
not a peep please,Cmd.VolumeMute,Default Fallback Intent,0.9426115,4
turn on hearing aids,Cmd.VolumeUnmute,Default Fallback Intent,0.6660358,4
reset the hearing aids,Default Fallback Intent,Cmd.VolumeUnmute,0.34315604,4
how do i tune,Default Fallback Intent,Help_Customize,0.47578946,4
how do i turn my radio music,Default Fallback Intent,Help_DeviceSettings,0.35516167,7
can only connect,Default Fallback Intent,Help_Pairing,0.37193692,3
what level am i hearing aids,Default Fallback Intent,Help_SelfCheck,0.23552303,6
what add-ons are compatible,Help_Accessories,Help_DeviceSettings,0.2773274,4
what add-ons are available,Help_Accessories,Help_Home,0.24260876,4
switch to advanced mode in the app,Help_AppSettings,Cmd.MemoryChange,0.8371876,7
how do i change to basic mode,Help_AppSettings,Help_ChangingMemories,0.3984631,7
notification settings for the app,Help_AppSettings,Help_DeviceSettings,0.73476225,5
where do i buy new batteries,Help_Battery,Default Fallback Intent,0.4512648,6
rechargeable or disposable which is better,Help_Battery,Default Fallback Intent,0.8121024,6
how do i access my hearing aid programs?,Help_ChangingMemories,Help_MemoryOptions,0.32569468,8
