text,intent
Hoe lang heb ik aerobics gedaan?,Cmd.ActivityAerobics
Hoeveel minuten heb ik aerobics gedaan?,Cmd.ActivityAerobics
Hoeveel minuten heb ik aerobics uigevoerd?,Cmd.ActivityAerobics
Heb ik mijn aerobics doelstellingen gehaald?,Cmd.ActivityAerobics
Heb ik mijn aerobics doel gehaald?,Cmd.ActivityAerobics
Hoeveel munten heb ik een workout gedaan?,Cmd.ActivityAerobics
Kan je mijn aerobics doel laten zien?,Cmd.ActivityAerobics
Wat is mijn aerobics doel?,Cmd.ActivityAerobics
Hoeveel calorieën heb ik verbruikt tijdens aerobics?,Cmd.ActivityAerobics
Hoeveel calorieën heb ik verband tijdens aerobics?,Cmd.ActivityAerobics
Hoeveel calorieën heb ik verbrand met aerobics?,Cmd.ActivityAerobics
Hoeveel calorieën heb ik verbruikt met aerobics?,Cmd.ActivityAerobics
Hoeveel aerobics calorieën,Cmd.ActivityAerobics
aerobic calorieën,Cmd.ActivityAerobics
calorieën aerobics,Cmd.ActivityAerobics
verbrande calorieën vandaag,Cmd.ActivityCalories
verbrande calorieën vandaag,Cmd.ActivityCalories
Hoeveel calorieën heb ik vandaag verbrand?,Cmd.ActivityCalories
Hoeveel calorieën heb ik vandaag verbruikt,Cmd.ActivityCalories
calorieën tellen vandaag,Cmd.ActivityCalories
Hoeveel calorieën heb ik vandaag verbruikt,Cmd.ActivityCalories
Hoeveel verbrande calorieën vandaag,Cmd.ActivityCalories
calorieën tellen vandaag,Cmd.ActivityCalories
calorieën gebruikt vandaag,Cmd.ActivityCalories
verbruikte calorieën vandaag,Cmd.ActivityCalories
Hoe lang heb ik gefietst?,Cmd.ActivityCycle
Ben ik lang aan het fietsen geweest?,Cmd.ActivityCycle
Hoe lang heb ik gemountainbiked?,Cmd.ActivityCycle
Ben ik lang aan het moutainbiken geweest?,Cmd.ActivityCycle
Zit ik dicht bij mijn fiets doel?,Cmd.ActivityCycle
Is mijn fiets doel bijna gehaald?,Cmd.ActivityCycle
Hoe ver tot mijn fietsdoel bereikt is?,Cmd.ActivityCycle
Hoeveel minuten heb ik gefietst?,Cmd.ActivityCycle
Hoeveel minuten heb ik gemountainbiked?,Cmd.ActivityCycle
Heb ik een uur gefietst?,Cmd.ActivityCycle
Zit er al een uur fietsten op?,Cmd.ActivityCycle
Hoe ver heb ik gefietst?,Cmd.ActivityCycle
Heb ik ver gefietst?,Cmd.ActivityCycle
Hoe ver ben ik gaan fietsen?,Cmd.ActivityCycle
heb ik mijn fiets doel bereikt?,Cmd.ActivityCycle
Heb ik mijn fiets doelstelling gehaald?,Cmd.ActivityCycle
Wat is mijn fiets doel,Cmd.ActivityCycle
Wat is mijn doelstelling voor het fietsen?,Cmd.ActivityCycle
Laat mijn fiets doel zien,Cmd.ActivityCycle
Hoeveel calorieën heb ik tijdens het fietsen gebruikt?,Cmd.ActivityCycle
Hoeveel calorieën heb ik verbruikt tijdens het fietsen?,Cmd.ActivityCycle
Hoeveel calorieën heb ik verbrand tijdens het fietsen?,Cmd.ActivityCycle
Wat is mijn fiets doelstelling?,Cmd.ActivityCycle
Hoe lang heb ik gefietst deze week?,Cmd.ActivityCycle
Heb ik deze week veel gefietst?,Cmd.ActivityCycle
Heb ik deze week ver gefietst?,Cmd.ActivityCycle
Heb ik groete afstanden gefietst deze week?,Cmd.ActivityCycle
Hoeveel minuten heb ik gefietst deze week?,Cmd.ActivityCycle
Wat is het aantal fiets minuten voor deze week?,Cmd.ActivityCycle
Hoeveel heb ik gefietst deze maand?,Cmd.ActivityCycle
Heb ik veel gefietst deze maand?,Cmd.ActivityCycle
Wat zijn  mijn fietsprestaties deze week?,Cmd.ActivityCycle
Hoe lang heb ik gestaan?,Cmd.ActivityCycle
Hoeveel calorieën heb ik verbrand tijdens het fietsen,Cmd.ActivityCycle
Hoeveel calorieën heb ik verbruikt tijdens het fietsen,Cmd.ActivityCycle
Hoeveel fietscalorieën,Cmd.ActivityCycle
calorieën fietsen,Cmd.ActivityCycle
Hoe lang heb ik vandaag gesport?,Cmd.ActivityExercise
Hoe dicht ben ik bij mijn sport doel?,Cmd.ActivityExercise
