text,intent
i need to cut the volume on my left aid,Cmd.VolumeMute
i need you to dismiss my latest reminder,reminders.complete
hey can you turn the right aid back on,Cmd.VolumeUnmute
"i need help, find my cellphone around here",Cmd.FindMyPhone
television memory,Cmd.MemoryChange
"hey, stream my computer to my hearing aids",Cmd.StreamingStart
can you switch to gym program,Cmd.MemoryChange
would you take both hearing aids off mute,Cmd.VolumeUnmute
help me ease down the volume on the right aid,Cmd.VolumeDecrease
hey can you mark my task as complete,reminders.complete
can you find phone,Cmd.FindMyPhone
i need help understanding what kind of reminders can i set,Help_Reminder
i want you to unlink phone calls,Cmd.StreamingStop
i want to disconnect my hearing aids from the microphone,Cmd.StreamingStop
please set reminder for tomorrow morning,reminders.add
would you connect to youtube and start streaming,Cmd.StreamingStart
can you please set an alarm to call the doctor every day at noon,reminders.add
i'd like you to connect to a phone call and start streaming,Cmd.StreamingStart
"ugh, help me find my handset somewhere",Cmd.FindMyPhone
"help me out, ring my android somewhere",Cmd.FindMyPhone
i'd like to silence the hearing aids,Cmd.VolumeMute
i'd like you to shut off the sound on my aids,Cmd.VolumeMute
hey can you switch off the sound on the left aid,Cmd.VolumeMute
"quick, ring my mobile phone",Cmd.FindMyPhone
set an alert for me,reminders.add
please turn my hearing aid back on,Cmd.VolumeUnmute
kindly turn the volume all the way down on both hearing aids,Cmd.VolumeMute
change my hearing aid program to pub,Cmd.MemoryChange
i would like to end the stream from a phone call,Cmd.StreamingStop
hey can you search for my mobile in the living room,Cmd.FindMyPhone
could you shut off the sound on my left aid,Cmd.VolumeMute
please create a reminder for tomorrow afternoon to eat breakfast,reminders.add
hey can you turn off the sound on my hearing aid,Cmd.VolumeMute
quickly ease down the volume on my hearing aids,Cmd.VolumeDecrease
i need you to check off my medication reminder,reminders.complete
can you decrease the volume in my aids,Cmd.VolumeDecrease
"quick, track down my smartphone somewhere",Cmd.FindMyPhone
start streaming the television,Cmd.StreamingStart
"hey, mark the alarm finished",reminders.complete
change my hearing aid program to golf,Cmd.MemoryChange
help me stop the stream coming from my phone,Cmd.StreamingStop
i want to undo the mute on the left aid,Cmd.VolumeUnmute
could you unmute my hearing device,Cmd.VolumeUnmute
"hey, stream my remote mic to my hearing aids",Cmd.StreamingStart
please change to tinnitus,Cmd.MemoryChange
i want to ease down the volume on my device,Cmd.VolumeDecrease
"help me out, search for my phone around here",Cmd.FindMyPhone
can you make a reminder to drink water at 5pm,reminders.add
can you drop the volume on both hearing aids,Cmd.VolumeDecrease
ring my mobile at home,Cmd.FindMyPhone
can you show me how to duplicate reminders,Help_Reminder
go ahead and undo the mute on my aids,Cmd.VolumeUnmute
just make my hearing aids quieter,Cmd.VolumeDecrease
could you turn down the volume on my left aid,Cmd.VolumeDecrease
i need you to turn both my aids off completely,Cmd.VolumeMute
turn off remote mic streaming,Cmd.StreamingStop
hey can you unlink my laptop,Cmd.StreamingStop
quickly lower the volume on my devices,Cmd.VolumeDecrease
where do i go to resume the reminder feature,Help_Reminder
i would like to max out the hearing aids a little,Cmd.VolumeIncrease
quickly mark my reminder as done,reminders.complete
could you turn the volume all the way down on my right ear hearing aid,Cmd.VolumeMute
kindly turn up the hearing aids,Cmd.VolumeIncrease
"hey, mark the reminder as done",reminders.complete
i want you to switch off the sound on my left aid,Cmd.VolumeMute
go ahead and unlink my tablet,Cmd.StreamingStop
can you kill the volume on my left aid,Cmd.VolumeMute
change my memory,Cmd.MemoryChange
hey can you mark my active reminder done,reminders.complete
change memory to one,Cmd.MemoryChange
set a reminder for tomorrow afternoon to leave for work,reminders.add
turn up my hearing aids,Cmd.VolumeIncrease
"i need help, track my iphone at home",Cmd.FindMyPhone
hey can you stop the audio from my computer,Cmd.StreamingStop
i'd like you to make both my aids quieter,Cmd.VolumeDecrease
please turn volume off,Cmd.VolumeMute
i'm settling in for tv time,Cmd.MemoryChange
can you everyday,reminders.add
please turn the sound up on my devices,Cmd.VolumeIncrease
i want to bring the sound back on my devices,Cmd.VolumeUnmute
switch my hearing aid program to telephone,Cmd.MemoryChange
just dismiss the reminder,reminders.complete
where do i go to set a reminder in this app,Help_Reminder
let's kill the volume on my hearing aid,Cmd.VolumeMute
hey can you mark my alarm as done,reminders.complete
"hey, route my laptop through my hearing aids",Cmd.StreamingStart
put both my aids on mute,Cmd.VolumeMute
please search for my handset somewhere,Cmd.FindMyPhone
let's bring up the volume on my hearing device,Cmd.VolumeIncrease
please track my android phone in this room,Cmd.FindMyPhone
can you set a reminder to pick up my prescription every morning,reminders.add
i'd like to unlink a video,Cmd.StreamingStop
would you stop the audio from the tv,Cmd.StreamingStop
can you please stop streaming from a podcast,Cmd.StreamingStop
i need you to stream audio from a podcast,Cmd.StreamingStart
set to golf program,Cmd.MemoryChange
i need you to cut the volume on my aids,Cmd.VolumeMute
can you stop all sound on my left hearing aid,Cmd.VolumeMute
go ahead and play my laptop through my hearing aids,Cmd.StreamingStart
i want to turn down the hearing aids,Cmd.VolumeDecrease
please set memory to train,Cmd.MemoryChange
would you please kill the volume on my left aid,Cmd.VolumeMute
how does one rename a recurring reminder,Help_Reminder
"hey, could you please mark my reminder done",reminders.complete
could you please create a reminder for at 9am to check my blood sugar,reminders.add
"hey, can i get reminders on my hearing aids",Help_Reminder
can you connect to phone calls and start streaming,Cmd.StreamingStart
"hey, could you please start listening to my ipad",Cmd.StreamingStart
i need to turn the volume back on for my aids,Cmd.VolumeUnmute
let's knock down the volume on my right ear hearing aid,Cmd.VolumeDecrease
"one thing, what do reminders do",Help_Reminder
kindly stop listening to my remote microphone,Cmd.StreamingStop
