text,intent,sklearn_prediction,onnx_prediction,sklearn_confidence,onnx_confidence,prediction_match
can you remind me to pick up my prescription at 5 p.m. on tuesday,reminders.add,reminders.add,reminders.add,0.9910437,0.9910436272621155,True
help with tinnitus volume adjustment on my hearing aids,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.97838575,0.978385865688324,True
please switch to tinnitus,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9899677,0.989967942237854,True
how do i use the tv streamer,Help_Accessories,Help_Accessories,Help_Accessories,0.9448086,0.9448084831237793,True
can you running calories,Cmd.ActivityRun,Cmd.ActivityRun,Cmd.ActivityRun,0.8392572,0.8392572402954102,True
please mute my aids,Cmd.VolumeMute,Cmd.VolumeMute,Cmd.VolumeMute,0.8984208,0.898421049118042,True
appreciate it,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9935666,0.9935665726661682,True
set my hearing for a busy street,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.98202735,0.9820272922515869,True
please play tv stream,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.9562481,0.9562481641769409,True
help me remember to do that,reminders.add,reminders.add,reminders.add,0.98581785,0.9858178496360779,True
set program to three,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99160844,0.9916083216667175,True
can you lower the level of my hearing aids,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.9753998,0.9753995537757874,True
can you i can't even hardly hear that,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9887938,0.9887937903404236,True
please switch to everyday program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9927677,0.9927678108215332,True
where's the find my hearing aid feature,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.9730138,0.973013699054718,True
what does my recovery score mean,Help_HeartRateRecovery,Help_ThriveScore,Help_ThriveScore,0.66546607,0.6654660701751709,True
how do i check what accessories i have paired to my hearing aids?,Help_Accessories,Help_Accessories,Help_Accessories,0.9615104,0.9615105986595154,True
can you reminder done.,reminders.complete,reminders.complete,reminders.complete,0.9399405,0.9399405121803284,True
it's busy being born,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9935324,0.9935324192047119,True
