text,intent
what's the weather like today,sys.oos.fallback
will it rain tomorrow,sys.oos.fallback
how hot is it outside,sys.oos.fallback
is it going to snow this weekend,sys.oos.fallback
what's the forecast for monday,sys.oos.fallback
who is the president,sys.oos.fallback
what year did the war end,sys.oos.fallback
how tall is mount everest,sys.oos.fallback
what is the capital of france,sys.oos.fallback
who wrote hamlet,sys.oos.fallback
how many planets are there,sys.oos.fallback
what is the speed of light,sys.oos.fallback
explain quantum physics to me,sys.oos.fallback
what is the meaning of life,sys.oos.fallback
tell me a joke,sys.oos.fallback
tell me a story,sys.oos.fallback
say something funny,sys.oos.fallback
what's your favorite color,sys.oos.fallback
do you like pizza,sys.oos.fallback
how old are you,sys.oos.fallback
are you a robot,sys.oos.fallback
what should i wear today,sys.oos.fallback
recommend me a movie,sys.oos.fallback
what's a good book to read,sys.oos.fallback
suggest a recipe for chicken,sys.oos.fallback
how do i bake bread,sys.oos.fallback
what's a good restaurant nearby,sys.oos.fallback
order me a pizza,sys.oos.fallback
book a table for two,sys.oos.fallback
what's on the menu,sys.oos.fallback
how much does a coffee cost,sys.oos.fallback
what's the stock price of apple,sys.oos.fallback
convert dollars to euros,sys.oos.fallback
what is twelve times seven,sys.oos.fallback
calculate the square root of ninety,sys.oos.fallback
what's two plus two,sys.oos.fallback
solve this math problem for me,sys.oos.fallback
how many ounces in a pound,sys.oos.fallback
what time does the sun set,sys.oos.fallback
what day is it next friday,sys.oos.fallback
how many days until christmas,sys.oos.fallback
what's the date today,sys.oos.fallback
who won the game last night,sys.oos.fallback
what's the score of the match,sys.oos.fallback
when is the super bowl,sys.oos.fallback
how do i get to the airport,sys.oos.fallback
give me directions to downtown,sys.oos.fallback
how far is it to chicago,sys.oos.fallback
what's the traffic like,sys.oos.fallback
find me a gas station,sys.oos.fallback
where is the nearest hospital,sys.oos.fallback
book me a flight to paris,sys.oos.fallback
reserve a hotel room,sys.oos.fallback
what's the wifi password,sys.oos.fallback
turn on the living room lights,sys.oos.fallback
set the thermostat to seventy,sys.oos.fallback
lock the front door,sys.oos.fallback
start the coffee maker,sys.oos.fallback
open the garage door,sys.oos.fallback
what's on my calendar,sys.oos.fallback
schedule a meeting with john,sys.oos.fallback
add milk to my shopping list,sys.oos.fallback
take a photo,sys.oos.fallback
set the oven to broil,sys.oos.fallback
play some jazz music,sys.oos.fallback
skip to the next song,sys.oos.fallback
pause the movie,sys.oos.fallback
what song is this,sys.oos.fallback
turn on the television,sys.oos.fallback
what channel is the news on,sys.oos.fallback
read me the headlines,sys.oos.fallback
what's happening in the world,sys.oos.fallback
