text,intent
Wo kann ich eine Sturzalarm-SMS stornieren?,Help_FallAlert
Wo kann ich eine Sturzalarm-SMS stornieren?,Help_FallAlert
Wo kann ich eine Sturzalarm-SMS stornieren?,Help_FallAlert
Wo kann ich eine Sturzalarm-SMS stornieren?,Help_FallAlert
Wo kann ich eine Sturzalarm-SMS stornieren?,Help_FallAlert
Wo kann ich eine Sturzalarm-SMS stornieren?,Help_FallAlert
Wo kann ich eine Sturzalarm-SMS stornieren?,Help_FallAlert
Wo kann ich eine Sturzalarm-SMS stornieren?,Help_FallAlert
Wo kann ich eine Sturzalarm-SMS stornieren?,Help_FallAlert
Wo kann ich eine Sturzalarm-SMS stornieren?,Help_FallAlert
Wo storniere ich einen manuellen Benachrichtigungstext?,Help_FallAlert
Wie kann ich eine manuelle Alarm-SMS initiieren?,Help_FallAlert
Wann erhalte ich die gesendete Benachrichtigung?,Help_FallAlert
Wo kann ich einen Warnmeldungstext abfangen?,Help_FallAlert
Wo würde ich einen Sturzalarm stoppen?,Help_FallAlert
Wo kann ich eine Sturzalarm-SMS stornieren?,Help_FallAlert
"Woher weiß ich, ob meine manuelle Warnung gestartet wurde?",Help_FallAlert
"Woher weiß ich, ob eine Benachrichtigungs-SMS storniert wurde?",Help_FallAlert
Wo soll ich eine manuelle Alarm-SMS starten?,Help_FallAlert
Wie aktiviere ich die automatische Benachrichtigung?,Help_FallAlert
Wie kann ich eine Warnung stoppen?,Help_FallAlert
Wann würde ich eine manuelle Alarm-SMS beenden?,Help_FallAlert
Wann sollte ich einen manuellen Benachrichtigungstext starten?,Help_FallAlert
Wie kann ich eine manuelle Warnmeldung starten?,Help_FallAlert
Der Sturzalarm funktioniert nicht,Help_FallAlert
Wie soll ich einen manuellen Benachrichtigungstext senden?,Help_FallAlert
Wo kann ich eine Warnung stoppen?,Help_FallAlert
Wo kann ich eine manuelle Warnung einleiten?,Help_FallAlert
Wo soll ich eine manuelle Warnung auslösen?,Help_FallAlert
Wohin soll ich eine manuelle Benachrichtigung senden?,Help_FallAlert
Wo kann ich eine manuelle Alarm-SMS veranlassen?,Help_FallAlert
Wie kann ich einen Sturzalarm stoppen?,Help_FallAlert
Wo kann ich eine manuelle Alarm-SMS abfangen?,Help_FallAlert
Wie kann ich eine manuelle Warnung auslösen?,Help_FallAlert
Wann storniere ich eine Benachrichtigungs-SMS?,Help_FallAlert
Wo kann ich eine Sturzwarnung stoppen?,Help_FallAlert
Wo kann ich eine Sturzwarnung stoppen?,Help_FallAlert
Wie erstelle ich einen Kontakt für die Sturzwarnung?,Help_FallAlert
Wo kann ich eine manuelle Benachrichtigung senden?,Help_FallAlert
"Hilf mir, einen Sturzalarm abzufangen",Help_FallAlert
Wie soll ich eine manuelle Benachrichtigung senden?,Help_FallAlert
Wann würde ich eine Warnmeldung beenden?,Help_FallAlert
Wann würde ich eine manuelle Warnung stoppen?,Help_FallAlert
Was bedeutet „Benachrichtigung gesendet“?,Help_FallAlert
"Was macht mein Hilfsmittel, wenn ich falle?",Help_FallAlert
"Woher weiß ich, ob eine Warnung storniert wurde?",Help_FallAlert
Wo kann ich eine Warnmeldungs-SMS abfangen?,Help_FallAlert
Wo starte ich eine manuelle Warnmeldung?,Help_FallAlert
Wie storniere ich eine Sturzwarnung?,Help_FallAlert
Wo kann ich einen Benachrichtigungstext stoppen?,Help_FallAlert
"Woher weiß ich, ob eine manuelle Warnung ausgelöst wurde?",Help_FallAlert
"Woher weiß ich, ob eine Warn-SMS eingegangen ist?",Help_FallAlert
Wie aktiviere ich die automatische Warnung?,Help_FallAlert
Wann würde ich eine manuelle Alarm-SMS abfangen?,Help_FallAlert
Wo kann ich einen Warnmeldungstext abfangen?,Help_FallAlert
Wie kann ich eine Sturzwarnung per SMS stoppen?,Help_FallAlert
Wie kann ich meine Sturzwarnindikatoren testen?,Help_FallAlert
Wie klingen die Sturzindikatoren?,Help_FallAlert
Wie klingen die Sturzindikatoren?,Help_FallAlert
Wo kann ich eine Sturzwarnung abbrechen?,Help_FallAlert
Wann würde ich eine manuelle Alarm-SMS abbrechen?,Help_FallAlert
Wie kann ich einen Warntext stoppen?,Help_FallAlert
"Was machen meine Hilfsmittel, wenn ich falle?",Help_FallAlert
Wo initiiere ich eine manuelle Warnmeldung?,Help_FallAlert
"Hilfe, ich bin gefallen und kann nicht aufstehen",Help_FallAlert
"Was machen meine Hilfsmittel, wenn ich gestürzt bin?",Help_FallAlert
"Woher weiß ich, ob eine Warn-SMS gesendet wird?",Help_FallAlert
"Was höre ich, wenn eine Warnung gesendet wird?",Help_FallAlert
Wie kann ich eine Warnmeldung per SMS abfangen?,Help_FallAlert
Wo kann ich eine Warnmeldung per SMS stoppen?,Help_FallAlert
Wohin soll ich eine manuelle Benachrichtigung senden?,Help_FallAlert
Wie kann ich einen manuellen Benachrichtigungstext senden?,Help_FallAlert
"Was können meine Hilfsmittel tun, wenn ich gestürzt bin?",Help_FallAlert
Wo würde ich eine manuelle Warnung auslösen?,Help_FallAlert
Was sind die Sturzerkennungen?,Help_FallAlert
Wie soll ich eine manuelle Warnmeldung starten?,Help_FallAlert
Wann kann ich einen Sturzalarmtext abfangen?,Help_FallAlert
Wann würde ich eine manuelle Warnung starten?,Help_FallAlert
Wann würde ich eine SMS-Benachrichtigung beenden?,Help_FallAlert
Wie richte ich die Sturzerkennung ein?,Help_FallAlert
Wie storniere ich einen manuellen Benachrichtigungstext?,Help_FallAlert
Wie würde ich einen manuellen Benachrichtigungstext senden?,Help_FallAlert
Wann kann ich eine Warnung abfangen?,Help_FallAlert
"Was würde ich hören, wenn eine Benachrichtigungs-SMS abgebrochen wird?",Help_FallAlert
Wo kann ich einen Sturzalarmtext stoppen?,Help_FallAlert
"Welche Geräusche werde ich hören, wenn ich falle?",Help_FallAlert
Wann sollte ich eine manuelle Warnmeldung auslösen?,Help_FallAlert
Wann stoppe ich eine manuelle Warnmeldung?,Help_FallAlert
Wann storniere ich eine manuelle Warnmeldung?,Help_FallAlert
Wo kann ich eine Sturzwarnung abfangen?,Help_FallAlert
"Was machen meine Hörgeräte, wenn ich gestürzt bin?",Help_FallAlert
Wann kann ich eine manuelle Alarm-SMS senden?,Help_FallAlert
verlegtes Telefon,Cmd.FindMyPhone
iPhone verloren,Cmd.FindMyPhone
Wo ist mein Android?,Cmd.FindMyPhone
Wo ist mein Android-Handy?,Cmd.FindMyPhone
iPhone suchen,Cmd.FindMyPhone
Suche nach meinem Telefon,Cmd.FindMyPhone
iPhone wiederherstellen,Cmd.FindMyPhone
Telefon erkennen,Cmd.FindMyPhone
Wo ist mein Google-Telefon?,Cmd.FindMyPhone
Suche Android,Cmd.FindMyPhone
wo Telefon,Cmd.FindMyPhone
Finde mein Gerät,Cmd.FindMyPhone
Android-Handy finden,Cmd.FindMyPhone
Telefon suchen,Cmd.FindMyPhone
Wo ist mein iOS-Telefon?,Cmd.FindMyPhone
Telefon finden,Cmd.FindMyPhone
Telefon fehlt,Cmd.FindMyPhone
Android-Handy finden,Cmd.FindMyPhone
Android-Handy erkennen,Cmd.FindMyPhone
iPhone erkennen,Cmd.FindMyPhone
Wo ist mein Telefon?,Cmd.FindMyPhone
iPhone fehlt,Cmd.FindMyPhone
Wo ist mein iPhone?,Cmd.FindMyPhone
Telefon entdecken,Cmd.FindMyPhone
iPhone finden,Cmd.FindMyPhone
Telefon finden,Cmd.FindMyPhone
iPhone orten,Cmd.FindMyPhone
Telefon verloren,Cmd.FindMyPhone
Telefon entdecken,Cmd.FindMyPhone
"Hilf mir, mein iPhone zu finden",Cmd.FindMyPhone
Finde mein Android,Cmd.FindMyPhone
Wo ist mein Apple-Telefon?,Cmd.FindMyPhone
Wo ist mein Handy?,Cmd.FindMyPhone
Telefon erkennen,Cmd.FindMyPhone
"Zeig mir, wo mein Telefon ist",Cmd.FindMyPhone
Wo habe ich mein Handy hingelegt?,Cmd.FindMyPhone
wo iPhone,Cmd.FindMyPhone
Android-Handy entdecken,Cmd.FindMyPhone
Entdecken Sie das iPhone,Cmd.FindMyPhone
Telefon abrufen,Cmd.FindMyPhone
Android-Handy verloren,Cmd.FindMyPhone
Ich kann mein Android-Telefon nicht finden,Cmd.FindMyPhone
Wie viele Kalorien habe ich beim Training verbrannt?,Cmd.ActivityExercise
Was ist mein Trainingsziel?,Cmd.ActivityExercise
Kalorien trainieren,Cmd.ActivityExercise
Wie lange habe ich trainiert,Cmd.ActivityExercise
Kalorienübung,Cmd.ActivityExercise
Wie lange trainiere ich schon?,Cmd.ActivityExercise
Wie viele Kalorien habe ich beim Training verbraucht?,Cmd.ActivityExercise
Übungsziel,Cmd.ActivityExercise
zeig mir mein Trainingsziel,Cmd.ActivityExercise
Wie lange trainiere ich schon?,Cmd.ActivityExercise
Wie viele Kalorien habe ich beim Training verbrannt?,Cmd.ActivityExercise
Habe ich mein Trainingsziel erreicht?,Cmd.ActivityExercise
Wie lange muss ich heute noch trainieren?,Cmd.ActivityExercise
Ziel erarbeiten,Cmd.ActivityExercise
Lautstärke des Hörgeräts erhöhen,Cmd.VolumeIncrease
Erhöhen Sie das richtige Hörgerät,Cmd.VolumeIncrease
mach es lauter,Cmd.VolumeIncrease
Lautstärke erhöhen,Cmd.VolumeIncrease
Erhöhen Sie die Lautstärke,Cmd.VolumeIncrease
Erhöhen Sie die Lautstärke meiner Hörgeräte,Cmd.VolumeIncrease
Ich möchte mehr Volumen,Cmd.VolumeIncrease
Ich möchte mehr Volumen,Cmd.VolumeIncrease
Erhöhen Sie die Lautstärke in meinen Hilfsmitteln,Cmd.VolumeIncrease
maximale Lautstärke,Cmd.VolumeIncrease
Mehr Lautstärke am Hörgerät,Cmd.VolumeIncrease
maximale Lautstärke,Cmd.VolumeIncrease
maximale Lautstärke,Cmd.VolumeIncrease
Ich brauche mehr Volumen,Cmd.VolumeIncrease
Erhöhen Sie die Lautstärke meiner Hörgeräte,Cmd.VolumeIncrease
Lautstärke erhöhen,Cmd.VolumeIncrease
"Lautstärke erhöhen, rechte Hilfe",Cmd.VolumeIncrease
auf 80 % Lautstärke eingestellt,Cmd.VolumeIncrease
Erhöhen Sie das linke Hörgerät,Cmd.VolumeIncrease
Maximaler Klang,Cmd.VolumeIncrease
Stellen Sie das rechte Ohr auf höheren Klang ein,Cmd.VolumeIncrease
"Lautstärke erhöhen, linke Hilfe",Cmd.VolumeIncrease
Erhöhen Sie die Lautstärke,Cmd.VolumeIncrease
auf 100 % Lautstärke eingestellt,Cmd.VolumeIncrease
"Es ist zu leise, dreh es auf",Cmd.VolumeIncrease
Erhöhen Sie die Lautstärke am Hörgerät,Cmd.VolumeIncrease
Erhöhen Sie die Lautstärke,Cmd.VolumeIncrease
Lautstärke lauter machen,Cmd.VolumeIncrease
Lautstärke erhöhen,Cmd.VolumeIncrease
drehe mein linkes Hörgerät lauter,Cmd.VolumeIncrease
Lautstärke lauter,Cmd.VolumeIncrease
auf 90 % Lautstärke eingestellt,Cmd.VolumeIncrease
erhöhen Sie die Lautstärke,Cmd.VolumeIncrease
