text,predicted,confidence,rejected
what is the weather today,device.volume.decrease,0.8413587212562561,False
i want to order pizza,device.volume.increase,0.5557560920715332,True
how do i cook pasta,help.reminder.show,0.7682392001152039,False
what time is the train,device.volume.mute,0.38724005222320557,True
tell me a joke,device.memory.change,0.9235389828681946,False
i am planning a holiday,device.memory.change,0.6191433072090149,True
what is the capital of france,device.volume.increase,0.9659802317619324,False
my car needs an oil change,device.memory.change,0.9179669618606567,False
please open my browser,find.phone.locate,0.5034798979759216,True
i need a hotel tonight,reminders.task.create,0.9401659369468689,False
what is the stock market doing,device.volume.increase,0.8662898540496826,False
how do i charge my laptop,device.volume.decrease,0.5104520320892334,True
