text,intent,prediction,confidence,correct,critical
switch my hearing aid to the restaurant program,device.memory.change,device.memory.change,0.97685975,True,False
put my hearing aids into the phone setting,device.memory.change,device.memory.change,0.8334455,True,False
change the current hearing program to music,device.memory.change,device.memory.change,0.97533256,True,False
use my outdoor hearing setting,device.memory.change,device.memory.change,0.9764752,True,False
move to the television listening program,device.memory.change,device.memory.change,0.9102235,True,False
change which hearing aid program is active,device.memory.change,device.memory.change,0.9196353,True,False
switch from my current hearing mode to the phone mode,device.memory.change,device.memory.change,0.82527405,True,False
select a different hearing profile,device.memory.change,device.memory.change,0.98269707,True,False
change the hearing setting I'm using now,device.memory.change,device.memory.change,0.97646415,True,False
put the devices into the program I use for conversations,device.memory.change,device.memory.change,0.88221496,True,False
switch the active memory on my hearing aids,device.memory.change,device.memory.change,0.89907634,True,False
choose another hearing aid environment,device.memory.change,device.memory.change,0.40014985,True,False
move my hearing aids to the music profile,device.memory.change,streaming.session.start,0.6715952,False,False
change the program for my hearing aids,device.memory.change,device.memory.change,0.9540674,True,False
select the telephone hearing program,device.memory.change,device.memory.change,0.9394403,True,False
switch to my custom hearing setting,device.memory.change,device.memory.change,0.9759148,True,False
change the active hearing memory,device.memory.change,device.memory.change,0.97132707,True,False
put my hearing aids in the program for watching TV,device.memory.change,device.memory.change,0.7454114,True,False
use a different hearing profile right now,device.memory.change,device.memory.change,0.965647,True,False
switch my devices to another listening mode,device.memory.change,device.memory.change,0.8451842,True,False
change the memory currently selected,device.memory.change,device.memory.change,0.9548617,True,False
move to my conversation program,device.memory.change,device.memory.change,0.97905356,True,False
select the hearing mode for noisy places,device.memory.change,device.memory.change,0.8645781,True,False
switch the hearing aids to my preferred program,device.memory.change,device.memory.change,0.948771,True,False
change the current listening profile,device.memory.change,device.memory.change,0.9825404,True,False
activate another hearing program,device.memory.change,device.memory.change,0.97497094,True,False
put the hearing aids on the setting I use outdoors,device.memory.change,device.memory.change,0.93191874,True,False
switch to the program for phone calls,device.memory.change,device.memory.change,0.9715476,True,False
change which memory my hearing aids are using,device.memory.change,device.memory.change,0.9243586,True,False
select a different sound program,device.memory.change,device.memory.change,0.96845955,True,False
move from this hearing program to another one,device.memory.change,device.memory.change,0.9677442,True,False
change my current device setting,device.memory.change,device.memory.change,0.98707867,True,False
switch to my TV listening profile,device.memory.change,device.memory.change,0.88621956,True,False
activate the restaurant hearing program,device.memory.change,device.memory.change,0.97977954,True,False
choose another memory for the hearing aids,device.memory.change,device.memory.change,0.889454,True,False
change the listening environment setting,device.memory.change,device.memory.change,0.97811776,True,False
switch my hearing aids into telephone mode,device.memory.change,device.memory.change,0.9054221,True,False
select my music hearing profile,device.memory.change,streaming.session.start,0.87722576,False,False
move to a different hearing memory,device.memory.change,device.memory.change,0.99013746,True,False
change the program that is active,device.memory.change,device.memory.change,0.97120464,True,False
switch the devices to another acoustic setting,device.memory.change,device.memory.change,0.9548979,True,False
choose the hearing program I need now,device.memory.change,device.memory.change,0.96808326,True,False
change from the current memory to my outdoor one,device.memory.change,device.memory.change,0.9753248,True,False
activate my conversation setting,device.memory.change,device.memory.change,0.94618857,True,False
switch the current hearing profile,device.memory.change,device.memory.change,0.9547322,True,False
pick another program for my hearing aids,device.memory.change,device.memory.change,0.9223636,True,False
change the active memory setting,device.memory.change,device.memory.change,0.9842174,True,False
put the devices into a different listening program,device.memory.change,device.memory.change,0.89917684,True,False
switch to another hearing environment,device.memory.change,device.memory.change,0.97183764,True,False
select the phone program on my hearing aids,device.memory.change,device.memory.change,0.71187013,True,False
change my hearing aids from the current program,device.memory.change,device.memory.change,0.9251365,True,False
activate a different hearing profile,device.memory.change,device.memory.change,0.97909445,True,False
switch the listening memory to another option,device.memory.change,device.memory.change,0.953983,True,False
make the sound a little softer,device.volume.decrease,device.volume.decrease,0.9873121,True,False
lower what I'm hearing without silencing it,device.volume.decrease,device.volume.decrease,0.99072474,True,False
"the hearing aids are too loud, turn them down",device.volume.decrease,device.volume.decrease,0.9834811,True,False
reduce the audio level slightly,device.volume.decrease,device.volume.decrease,0.9899914,True,False
I need less volume but I still want to hear,device.volume.decrease,device.volume.decrease,0.9684931,True,False
make the sound quieter,device.volume.decrease,device.volume.decrease,0.9932683,True,False
bring the volume down a notch,device.volume.decrease,device.volume.decrease,0.9872047,True,False
turn the audio down a little,device.volume.decrease,device.volume.decrease,0.9850537,True,False
reduce how loud the hearing aids are,device.volume.decrease,device.volume.decrease,0.9907885,True,False
make everything less loud,device.volume.decrease,device.volume.decrease,0.9910493,True,False
drop the listening level slightly,device.volume.decrease,device.volume.decrease,0.98494315,True,False
"the sound is too strong, lower it",device.volume.decrease,device.volume.decrease,0.99054694,True,False
give me a softer volume,device.volume.decrease,device.volume.decrease,0.9871715,True,False
turn down the hearing level,device.volume.decrease,device.volume.decrease,0.99311185,True,False
reduce the loudness but keep the sound on,device.volume.decrease,device.volume.decrease,0.9865563,True,False
make my hearing aids quieter,device.volume.decrease,device.volume.decrease,0.9906934,True,False
lower the current volume,device.volume.decrease,device.volume.decrease,0.99410665,True,False
take the volume down a bit,device.volume.decrease,device.volume.decrease,0.99166286,True,False
the audio is too loud for me,device.volume.decrease,device.volume.decrease,0.9651235,True,False
soften the sound coming through the devices,device.volume.decrease,device.volume.decrease,0.9773756,True,False
reduce the hearing aid volume,device.volume.decrease,device.volume.decrease,0.99347985,True,False
turn the sound lower,device.volume.decrease,device.volume.decrease,0.9912805,True,False
make the audio less intense,device.volume.decrease,device.volume.decrease,0.9877417,True,False
I want the volume reduced,device.volume.decrease,device.volume.decrease,0.6092391,True,False
bring the sound level down,device.volume.decrease,device.volume.decrease,0.99224997,True,False
make it quieter while keeping audio available,device.volume.decrease,device.volume.decrease,0.9833614,True,True
lower the output a little,device.volume.decrease,device.volume.decrease,0.9916823,True,False
reduce the current listening volume,device.volume.decrease,device.volume.decrease,0.990553,True,False
turn the hearing aids down,device.volume.decrease,device.volume.decrease,0.98973644,True,False
make the audio more comfortable by lowering it,device.volume.decrease,device.volume.increase,0.9539361,False,False
decrease the sound level,device.volume.decrease,device.volume.decrease,0.992607,True,False
the hearing aids need to be quieter,device.volume.decrease,device.volume.decrease,0.9464153,True,False
reduce the volume one step,device.volume.decrease,device.volume.decrease,0.9919807,True,False
make the listening level lower,device.volume.decrease,device.volume.decrease,0.99169266,True,False
turn down what I hear,device.volume.decrease,device.volume.decrease,0.99070346,True,False
lower the device volume slightly,device.volume.decrease,device.volume.decrease,0.9932474,True,False
the sound is a bit too loud,device.volume.decrease,device.volume.decrease,0.98719484,True,False
bring the audio level down,device.volume.decrease,device.volume.decrease,0.9909253,True,False
make the hearing output softer,device.volume.decrease,device.volume.decrease,0.9895807,True,False
reduce how much sound I'm getting,device.volume.decrease,device.volume.decrease,0.9849562,True,False
turn the volume down without muting,device.volume.decrease,device.volume.decrease,0.98779327,True,False
give me less sound,device.volume.decrease,device.volume.decrease,0.98095155,True,False
lower the hearing aid output,device.volume.decrease,device.volume.decrease,0.9923935,True,False
quiet the audio somewhat,device.volume.decrease,device.volume.mute,0.42847434,False,False
reduce the loudness a little,device.volume.decrease,device.volume.decrease,0.9914175,True,False
turn the sound down but leave it audible,device.volume.decrease,device.volume.decrease,0.9867046,True,False
make my current volume lower,device.volume.decrease,device.volume.decrease,0.9920608,True,False
decrease the listening level,device.volume.decrease,device.volume.decrease,0.9910239,True,False
take the audio down slightly,device.volume.decrease,device.volume.decrease,0.8713366,True,False
make the hearing aids less loud,device.volume.decrease,device.volume.decrease,0.9905461,True,False
lower the sound coming from the devices,device.volume.decrease,device.volume.decrease,0.9861288,True,False
reduce the volume but don't turn it off,device.volume.decrease,device.volume.decrease,0.98522675,True,False
soften the hearing aid output,device.volume.decrease,device.volume.decrease,0.9891004,True,False
turn it down just a little,device.volume.decrease,device.volume.decrease,0.985479,True,False
make the hearing aids louder,device.volume.increase,device.volume.increase,0.9933216,True,False
raise the sound level a little,device.volume.increase,device.volume.increase,0.99016565,True,False
I need more volume,device.volume.increase,device.volume.increase,0.98047996,True,False
