text,intent,source
change the hearing program to the TV setting,device.memory.change,targeted_hard_negative_v2
switch to the television hearing program,device.memory.change,targeted_hard_negative_v2
select my TV listening program,device.memory.change,targeted_hard_negative_v2
put the hearing aids into the TV program,device.memory.change,targeted_hard_negative_v2
change the active program to the one for television,device.memory.change,targeted_hard_negative_v2
move my hearing aids to the TV memory,device.memory.change,targeted_hard_negative_v2
activate the television listening memory,device.memory.change,targeted_hard_negative_v2
choose the TV hearing setting,device.memory.change,targeted_hard_negative_v2
switch the current hearing memory to TV,device.memory.change,targeted_hard_negative_v2
select another hearing program for watching television,device.memory.change,targeted_hard_negative_v2
"change the program, not the volume",device.memory.change,targeted_hard_negative_v2
switch hearing programs while keeping the volume the same,device.memory.change,targeted_hard_negative_v2
make the sound louder without changing the hearing program,device.volume.increase,targeted_hard_negative_v2
raise the volume while staying on the same program,device.volume.increase,targeted_hard_negative_v2
turn up the hearing aids but keep the current program,device.volume.increase,targeted_hard_negative_v2
increase the volume only,device.volume.increase,targeted_hard_negative_v2
make the audio stronger without switching programs,device.volume.increase,targeted_hard_negative_v2
raise what I hear and leave the program unchanged,device.volume.increase,targeted_hard_negative_v2
"boost the sound level, not the hearing setting",device.volume.increase,targeted_hard_negative_v2
turn the volume up while keeping the same memory,device.volume.increase,targeted_hard_negative_v2
make the current audio louder without changing modes,device.volume.increase,targeted_hard_negative_v2
increase loudness but keep my current hearing program,device.volume.increase,targeted_hard_negative_v2
turn up the sound only,device.volume.increase,targeted_hard_negative_v2
raise the listening level without changing the program,device.volume.increase,targeted_hard_negative_v2
make the sound quieter but keep it audible,device.volume.decrease,targeted_hard_negative_v2
lower the volume without muting the hearing aids,device.volume.decrease,targeted_hard_negative_v2
reduce the sound level and leave audio on,device.volume.decrease,targeted_hard_negative_v2
turn the hearing aids down but do not silence them,device.volume.decrease,targeted_hard_negative_v2
make it less loud while keeping sound available,device.volume.decrease,targeted_hard_negative_v2
"decrease the volume, not the hearing program",device.volume.decrease,targeted_hard_negative_v2
lower the listening level without turning audio off,device.volume.decrease,targeted_hard_negative_v2
reduce the loudness but keep hearing aid output active,device.volume.decrease,targeted_hard_negative_v2
make the audio softer while it remains audible,device.volume.decrease,targeted_hard_negative_v2
turn down the sound without muting,device.volume.decrease,targeted_hard_negative_v2
bring the volume down and keep the audio on,device.volume.decrease,targeted_hard_negative_v2
"make the current sound quieter, not silent",device.volume.decrease,targeted_hard_negative_v2
make the hearing aids completely silent,device.volume.mute,targeted_hard_negative_v2
