text,intent
can i compare the adjustments made by the hearing specialist?,Help_RemoteProgramming
tips to make my batteries last longer,Help_Battery
can you start transcription,Cmd.TranscribeStart
change to automatic,Cmd.MemoryChange
how do i look after my hearing aids,Help_CleanCare
how do i unmute the sound?,Help_Volume
can you i can’t get my hearing aid on,Help_InsertDevice
share some news with a contact,Cmd.SendMessage
how do i adjust my loudness of the tinnitus noise in my hearing aids?,Help_Tinnitus
find my android,Cmd.FindMyPhone
please remind me to go to the grocery story every sunday at noon,reminders.add
help with the app configuration,Help_AppSettings
how do i adjust the volume on my accessory?,Help_Accessories
activity goal,Cmd.ActivityAerobics
train memory,Cmd.MemoryChange
help me get started,Help_Home
can you remind me about the teacher meeting on friday,reminders.add
that's way too loud,Cmd.VolumeDecrease
what does the health screen show?,Help_Health
where do transcripts get saved,Help_Transcribe
please set program to one,Cmd.MemoryChange
where did i leave my left aid?,Help_FindMyHearingAids
speak my latest texts to me,Cmd.ListenMessage
what is heart rate recovery,Help_HeartRateRecovery
change to personal memory,Cmd.MemoryChange
how do i change,Default Fallback Intent
start transcribing this,Cmd.TranscribeStart
what is intellivoice,Help_IntelliVoice
can you have i stood an hour,Cmd.ActivityStand
power level check,Cmd.BatteryLevel
sorry about this okay i got it,Default Fallback Intent
switch to golf,Cmd.MemoryChange
can i charge my battery?,Help_Battery
show my calories,Cmd.ActivityCalories
how do i use the voice asisstant,Help_VoiceAssistant
we expect an update,Default Fallback Intent
how do i enable the auto car feature,Help_DeviceSettings
how do i check my pulse on the app,Help_HeartRate
please change volume down,Cmd.VolumeDecrease
can you switch memory to gym,Cmd.MemoryChange
soften things up,Cmd.VolumeDecrease
ashes to ashes all fall down,Default Fallback Intent
i need a reminder tomorrow,reminders.add
should i use rechargeable or disposable batteries,Help_Battery
make my surroundings quieter,Cmd.VolumeDecrease
the sound from my aids has gotten worse,Help_DeviceSettings
undo the mute,Cmd.VolumeUnmute
memory four,Cmd.MemoryChange
change settings to three,Cmd.MemoryChange
how can i access the fall alert settings?,Help_AppSettings
start an exercise session,Cmd.ActivityExercise
put captions on everyone's speech,Cmd.TranscribeStart
how do i restore the settings in my aids?,Help_HearingCareAnywhereConnect
tell my son i said hello,Cmd.SendMessage
can you i can't remember where my aids are,Help_FindMyHearingAids
my calorie total,Cmd.ActivityCalories
does a clip on mic send audio to my aids,Help_Accessories
will i make it through the afternoon?,Cmd.BatteryLevel
can you use soap to clean hearing aids?,Help_CleanCare
can you quick start,Help_WhatsNew
tell me about hearing care anywhere,Help_HearingCareAnywhereConnect
can you right swift code of binary search,Default Fallback Intent
how do i reach my audiologist through the app,Help_HearingCareAnywhereConnect
you need some help,Default Fallback Intent
