text,intent
jeg har forlagt mine høreapparater,Help_FindMyHearingAids
hvordan tilpasser jeg mine høreapparatindstillinger?,Help_MemoryOptions
tilpasse mine høreapparatindstillinger,Help_MemoryOptions
slå lyden til,Cmd.VolumeUnmute
slå lyden til,Cmd.VolumeUnmute
hvordan skifter jeg til en anden hukommelse på mine høreapparater?,Help_ChangingMemories
hvordan skifter jeg til en anden hukommelse på mit hjælpemiddel?,Help_ChangingMemories
tilpasse mine høreapparatindstillinger,Help_Customize
hvordan tilpasser jeg mine høreapparatindstillinger?,Help_Customize
hvordan begynder jeg at streame fra mit tilbehør?,Help_Accessories
jeg kan næsten ikke høre det,Default Fallback Intent
kan du forlagt telefon,Help_FallAlert
kan du forlagt telefon,Cmd.FindMyPhone
stream venligst fra fjernmikrofonen,Cmd.ActivityStand
stream venligst fra fjernmikrofonen,Cmd.StreamingStart
stream venligst fra fjernmikrofonen,Cmd.StreamingStart
Tilpas venligst mine høreapparatindstillinger,Help_MemoryOptions
kan du tilpasse mine høreapparatindstillinger,Help_MemoryOptions
kan du slå lyden fra,Cmd.VolumeUnmute
kan du slå lyden fra,Cmd.VolumeUnmute
slå lyden til,Cmd.VolumeUnmute
jeg vil gerne oprette forbindelse til min audiolog,Help_AppSettings
jeg vil gerne oprette forbindelse til min audiolog,Help_RemoteProgramming
Tilpas venligst mine høreapparatindstillinger,Help_Customize
kan du tilpasse mine høreapparatindstillinger,Help_Customize
venligst pulsguide,Help_HeartRateRecovery
venligst pulsguide,Help_HeartRate
kan du slå lyden fra,Cmd.VolumeMute
høreapparatets lydstyrke slukket,Cmd.StreamingStop
høreapparatets lydstyrke slukket,Cmd.VolumeMute
hjælp til aktivitetsscore,Help_HearShare
hjælp til aktivitetsscore,Help_ThriveScore
hvordan vasker jeg mit høreapparat?,Cmd.StreamingStop
hvordan vasker jeg mit høreapparat?,Help_AppSettings
hvordan vasker jeg mit høreapparat?,Help_CleanCare
hvor er høreapparatmodellen?,Help_DemoMode
hvor er høreapparatmodellen?,Help_DeviceSettings
er mine høreapparater parret med telefonen?,Help_DemoMode
er mine høreapparater parret med telefonen?,Help_HearShare
er mine høreapparater parret med telefonen?,Help_Pairing
hvor er høreapparatets serienummer?,Help_DemoMode
hvor er høreapparatets serienummer?,Help_DeviceSettings
vis mig en oversigt af slagsen,Help_Translate
vis mig en oversigt af slagsen,Help_WhatsNew
vis mig en oversigt over engage-appen,Help_Translate
vis mig en oversigt over engage-appen,Help_WhatsNew
hvordan tilføjer man en anden person på hearshare?,Help_FallAlert
hvordan tilføjer man en anden person på hearshare?,Help_HearShare
"hvordan kan jeg se, hvor meget jeg har cyklet i denne måned?",Help_DemoMode
"hvordan kan jeg se, hvor meget jeg har cyklet i denne måned?",Help_Health
hjælpe med trivescore,Help_HearShare
hjælpe med trivescore,Help_ThriveScore
kan du tilføje en påmindelse,Help_WhatsNew
kan du tilføje en påmindelse,reminders.add
hjælp med wellness-score,Help_RemoteProgramming
hjælp med wellness-score,Help_ThriveScore
slå lyden til,Cmd.VolumeMute
hvordan får jeg en bedre hjernescore?,Help_MemoryOptions
hvordan får jeg en bedre hjernescore?,Help_ThriveScore
hvordan slår jeg lyden fra på min sender?,Help_Translate
hvordan slår jeg lyden fra på min sender?,Help_WiCROS
slå lyden til,Cmd.VolumeUnmute
hvordan skifter jeg fra den avancerede app til den grundlæggende app?,Cmd.VolumeMute
hvordan skifter jeg fra den avancerede app til den grundlæggende app?,Help_AppSettings
trives siri,Help_Translate
trives siri,Help_VoiceAssistant
kan du indstille påmindelse,Help_VoiceAssistant
kan du indstille påmindelse,reminders.add
hvordan indsætter jeg mit højre høreapparat?,Cmd.StreamingStart
