text,intent
hvornår skal jeg starte en manuel advarselsmeddelelse?,help.fall_alert.show
"hvad vil min hjælp gøre, når jeg er faldet?",help.fall_alert.show
hvornår opsnapper jeg en faldalarm-sms?,help.fall_alert.show
hvordan annullerer jeg en advarselsmeddelelse?,help.fall_alert.show
hvor skal jeg sende en manuel advarselstekst?,help.fall_alert.show
"hvilke lyde vil jeg høre i mit høreapparat, hvis jeg falder?",help.fall_alert.show
"hvad hører jeg, når der modtages en advarsels-sms?",help.fall_alert.show
hvordan opsnapper jeg en manuel advarselstekst?,help.fall_alert.show
"hvilke lyde vil jeg høre i mine høreapparater, hvis jeg falder?",help.fall_alert.show
hvor annullerer jeg en sms med faldalarm?,help.fall_alert.show
hvor annullerer jeg en manuel advarselstekst?,help.fall_alert.show
hvordan kan jeg starte en manuel advarsels-sms?,help.fall_alert.show
hvornår vil jeg høre alarm sendt?,help.fall_alert.show
hvor vil jeg opsnappe en advarselsmeddelelse?,help.fall_alert.show
hvor vil jeg stoppe en faldalarm?,help.fall_alert.show
hvor annullerer jeg en faldvarslingstekst?,help.fall_alert.show
"hvordan ved jeg, om min manuelle alarm er startet?",help.fall_alert.show
"hvordan ved jeg, om en advarsels-sms er annulleret?",help.fall_alert.show
hvor skal jeg starte en manuel advarsels-sms?,help.fall_alert.show
hvordan aktiverer jeg automatisk alarm?,help.fall_alert.show
hvordan stopper jeg en alarm?,help.fall_alert.show
hvornår vil jeg stoppe en manuel advarsels-sms?,help.fall_alert.show
hvornår skal jeg starte en manuel advarselstekst?,help.fall_alert.show
hvordan kunne jeg starte en manuel advarselsmeddelelse?,help.fall_alert.show
faldberedskab virker ikke,help.fall_alert.show
hvordan skal jeg sende en manuel advarselstekst?,help.fall_alert.show
hvor stopper jeg en alarm?,help.fall_alert.show
hvor starter jeg en manuel advarsel?,help.fall_alert.show
hvor skal jeg starte en manuel advarsel?,help.fall_alert.show
hvor skal jeg sende en manuel advarsel?,help.fall_alert.show
hvor vil jeg starte en manuel advarsels-sms?,help.fall_alert.show
hvordan stopper jeg en faldalarm?,help.fall_alert.show
hvor opsnapper jeg en manuel advarsels-sms?,help.fall_alert.show
hvordan kan jeg starte en manuel advarsel?,help.fall_alert.show
