suite,text,true_intent,predicted_intent,top2,confidence,margin,accepted,category
standard_test,how much distance have i covered today,Cmd.ActivityStep,Default Fallback Intent,Cmd.ActivityCycle,0.5937,0.3818,False,insufficient_training_coverage
standard_test,how to share my wellness data?,Help_HearShare,Help_HearingCareAnywhereConnect,Help_Health,0.955,0.9291,True,same_family_opposite_or_sibling
standard_test,i don’t have a normal memory,Help_MemoryOptions,Cmd.MemoryChange,Default Fallback Intent,0.3345,0.0155,False,result_request_vs_feature_question
standard_test,why can't i hear anything through my hearing aids,Help_SelfCheck,Help_Pairing,Default Fallback Intent,0.5693,0.4485,False,negation
standard_test,can i charge my battery?,Help_Battery,Cmd.BatteryLevel,Help_Battery,0.9832,0.973,True,same_family_opposite_or_sibling
standard_test,mute off,Cmd.VolumeUnmute,Cmd.VolumeMute,Cmd.VolumeUnmute,0.69,0.4931,False,same_family_opposite_or_sibling
standard_test,can i access the cloud?,Help_HearingCareAnywhereConnect,Default Fallback Intent,Help_VoiceAssistant,0.3622,0.0423,False,insufficient_training_coverage
standard_test,how do i send a note to my provider,Help_RemoteProgramming,Help_HearShare,Cmd.SendMessage,0.3845,0.1084,False,same_family_opposite_or_sibling
standard_test,how many help requests can i submit?,Help_RemoteProgramming,Help_IntelliVoice,Help_ThriveScore,0.3263,0.0644,False,low_margin_uncertainty
standard_test,how do i preview new settings?,Help_RemoteProgramming,Default Fallback Intent,Help_RemoteProgramming,0.2705,0.0448,False,low_margin_uncertainty
standard_test,i need help with my settings,Help_DeviceSettings,Help_MemoryOptions,Help_Customize,0.2973,0.0157,False,low_margin_uncertainty
standard_test,what is data log,Help_DeviceSettings,Cmd.MemoryChange,Default Fallback Intent,0.4689,0.2041,False,result_request_vs_feature_question
standard_test,what memory and i currently in?,Help_ChangingMemories,Help_MemoryOptions,Cmd.MemoryChange,0.599,0.2969,False,same_family_opposite_or_sibling
standard_test,how do i increase the bass,Help_Customize,Help_Volume,Help_Customize,0.5759,0.3715,False,insufficient_training_coverage
standard_test,how do i adjust for wind,Help_Customize,Help_EdgeMode,Help_Customize,0.4882,0.2313,False,insufficient_training_coverage
standard_test,can thrive measure my heart rate,Help_HeartRate,Help_HeartRateRecovery,Help_HeartRate,0.6882,0.4127,False,same_family_opposite_or_sibling
standard_test,can i use the phone to check the volume of my hearing aids,Help_Volume,Default Fallback Intent,Help_Pairing,0.6912,0.46,False,other_embedding_or_classifier_weakness
standard_test,how do i check what accessories i have connected to my hearing aids?,Help_Accessories,Help_Pairing,Help_SelfCheck,0.3469,0.035,False,low_margin_uncertainty
standard_test,how do i check what accessories i have connected to my aid?,Help_Accessories,Help_Pairing,Help_Accessories,0.2836,0.0305,False,low_margin_uncertainty
standard_test,how do i check what accessories i have connected to my hearing aid?,Help_Accessories,Help_Pairing,Help_SelfCheck,0.4081,0.1688,False,other_embedding_or_classifier_weakness
standard_test,creating a demo with your capabilities,Default Fallback Intent,Help_DemoMode,Cmd.VolumeIncrease,0.9874,0.9843,True,confident_and_wrong_calibration_issue
standard_test,why isn't my heart mahira anaise bagri working,Default Fallback Intent,Help_HeartRate,Default Fallback Intent,0.6582,0.3723,False,other_embedding_or_classifier_weakness
standard_test,when is memorial day,Default Fallback Intent,reminders.add,Default Fallback Intent,0.5876,0.1841,False,other_embedding_or_classifier_weakness
standard_test,can you put my phone on chris home,Default Fallback Intent,Help_Pairing,Default Fallback Intent,0.6675,0.3644,False,other_embedding_or_classifier_weakness
