text,intent,sklearn_prediction,onnx_prediction,sklearn_correct,onnx_correct,prediction_match
can you remind me to pick up my prescription at 5 p.m. on tuesday,reminders.add,55,55,False,False,True
help with tinnitus volume adjustment on my hearing aids,Help_Tinnitus,48,48,False,False,True
please switch to tinnitus,Cmd.MemoryChange,11,11,False,False,True
how do i use the tv streamer,Help_Accessories,22,22,False,False,True
can you running calories,Cmd.ActivityRun,4,4,False,False,True
please mute my aids,Cmd.VolumeMute,19,19,False,False,True
appreciate it,Default Fallback Intent,21,21,False,False,True
set my hearing for a busy street,Cmd.MemoryChange,11,11,False,False,True
please play tv stream,Cmd.StreamingStart,13,13,False,False,True
help me remember to do that,reminders.add,55,55,False,False,True
set program to three,Cmd.MemoryChange,11,11,False,False,True
can you lower the level of my hearing aids,Cmd.VolumeDecrease,17,17,False,False,True
can you i can't even hardly hear that,Default Fallback Intent,21,21,False,False,True
please switch to everyday program,Cmd.MemoryChange,11,11,False,False,True
where's the find my hearing aid feature,Help_FindMyHearingAids,32,32,False,False,True
what does my recovery score mean,Help_HeartRateRecovery,47,47,False,False,True
how do i check what accessories i have paired to my hearing aids?,Help_Accessories,22,22,False,False,True
can you reminder done.,reminders.complete,56,56,False,False,True
it's busy being born,Default Fallback Intent,21,21,False,False,True
switch program to number three,Cmd.MemoryChange,11,11,False,False,True
please i need to pair the hearing aid to my phone,Help_Pairing,43,43,False,False,True
can you unmute my hearing aids,Cmd.VolumeUnmute,20,20,False,False,True
can you remind me to pick up prescription today at 5 p.m.,reminders.add,55,55,False,False,True
switch memory to music,Cmd.MemoryChange,11,11,False,False,True
what's my hearing aid's model?,Help_DeviceSettings,29,29,False,False,True
how do i increase the volume in my aids?,Help_Volume,52,52,False,False,True
forward a message,Cmd.SendMessage,12,12,False,False,True
so that your hearing,Default Fallback Intent,21,21,False,False,True
right swift code of binary search,Default Fallback Intent,21,21,False,False,True
send communication,Cmd.SendMessage,21,21,False,False,True
please turn on streaming,Cmd.StreamingStart,13,13,False,False,True
set the hearing aids differently,Cmd.MemoryChange,11,11,False,False,True
switch program to four,Cmd.MemoryChange,11,11,False,False,True
what does the health screen show?,Help_Health,33,33,False,False,True
please set memory to number one,Cmd.MemoryChange,11,11,False,False,True
caring for and maintaining my aids,Help_CleanCare,21,21,False,False,True
can you set reminder for 7 a.m. tomorrow about dinner please,reminders.add,55,55,False,False,True
please change memory to four,Cmd.MemoryChange,11,11,False,False,True
how many calories have i burned doing aerobics?,Cmd.ActivityAerobics,0,0,False,False,True
should i use rechargeable or disposable batteries,Help_Battery,21,21,False,False,True
how do i get remote fine tuning,Help_RemoteProgramming,45,45,False,False,True
