text,intent
can you remind me about the teacher meeting on friday,reminders.add
how do i access intelligent voice?,Help_IntelliVoice
can you i can’t get my hearing aid in,Help_InsertDevice
i need to send a voice message,Cmd.SendMessage
where telephone,Cmd.FindMyPhone
can delete a memory,Help_MemoryOptions
why can't i get 200 points with the thrive score?,Help_ThriveScore
ping my hearing aids,Help_FindMyHearingAids
can you volume softer,Cmd.VolumeDecrease
stop streaming media,Cmd.StreamingStop
can you molesting hearing aids to cousin,Default Fallback Intent
how do i change the loudness on my hearing aids?,Help_Volume
please i need help with pairing the aids,Help_Pairing
please my volume is too soft,Cmd.VolumeIncrease
how do i view my health progress,Help_Health
i need to be reminded,reminders.add
how do i turn down the loudness in just one hearing aid?,Help_Volume
drop the sound in my hearing aid,Cmd.VolumeDecrease
when the new warranty,Default Fallback Intent
intelligent voice help,Help_IntelliVoice
set memory to noise,Cmd.MemoryChange
enable live captions,Cmd.TranscribeStart
how do i geotag a memory?,Help_MemoryOptions
can you turn on wi-fi,Default Fallback Intent
none of this app makes sense,Help_Home
what are memory options,Help_MemoryOptions
dailly,Default Fallback Intent
hearing aids translate help,Help_Translate
please i need help pairing the aid,Help_Pairing
how do i adjust my loudness of the tinnitus stimulus in my hearing aid?,Help_Tinnitus
kill the audio completely,Cmd.VolumeMute
get started,Help_WhatsNew
how do i connect my aids?,Help_Pairing
quiet it please,Cmd.VolumeDecrease
can you connect to tv,Cmd.StreamingStart
what's new in my app?,Help_WhatsNew
find my cell for me,Cmd.FindMyPhone
power level status,Cmd.BatteryLevel
disconnect from tv,Cmd.StreamingStop
how will i know when the audiologist adjusted the aid?,Help_RemoteProgramming
set reminder about washing car,reminders.add
i want my aids making sound again,Cmd.VolumeUnmute
what can i ask thrive assistant?,Help_VoiceAssistant
should i clean my hearing aids daily,Help_CleanCare
help with bad audio from my aids,Help_DeviceSettings
can you help with loudness changes on my aid,Help_Volume
pandora,Default Fallback Intent
what's up man,Default Fallback Intent
guide me on changing volume,Help_Volume
how do i improve my wellness score?,Help_ThriveScore
what if the language i want to translate is not listed?,Help_Translate
wireless stream the audio,Cmd.StreamingStart
i could use some help,Default Fallback Intent
what is wicros used for,Help_WiCROS
help i fallen and i can't get up,Help_FallAlert
please there's really no,Default Fallback Intent
how much power is left,Cmd.BatteryLevel
help me find my other hearing aid,Help_FindMyHearingAids
the sound quality is poor lately,Help_DeviceSettings
please start tv stream,Cmd.StreamingStart
please change memory to outdoors,Cmd.MemoryChange
can you volume lower,Cmd.VolumeDecrease
please volume down right aid,Cmd.VolumeDecrease
please dnn speech enhancement help,Help_IntelliVoice
relay this information,Cmd.SendMessage
i would like a reminder,reminders.add
the tv is on but i miss what they say,Cmd.VolumeIncrease
note my jog,Cmd.ActivityRun
can i listen to the adjustments made by my audiologist?,Help_RemoteProgramming
i set my aids down and lost them,Help_FindMyHearingAids
sewing machine,Default Fallback Intent
find my right aid,Help_FindMyHearingAids
what does wellness score mean?,Help_ThriveScore
can you will i hear what is being transcribed?,Help_Transcribe
how do i turn thrive on,Help_Home
kill the audio,Cmd.VolumeMute
please help with pairing my aids,Help_Pairing
can you set program to work,Cmd.MemoryChange
please listen to it.,Cmd.ListenMessage
please show me help for my accessories,Help_Accessories
add a new reminder,reminders.add
please help for speech to text,Help_Transcribe
let me hear it.,Cmd.ListenMessage
what's the volume control feature,Help_Volume
help with pairing my aids,Help_Pairing
please turn the lights on,Default Fallback Intent
please it is a weekend. tell everybody how the pretty mutual customize your car insurance.,Default Fallback Intent
how do i transcribe my words?,Help_Transcribe
show me help for transcribe,Help_Transcribe
