text,intent
how do i change my automatic settings?,Help_DeviceSettings
good not seen a lot of fluid on that side,Default Fallback Intent
can you remind me tomorrow at 9 a.m.,reminders.add
how do i know if i need hearing aids,Default Fallback Intent
when would i stop an alert message?,Help_FallAlert
mark my last reminder complete,reminders.complete
please turn on the sound,Cmd.VolumeUnmute
what is wicros,Help_WiCROS
can you show me my exercise goal,Cmd.ActivityExercise
can you locate my wife,Default Fallback Intent
please remind flight at 6 a.m.,reminders.add
can i use a clip on microphone,Help_Accessories
turn the lights off,Default Fallback Intent
how do i access mask mode,Help_MaskMode
can you office setting,Cmd.MemoryChange
let a contact know my news by text,Cmd.SendMessage
can you remind me to go to the doctor,reminders.add
please increase the volume in my aids,Cmd.VolumeIncrease
please remind me to wash my car,reminders.add
can you finish reminder.,reminders.complete
where should i start a manual alert text message?,Help_FallAlert
what is basic mode?,Help_AppSettings
how do i adjust my loudness of the noise masker in my hearing aids?,Help_Tinnitus
tips to make my batteries last longer,Help_Battery
where did i put my other aid?,Help_FindMyHearingAids
edge mode isn't working,Help_EdgeMode
can you help with changing memories using the thrive app,Help_ChangingMemories
can you it's too low turn it up,Cmd.VolumeIncrease
can you transcribe this conversation,Cmd.TranscribeStart
how do i adjust my loudness of the tinnitus noise in my hearing aids?,Help_Tinnitus
can you help with tinnitus stimulus adjustment in my hearing aids,Help_Tinnitus
tick off my reminder,reminders.complete
help me use hearshare,Help_HearShare
caption this conversation,Cmd.TranscribeStart
please i can't remember where my aid is,Help_FindMyHearingAids
battery,Cmd.BatteryLevel
play my new messages,Cmd.ListenMessage
please start recording for me,Cmd.TranscribeStart
help me translate,Help_Translate
can you open translation in spanish,Cmd.TranslationStart
halt the streaming,Cmd.StreamingStop
can you change memory to test one,Cmd.MemoryChange
switch program to school,Cmd.MemoryChange
different kind of needs,Default Fallback Intent
view my body and brain health,Help_Health
i'm off for a walk,Cmd.ActivityWalk
change program to gym,Cmd.MemoryChange
can you hearing aid volume on,Cmd.VolumeUnmute
help me understand what they're saying in another language,Cmd.TranslationStart
switch memory to speech,Cmd.MemoryChange
change to pub,Cmd.MemoryChange
how do you allow someone else to key in normal tv,Default Fallback Intent
can you remember i came in here and,Default Fallback Intent
can you location suddenly,Default Fallback Intent
greetings,Default Fallback Intent
give me an overview of the app,Help_Home
please translate for russian,Cmd.TranslationStart
switch program to worship,Cmd.MemoryChange
let me send a message,Cmd.SendMessage
where do i control the loudness,Help_Volume
calories burned so far,Cmd.ActivityCalories
route the sound to my hearing aids,Cmd.StreamingStart
what does intelligent voice do,Help_IntelliVoice
silence everything,Cmd.VolumeMute
how do i add a person to hearshare,Help_HearShare
get that volume out of my ear,Cmd.VolumeDecrease
please help with changing memories on my aids,Help_ChangingMemories
send a quick message,Cmd.SendMessage
when would i stop a manual alert text message?,Help_FallAlert
please set memory to mute,Cmd.MemoryChange
using the app without aids connected,Help_DemoMode
text my family,Cmd.SendMessage
help with tinnitus volume adjustment on my hearing aids,Help_Tinnitus
please remind me to buy milk on tuesday at 8 p.m.,reminders.add
can you telephone audio input,Default Fallback Intent
please adidas women boots,Default Fallback Intent
"please hey maggie, ready for telephone.",Default Fallback Intent
can you voice ai,Help_IntelliVoice
remind me on the 27th of august tomy flight,reminders.add
can you decrease hearing,Cmd.VolumeDecrease
start recording my run,Cmd.ActivityRun
change memory to theater,Cmd.MemoryChange
switch to theater memory,Cmd.MemoryChange
please set setting to four,Cmd.MemoryChange
is the hearing aid connected to the app?,Help_Pairing
