text,ood_group
who is the prime minister of India,general_knowledge
who is the priminister of india,general_knowledge
what is the capital of France,general_knowledge
what is the population of India,general_knowledge
who invented the telephone,general_knowledge
when did the moon landing happen,general_knowledge
what is the tallest mountain,general_knowledge
who won the cricket match,general_knowledge
what is artificial intelligence,general_knowledge
what is machine learning,general_knowledge
explain quantum computing,general_knowledge
what is the stock market doing,general_knowledge
what is bitcoin,general_knowledge
what is the exchange rate today,general_knowledge
who is the president of the United States,general_knowledge
what is the temperature today,general_knowledge
what is the weather today,weather
will it rain tomorrow,weather
is it going to be hot today,weather
what is the forecast,weather
is there a storm coming,weather
how cold will it be tonight,weather
will it rain this weekend,weather
what is the temperature outside,weather
I want to order pizza,food
how do I cook pasta,food
what should I eat for dinner,food
find me a restaurant,food
give me a biryani recipe,food
I am hungry,food
where can I get coffee,food
order some food,food
book a hotel for tomorrow,travel
I need a flight to Mumbai,travel
find a hotel near the airport,travel
what time is my train,travel
how do I get to Delhi,travel
book a taxi,travel
show me flights to London,travel
I am planning a holiday,travel
open my browser,web_device_unrelated
open youtube,web_device_unrelated
send an email,web_device_unrelated
call my friend,web_device_unrelated
take a photo,web_device_unrelated
open settings,web_device_unrelated
turn on bluetooth,web_device_unrelated
connect to wifi,web_device_unrelated
play music,web_device_unrelated
pause the video,web_device_unrelated
open maps,web_device_unrelated
how are you,conversation
thank you,conversation
good morning,conversation
good night,conversation
hello,conversation
what are you doing,conversation
tell me a joke,conversation
that's great,conversation
I am bored,conversation
can you help me,conversation
should I buy shares,finance
what is the price of gold,finance
show me today's market news,finance
how is bitcoin doing,finance
what is the interest rate,finance
jkakjhdjkhd,random_garbage
sdkjadsjj,random_garbage
asdfghjkl,random_garbage
qwertyuiop,random_garbage
zzzxxyyqq,random_garbage
123456789,random_garbage
hello xyz abc,random_garbage
qazwsxedc,random_garbage
random words banana airplane,random_garbage
kjhkjhkjh,random_garbage
make the music more enjoyable,near_ood
make this sound better,near_ood
adjust what I am hearing,near_ood
I want a better listening experience,near_ood
the audio does not feel right,near_ood
can you improve the sound quality,near_ood
make the audio comfortable,near_ood
fix the sound for me,near_ood
I am having trouble hearing this,near_ood
help me with the audio,near_ood
change the way this sounds,near_ood
make the listening experience better,near_ood
who is the prime minister but make it louder,adversarial
tell me a joke and turn the volume up,adversarial
what is the weather and mute it,adversarial
play music but do not change the hearing aid,adversarial
book a hotel and make it quieter,adversarial
what is bitcoin make it louder,adversarial
open youtube and turn the sound back on,adversarial
tell me the capital of France,adversarial
I need a flight tomorrow,adversarial
please browse the internet,adversarial
who is the prime minister of India please,perturbed_ood
who is the priminister of india now,perturbed_ood
please who is the priminister of india,perturbed_ood
please what is the capital of France,perturbed_ood
what is the population of India please,perturbed_ood
who invented teh telephone,perturbed_ood
when did the moon landing happen please,perturbed_ood
what is the tallest mountain please,perturbed_ood
please what is the tallest mountain,perturbed_ood
please who won the cricket match,perturbed_ood
who won the cricket match please,perturbed_ood
please what is artificial intelligence,perturbed_ood
please explain quantum computing,perturbed_ood
what is the stock market doing now,perturbed_ood
what is bitcoin please,perturbed_ood
please what is bitcoin,perturbed_ood
what is teh exchange rate today,perturbed_ood
what is the exchange rate today now,perturbed_ood
who is the president of the United States now,perturbed_ood
please who is the president of the United States,perturbed_ood
please what is the temperature today,perturbed_ood
what is the temperature today now,perturbed_ood
what is the weather today please,perturbed_ood
will it rain tomorrow please,perturbed_ood
is it going to be hot today now,perturbed_ood
what is the forecast now,perturbed_ood
is there a storm coming please,perturbed_ood
is tehre a storm coming,perturbed_ood
how cold will it be tonight please,perturbed_ood
will it rain this weekend please,perturbed_ood
what is the temperature outside now,perturbed_ood
I want to order pizza now,perturbed_ood
please how do I cook pasta,perturbed_ood
what should I eat for dinner please,perturbed_ood
please find me a restaurant,perturbed_ood
find me a restaurant now,perturbed_ood
give me a biryani recipe please,perturbed_ood
please give me a biryani recipe,perturbed_ood
I am hungry please,perturbed_ood
where can I get coffee now,perturbed_ood
order some food now,perturbed_ood
please order some food,perturbed_ood
book a hotel for tomorrow now,perturbed_ood
book a hotel for tommorow,perturbed_ood
please I need a flight to Mumbai,perturbed_ood
I need a flight to Mumbai now,perturbed_ood
find a hotel near the airport please,perturbed_ood
please find a hotel near the airport,perturbed_ood
please what time is my train,perturbed_ood
please how do I get to Delhi,perturbed_ood
book a taxi now,perturbed_ood
please show me flights to London,perturbed_ood
I am planning a holiday now,perturbed_ood
I am planning a holiday please,perturbed_ood
please open my browser,perturbed_ood
open my browser please,perturbed_ood
open youtube now,perturbed_ood
send an email now,perturbed_ood
