text,intent
how do i unpair my tv streamer?,Help_Accessories
can i tag a location to my memory?,Help_MemoryOptions
can you remind me to pick up my prescription on friday at 5 p.m.,reminders.add
please remind me to go to the grocery story every sunday at noon,reminders.add
please change to speech program,Cmd.MemoryChange
guide me to my heart rate,Help_HeartRate
can you connect left hearing aid,Help_Pairing
hey there,Default Fallback Intent
using the app without hearing aids connected,Help_DemoMode
help me with translate,Help_Translate
can you change to theater,Cmd.MemoryChange
track my heart rate recovery,Help_HeartRateRecovery
patch the tv audio through to my aids,Cmd.StreamingStart
what is wrong with my left hearing aid,Help_SelfCheck
the noise level is too high,Cmd.VolumeDecrease
can you turn on the answer double tap slept here.,Default Fallback Intent
what does this voice ai do?,Help_IntelliVoice
can you take a break and come back,Default Fallback Intent
can you switch to personal program,Cmd.MemoryChange
send a text,Cmd.SendMessage
it was discouraging and then i found balance of nature it's just being a no-brainer ever since i feel good,Default Fallback Intent
please remind me to pick up my prescription saturday at 5 p.m.,reminders.add
my hearing aids have too much treble,Help_Customize
can you golf program,Cmd.MemoryChange
is there a tutorial,Help_Home
set program to automatic,Cmd.MemoryChange
set memory to number two,Cmd.MemoryChange
halt streaming,Cmd.StreamingStop
can you set to work program,Cmd.MemoryChange
how do i change the cros balance on the transmitter?,Help_WiCROS
change program to music,Cmd.MemoryChange
set to theater program,Cmd.MemoryChange
please remember i came in here and,Default Fallback Intent
can you remind me everyday to read a book at 6 p.m.,reminders.add
can i preview the adjustments made by my professional?,Help_RemoteProgramming
turn off tv,Default Fallback Intent
how do i change my walking goals from daily to weekly?,Help_Health
what's new in this version?,Help_WhatsNew
can you silence,Cmd.VolumeMute
switch to theater,Cmd.MemoryChange
i can't locate my phone ping it,Cmd.FindMyPhone
what's new in the thrive app?,Help_WhatsNew
can you switch to golf,Cmd.MemoryChange
how's your day going,Default Fallback Intent
how do i set my own preferences,Help_Customize
explain how fall alerts are sent,Help_FallAlert
girls do that i want to go to italy,Default Fallback Intent
please pair left aid,Help_Pairing
please i'll let you sleep,Default Fallback Intent
remind me on the 27th of august tomy flight,reminders.add
can you link drive to hearing aid,Help_Pairing
please change to telephone memory,Cmd.MemoryChange
how do i get a better brain score?,Help_ThriveScore
whats up,Default Fallback Intent
can you remind me on the 27th of august tomy flight,reminders.add
switch memory to auditorium,Cmd.MemoryChange
please my hearing aids are missing,Help_FindMyHearingAids
can you change to school program,Cmd.MemoryChange
troubleshoot my hearing aids,Help_SelfCheck
please play my last message,Cmd.ListenMessage
please remind about running everyday at 6 a.m.,reminders.add
start tracking my bike ride,Cmd.ActivityCycle
where do i see words being said in real time?,Help_Transcribe
can you decrease the loudness in my aids,Cmd.VolumeDecrease
please remind about running at 6 a.m. on 7th december,reminders.add
please lost android phone,Cmd.FindMyPhone
how much juice is left,Cmd.BatteryLevel
what is a reminder,Help_Reminder
how do i change the volume on my aids?,Help_Volume
create a reminder,reminders.add
can i contact my hearing care specialist for adjustments?,Help_RemoteProgramming
guide me on customizing my sound,Help_Customize
how do i charge my ric hearing aid?,Help_Battery
how do i save the adjustments made by my audiologist?,Help_RemoteProgramming
how do i change the machine noise setting,Help_Customize
log my training session,Cmd.ActivityExercise
show me my bpm,Help_HeartRate
please i cannot find my hearing aids,Help_FindMyHearingAids
what is streamboost,Default Fallback Intent
can you remind me to buy movie tickets for friday evening,reminders.add
fully mute the aids,Cmd.VolumeMute
what's new with my hearing aids,Help_WhatsNew
how would i stop an alert text?,Help_FallAlert
adjust each ear's volume separately,Help_Volume
can i change my battery?,Help_Battery
i want less volume,Cmd.VolumeDecrease
please replay my message.,Cmd.ListenMessage
please send me a reminder to pay the cable bill on march 3,reminders.add
what adjustments can i make on the main screen?,Help_Home
i'm about to exercise,Cmd.ActivityExercise
please play tv stream,Cmd.StreamingStart
please less volume please,Cmd.VolumeDecrease
can you set reminder to drink water at 9 p.m. every tuesday,reminders.add
gentle on the volume,Cmd.VolumeDecrease
set reminder,reminders.add
please battery life left,Cmd.BatteryLevel
help with tinnitus stimulus adjustment on my aid,Help_Tinnitus
how do i customize how things sound,Help_Customize
who won the game last night,Default Fallback Intent
how do i change to another program on my aids?,Help_ChangingMemories
what does remote programming let me do,Help_RemoteProgramming
change program to train,Cmd.MemoryChange
i want a reminder for my class,reminders.add
how can i create my own memory?,Help_MemoryOptions
please restaurant near me,Default Fallback Intent
please set memory to theater,Cmd.MemoryChange
i'm at the gym now,Cmd.MemoryChange
help me switch between profiles,Help_ChangingMemories
