text,intent,source,predicted_intent,confidence,correct
switch my hearing aid to the restaurant program,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9832940101623535,True
put my hearing aids into the phone setting,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.8872721195220947,True
change the current hearing program to music,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9831868410110474,True
use my outdoor hearing setting,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9852038621902466,True
move to the television listening program,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9387441277503967,True
change which hearing aid program is active,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9272305965423584,True
switch from my current hearing mode to the phone mode,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.8568150997161865,True
select a different hearing profile,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9905636310577393,True
change the hearing setting I'm using now,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9844900369644165,True
put the devices into the program I use for conversations,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9387183785438538,True
switch the active memory on my hearing aids,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9515573382377625,True
choose another hearing aid environment,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.47014012932777405,True
move my hearing aids to the music profile,device.memory.change,unseen_semantic_stress_test,streaming.session.start,0.723565936088562,False
change the program for my hearing aids,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9723405838012695,True
select the telephone hearing program,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9438740611076355,True
switch to my custom hearing setting,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9823148250579834,True
change the active hearing memory,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.979939341545105,True
put my hearing aids in the program for watching TV,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9053313136100769,True
use a different hearing profile right now,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9801908135414124,True
switch my devices to another listening mode,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.8972178101539612,True
change the memory currently selected,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9624302983283997,True
move to my conversation program,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.984173059463501,True
select the hearing mode for noisy places,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9415590167045593,True
switch the hearing aids to my preferred program,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.966929018497467,True
change the current listening profile,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9887611269950867,True
activate another hearing program,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.982980489730835,True
put the hearing aids on the setting I use outdoors,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9625700116157532,True
switch to the program for phone calls,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9784241914749146,True
change which memory my hearing aids are using,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9288417100906372,True
select a different sound program,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9841692447662354,True
move from this hearing program to another one,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9855981469154358,True
change my current device setting,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9908684492111206,True
switch to my TV listening profile,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9177810549736023,True
activate the restaurant hearing program,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9845227003097534,True
choose another memory for the hearing aids,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9471126794815063,True
change the listening environment setting,device.memory.change,unseen_semantic_stress_test,device.memory.change,0.9846780300140381,True
