text,intent
what's the latest cricket score?,Default Fallback Intent
what is the football score,Default Fallback Intent
check the baseball score,Default Fallback Intent
what was the score of the game,Default Fallback Intent
what is my credit score,Default Fallback Intent
how to improve my credit score,Default Fallback Intent
show me live scores,Default Fallback Intent
what's the score,Default Fallback Intent
what is the current cricket score,Default Fallback Intent
tell me the latest cricket score,Default Fallback Intent
cricket score update,Default Fallback Intent
what is the score of the cricket match,Default Fallback Intent
show me the cricket score,Default Fallback Intent
get the latest sports score,Default Fallback Intent
i want to know the score,Default Fallback Intent
can you tell me the score,Default Fallback Intent
what is the volume of a sphere,Default Fallback Intent
calculate the volume of a cylinder,Default Fallback Intent
where can i buy a car battery,Default Fallback Intent
my phone battery is dead,Default Fallback Intent
i have a bad memory,Default Fallback Intent
how to improve my memory,Default Fallback Intent
what tv program is on tonight,Default Fallback Intent
write a computer program,Default Fallback Intent
what is the weather like in london,Default Fallback Intent
did the lakers win,Default Fallback Intent
who won the match,Default Fallback Intent
who is winning the cricket match,Default Fallback Intent
show me the latest score,Default Fallback Intent
give me the game score,Default Fallback Intent
what is the basketball score,Default Fallback Intent
