row_number,text,true_intent,predicted_intent,true_id,predicted_id,correct,confidence
62,what are the fall detections,Help_FallAlert,Default Fallback Intent,31,21,0,0.29159223610988666
291,activity goal,Cmd.ActivityAerobics,Default Fallback Intent,0,21,0,0.2706658246370868
384,calories standing,Cmd.ActivityStand,Default Fallback Intent,5,21,0,0.2008306252120169
449,what's new in the app?,Help_WhatsNew,Default Fallback Intent,53,21,0,0.40245796521166427
450,what's new in the app,Help_WhatsNew,Default Fallback Intent,53,21,0,0.40245796521166427
456,what's new in this version of my app?,Help_WhatsNew,Default Fallback Intent,53,21,0,0.2797494853159754
458,what's new in this version?,Help_WhatsNew,Default Fallback Intent,53,21,0,0.5078778331289413
530,how do i perform a self-check?,Help_SelfCheck,Default Fallback Intent,46,21,0,0.23406946892454683
534,when should i use self-check?,Help_SelfCheck,Default Fallback Intent,46,21,0,0.22571007421234118
536,what if self-check says that my hearing aid is broken?,Help_SelfCheck,Default Fallback Intent,46,21,0,0.3794698630332446
560,how often should i use self-check?,Help_SelfCheck,Default Fallback Intent,46,21,0,0.35792609712115586
868,schedule physical therapy appointment tomorrow morning 8:40 a.m.,reminders.add,Default Fallback Intent,55,21,0,0.4223947126343176
878,remember to watch,reminders.add,Default Fallback Intent,55,21,0,0.39978888557415004
879,remember to wash the car in 4 hours,reminders.add,Default Fallback Intent,55,21,0,0.5526933880591195
882,remember to wake up at 7 a.m.,reminders.add,Default Fallback Intent,55,21,0,0.6692323554033996
883,remember to wake up at 6 a.m.,reminders.add,Default Fallback Intent,55,21,0,0.6599655458189311
885,remember to turn the lights on at 8 p.m.,reminders.add,Default Fallback Intent,55,21,0,0.5956487381526719
893,don't let me forget,reminders.add,Default Fallback Intent,55,21,0,0.2686305768779065
930,remind me to get groceries every month on the 15th at 1 p.m.,reminders.add,Default Fallback Intent,55,21,0,0.7866715359828772
944,remind me at 7 p.m. on november 11 to do homework,reminders.add,Default Fallback Intent,55,21,0,0.38230381680903097
952,remind me at 1 p.m. that i have to eat,reminders.add,Default Fallback Intent,55,21,0,0.675903972034039
978,remind me of blood brothers,reminders.add,Default Fallback Intent,55,21,0,0.5471989677379577
996,remind about business meeting every monday at 4 p.m.,reminders.add,Default Fallback Intent,55,21,0,0.5380758238442394
998,remind about running at 6 a.m. on 7th december,reminders.add,Default Fallback Intent,55,21,0,0.36030897077537144
999,remind me to wake up at 7 a.m.,reminders.add,Default Fallback Intent,55,21,0,0.3356323288676648
1009,new reminder about washing car,reminders.add,Default Fallback Intent,55,21,0,0.42294684139550653
1022,remind me 10:30 p.m. to close the restaurant,reminders.add,Default Fallback Intent,55,21,0,0.2520556934199062
1148,how to set calendar event,Help_Reminder,Default Fallback Intent,44,21,0,0.2771660561872726
1346,what are all the features of health?,Help_Health,Default Fallback Intent,33,21,0,0.26978507313610756
1355,tell me what how much do i owe you is in español,Cmd.TranslationStart,Default Fallback Intent,16,21,0,0.4519688674510349
1375,minimum sound,Cmd.VolumeDecrease,Default Fallback Intent,17,21,0,0.2230216765189696
1393,min sound,Cmd.VolumeDecrease,Default Fallback Intent,17,21,0,0.2230216765189696
1502,is it ok to push the mold in deep?,Help_InsertDevice,Default Fallback Intent,39,21,0,0.7709922677486611
1523,is it ok to push the mold in far?,Help_InsertDevice,Default Fallback Intent,39,21,0,0.5857432793395222
1616,start recording for me,Cmd.TranscribeStart,Default Fallback Intent,15,21,0,0.3222681950978705
1757,replay my message.,Cmd.ListenMessage,Default Fallback Intent,10,21,0,0.2143054107894077
1839,got to getting a text message at boston,Default Fallback Intent,Cmd.SendMessage,21,12,0,0.8207768543475781
1840,ashes to ashes all fall down,Default Fallback Intent,Cmd.FindMyPhone,21,9,0,0.17488894016445003
1843,what are stock options,Default Fallback Intent,Help_HearingCareAnywhereConnect,21,35,0,0.34632810147135584
1845,electric car battery,Default Fallback Intent,Help_Battery,21,24,0,0.7667160222156109
1846,car battery,Default Fallback Intent,Cmd.BatteryLevel,21,8,0,0.8556315067657015
1847,how do i dispose of a body,Default Fallback Intent,Help_ThriveScore,21,47,0,0.6123472512652965
1848,what is the impact to the environment of an electric battery for a vehicle,Default Fallback Intent,Help_EdgeMode,21,30,0,0.2184858662685246
1850,new delhi,Default Fallback Intent,Cmd.VolumeDecrease,21,17,0,0.4854284673848762
1852,what's new in the world today,Default Fallback Intent,Help_WhatsNew,21,53,0,0.37072590093045726
1853,where can i get my hearing checked,Default Fallback Intent,Help_HearingCareAnywhereConnect,21,35,0,0.6505202339481181
1854,how do i make chili,Default Fallback Intent,Help_FallAlert,21,31,0,0.13578499064278485
1855,how do i make,Default Fallback Intent,Help_IntelliVoice,21,40,0,0.2573263895262623
1856,how do i make chicken,Default Fallback Intent,Help_FallAlert,21,31,0,0.13578499064278485
1857,how do i make eggs,Default Fallback Intent,Help_FallAlert,21,31,0,0.13578499064278485
1858,how do i make lasagna,Default Fallback Intent,Help_FallAlert,21,31,0,0.13578499064278485
1861,what should i do when i am there,Default Fallback Intent,Help_RemoteProgramming,21,45,0,0.37553435161613885
1862,what should i see when i'm there,Default Fallback Intent,Help_Home,21,38,0,0.3575604683234032
1863,how often should somebody exercise every week,Default Fallback Intent,Help_WhatsNew,21,53,0,0.3042102585664954
1866,how do i know if i need hearing aids,Default Fallback Intent,Help_DeviceSettings,21,29,0,0.30781391808404457
1867,everyday is exciting,Default Fallback Intent,Help_Transcribe,21,49,0,0.2480590439951525
1869,how do i tie my shoes,Default Fallback Intent,Help_Customize,21,27,0,0.7489521114307657
1871,what time does falls park open,Default Fallback Intent,Help_HearShare,21,34,0,0.2567455699759046
1872,tell me a joke i need to be cheered up,Default Fallback Intent,Help_FindMyHearingAids,21,32,0,0.21403634276871833
1873,should i tell him how i feel,Default Fallback Intent,Help_Customize,21,27,0,0.6887164723140561
1874,what is my location,Default Fallback Intent,Cmd.FindMyPhone,21,9,0,0.510376508868482
1875,creating a demo with your capabilities,Default Fallback Intent,Help_DemoMode,21,28,0,0.4175642500930953
1880,why isn't my heart mahira anaise bagri working,Default Fallback Intent,Help_HeartRate,21,36,0,0.7231492172553499
1881,how do you fix your tv?,Default Fallback Intent,Cmd.StreamingStart,21,13,0,0.22502623173514974
1883,when is memorial day,Default Fallback Intent,Help_Transcribe,21,49,0,0.27561611543909037
1886,ask my house,Default Fallback Intent,Help_Customize,21,27,0,0.527828024597887
1887,how do i get to swimsuits,Default Fallback Intent,Help_HearingCareAnywhereConnect,21,35,0,0.36941836026416414
1888,"hello, just a hearing aid the volume on my hearing aids. bye. bye.",Default Fallback Intent,Help_Volume,21,52,0,0.3944296564297645
1889,take a look at a distance,Default Fallback Intent,Cmd.VolumeDecrease,21,17,0,0.4633596257400725
1894,can you call my contact,Default Fallback Intent,Cmd.FindMyPhone,21,9,0,0.5203887251987827
1898,they are trying to reduce the temperature right now,Default Fallback Intent,Help_MemoryOptions,21,42,0,0.3290634994704098
1899,david soul alert,Default Fallback Intent,Help_FallAlert,21,31,0,0.2558471876219211
1902,can you put my phone on chris home,Default Fallback Intent,Cmd.FindMyPhone,21,9,0,0.899130431645948
1903,reset,Default Fallback Intent,Cmd.ActivityRun,21,4,0,0.24545247845238613
1904,microphone,Default Fallback Intent,Cmd.StreamingStart,21,13,0,0.3837429380897002
1905,how do i turn my hearing a song.,Default Fallback Intent,Help_ThriveScore,21,47,0,0.302239748640821
1906,florist off screen,Default Fallback Intent,Cmd.VolumeMute,21,19,0,0.6226279089470944
1908,phone phone phone phone phone,Default Fallback Intent,Cmd.FindMyPhone,21,9,0,0.9505704719763763
