text,intent,v6_prediction,v6_confidence,v6_top2,v6_top2_confidence,v6_top3,v6_top3_confidence,v6_correct,v7_prediction,v7_confidence,v7_top2,v7_top2_confidence,v7_top3,v7_top3_confidence,v7_correct,change_category,v71_prediction,v71_confidence,v71_top2,v71_top3,v71_correct
where is my crowd settings,Help_MemoryOptions,29,0.1875462,42,0.10131114,23,0.092493035,False,Help_DeviceSettings,0.25274068,Help_AppSettings,0.17556165,Help_Customize,0.14365752,False,FIXED_BY_V71,Help_MemoryOptions,0.25175005,Help_DeviceSettings,Help_AppSettings,True
log the miles i just covered,Cmd.ActivityRun,8,0.18921733,4,0.14067869,2,0.13349842,False,Cmd.BatteryLevel,0.24055581,Cmd.ActivityRun,0.1621315,Cmd.ActivityCycle,0.12775497,False,FIXED_BY_V71,Cmd.ActivityRun,0.32840124,Cmd.BatteryLevel,Cmd.ActivityCycle,True
what level am i hearing aids,Default Fallback Intent,46,0.24442886,21,0.18901287,29,0.08414716,False,Help_SelfCheck,0.19700152,Help_DeviceSettings,0.11331068,Help_ThriveScore,0.07389495,False,FIXED_BY_V71,Default Fallback Intent,0.2638633,Help_SelfCheck,Cmd.BatteryLevel,True
what add-ons are available,Help_Accessories,38,0.30569085,23,0.14705423,53,0.12090365,False,Help_Home,0.27869037,Help_Accessories,0.15763734,Help_AppSettings,0.114134066,False,FIXED_BY_V71,Help_Accessories,0.2749209,Help_Home,Help_WhatsNew,True
are my hearing aids getting low?,Cmd.BatteryLevel,29,0.23752503,52,0.22408319,48,0.14689228,False,Help_DeviceSettings,0.28274804,Help_Volume,0.21633928,Help_Tinnitus,0.1536927,False,FIXED_BY_V71,Cmd.BatteryLevel,0.2605326,Help_DeviceSettings,Help_Volume,True
how can i get the left hearing aid?,Help_SelfCheck,32,0.3361856,46,0.1187656,21,0.10714733,False,Help_FindMyHearingAids,0.27234358,Help_SelfCheck,0.22325282,Help_InsertDevice,0.107497744,False,FIXED_BY_V71,Help_SelfCheck,0.3334413,Help_FindMyHearingAids,Help_InsertDevice,True
how do i turn my radio music,Default Fallback Intent,21,0.4021676,29,0.15801883,13,0.08794531,False,Help_DeviceSettings,0.20908105,Default Fallback Intent,0.1930973,Cmd.StreamingStart,0.19304858,False,FIXED_BY_V71,Default Fallback Intent,0.32207304,Cmd.StreamingStart,Help_DeviceSettings,True
how do i change to basic mode,Help_AppSettings,25,0.4413407,11,0.1325896,23,0.09941888,False,Help_ChangingMemories,0.3349795,Help_AppSettings,0.30505294,Cmd.MemoryChange,0.09596395,False,FIXED_BY_V71,Help_AppSettings,0.42809483,Help_ChangingMemories,Cmd.MemoryChange,True
my aid keeps cutting out,Help_DeviceSettings,39,0.49295273,29,0.25162235,22,0.037234746,False,Help_InsertDevice,0.43368444,Help_DeviceSettings,0.4039986,Help_CleanCare,0.026818523,False,FIXED_BY_V71,Help_DeviceSettings,0.47546294,Help_InsertDevice,Help_CleanCare,True
how do i navigate,Help_Home,21,0.921154,38,0.05150898,7,0.0022960813,False,Default Fallback Intent,0.494737,Help_Home,0.44628254,Help_WhatsNew,0.006027282,False,FIXED_BY_V71,Help_Home,0.62720865,Default Fallback Intent,Help_WhatsNew,True
do i put the earmold in first,Help_InsertDevice,21,0.72467035,39,0.100628264,54,0.014385014,False,Default Fallback Intent,0.36653036,Help_InsertDevice,0.31444559,Help_CleanCare,0.028851524,False,FIXED_BY_V71,Help_InsertDevice,0.4856921,Default Fallback Intent,Help_SelfCheck,True
where do i go to do things,Help_Home,21,0.9217733,38,0.049535643,51,0.0018184178,False,Default Fallback Intent,0.48040873,Help_Home,0.44289795,Help_WhatsNew,0.007302946,False,FIXED_BY_V71,Help_Home,0.5838499,Default Fallback Intent,Help_WhatsNew,True
can you show me a quick start guide,Help_WhatsNew,38,0.580477,53,0.26078814,28,0.020955766,False,Help_Home,0.52623224,Help_WhatsNew,0.4125468,Help_DemoMode,0.012083409,False,FIXED_BY_V71,Help_WhatsNew,0.51612276,Help_Home,Help_DemoMode,True
turn on hearing aids,Cmd.VolumeUnmute,21,0.9783092,20,0.0035715967,8,0.002068975,False,Default Fallback Intent,0.5392316,Cmd.VolumeUnmute,0.27287707,Cmd.VolumeMute,0.024056068,False,FIXED_BY_V71,Cmd.VolumeUnmute,0.4288469,Default Fallback Intent,Cmd.VolumeMute,True
got enough battery for a movie,Cmd.BatteryLevel,21,0.9243297,8,0.040498503,56,0.0036126208,False,Default Fallback Intent,0.40105107,Cmd.BatteryLevel,0.35440493,Help_Battery,0.031819083,False,FIXED_BY_V71,Cmd.BatteryLevel,0.44621095,Default Fallback Intent,Help_Battery,True
break it down for me,Help_Home,21,0.97644323,38,0.0032288886,10,0.0029889161,False,Default Fallback Intent,0.5627123,Help_Home,0.18781751,Cmd.TranscribeStart,0.03768203,False,FIXED_BY_V71,Help_Home,0.38022032,Default Fallback Intent,Cmd.TranscribeStart,True
i took my pills you can clear that,reminders.complete,21,0.9567854,56,0.018892417,10,0.0047910265,False,Default Fallback Intent,0.4428771,reminders.complete,0.39347488,Cmd.ListenMessage,0.03115938,False,FIXED_BY_V71,reminders.complete,0.45995477,Default Fallback Intent,Cmd.ListenMessage,True
i could use an introduction,Help_Home,21,0.9775875,38,0.0072140545,53,0.0012526329,False,Default Fallback Intent,0.6413463,Help_Home,0.22902924,Cmd.TranscribeStart,0.015659811,False,FIXED_BY_V71,Help_Home,0.45350048,Default Fallback Intent,Cmd.TranscribeStart,True
