text,intent
i can barely make out what people say,Cmd.VolumeIncrease
everything sounds too faint,Cmd.VolumeIncrease
voices are too soft for me,Cmd.VolumeIncrease
crank the sound up a bit,Cmd.VolumeIncrease
boost the loudness please,Cmd.VolumeIncrease
make speech louder,Cmd.VolumeIncrease
turn the level up,Cmd.VolumeIncrease
i'm missing half the conversation,Cmd.VolumeIncrease
speech is too quiet,Cmd.VolumeIncrease
could you raise the volume,Cmd.VolumeIncrease
bump it up a little,Cmd.VolumeIncrease
everything is too low,Cmd.VolumeIncrease
i want it louder,Cmd.VolumeIncrease
amplify the sound for me,Cmd.VolumeIncrease
raise the loudness,Cmd.VolumeIncrease
the tv is too quiet for me,Cmd.VolumeIncrease
i keep missing words,Cmd.VolumeIncrease
sound feels weak,Cmd.VolumeIncrease
give me a bit more volume,Cmd.VolumeIncrease
step the volume up,Cmd.VolumeIncrease
louder please,Cmd.VolumeIncrease
i can't hear the speaker well,Cmd.VolumeIncrease
turn things up so i can hear,Cmd.VolumeIncrease
make my aids louder,Cmd.VolumeIncrease
push the level higher,Cmd.VolumeIncrease
increase how loud it is,Cmd.VolumeIncrease
people sound muffled and faint,Cmd.VolumeIncrease
i need to hear better turn it up,Cmd.VolumeIncrease
turn the sound down a bit,Cmd.VolumeDecrease
make it softer please,Cmd.VolumeDecrease
lower the volume,Cmd.VolumeDecrease
it's too loud for me,Cmd.VolumeDecrease
bring the level down,Cmd.VolumeDecrease
quieter please,Cmd.VolumeDecrease
ease the volume back,Cmd.VolumeDecrease
that's painfully loud,Cmd.VolumeDecrease
the sound is too strong,Cmd.VolumeDecrease
cut the volume a little,Cmd.VolumeDecrease
drop the level down,Cmd.VolumeDecrease
tone the loudness down,Cmd.VolumeDecrease
i need it softer,Cmd.VolumeDecrease
too much volume right now,Cmd.VolumeDecrease
soften things up,Cmd.VolumeDecrease
knock the sound back,Cmd.VolumeDecrease
scale the volume down,Cmd.VolumeDecrease
it's blasting my ears,Cmd.VolumeDecrease
dial the loudness down,Cmd.VolumeDecrease
everything is way too loud,Cmd.VolumeDecrease
make speech quieter,Cmd.VolumeDecrease
lower how loud it is,Cmd.VolumeDecrease
trim the volume,Cmd.VolumeDecrease
back the level off,Cmd.VolumeDecrease
the noise level is too high,Cmd.VolumeDecrease
ratchet it down a notch,Cmd.VolumeDecrease
gentle on the volume,Cmd.VolumeDecrease
i need it more quiet,Cmd.VolumeDecrease
give me a little quiet,Cmd.VolumeDecrease
quiet it down for me,Cmd.VolumeDecrease
i'd like things quieter,Cmd.VolumeDecrease
make my surroundings quieter,Cmd.VolumeDecrease
bring me some quiet,Cmd.VolumeDecrease
cut all the sound,Cmd.VolumeMute
total silence please,Cmd.VolumeMute
kill the audio completely,Cmd.VolumeMute
i want absolute quiet,Cmd.VolumeMute
shut the sound off,Cmd.VolumeMute
silence everything,Cmd.VolumeMute
turn all sound off,Cmd.VolumeMute
no sound at all please,Cmd.VolumeMute
fully mute the aids,Cmd.VolumeMute
stop all audio,Cmd.VolumeMute
mute it entirely,Cmd.VolumeMute
block out every sound,Cmd.VolumeMute
i need complete silence now,Cmd.VolumeMute
zero volume please,Cmd.VolumeMute
switch the sound off,Cmd.VolumeMute
quiet everything down to nothing,Cmd.VolumeMute
mute right now,Cmd.VolumeMute
i want pure silence,Cmd.VolumeMute
cut every bit of sound,Cmd.VolumeMute
make it dead silent,Cmd.VolumeMute
no sound whatsoever please,Cmd.VolumeMute
kill all the noise completely,Cmd.VolumeMute
total quiet now please,Cmd.VolumeMute
shut off all sound for me,Cmd.VolumeMute
silence the aids entirely,Cmd.VolumeMute
i need it perfectly quiet,Cmd.VolumeMute
mute all audio right now,Cmd.VolumeMute
take everything to silence,Cmd.VolumeMute
absolutely no sound please,Cmd.VolumeMute
turn the sound back on,Cmd.VolumeUnmute
unmute my aids,Cmd.VolumeUnmute
bring the audio back,Cmd.VolumeUnmute
restore the sound,Cmd.VolumeUnmute
switch sound back on,Cmd.VolumeUnmute
take my aids off mute,Cmd.VolumeUnmute
let the audio return,Cmd.VolumeUnmute
end the silence,Cmd.VolumeUnmute
reactivate the sound,Cmd.VolumeUnmute
sound back please,Cmd.VolumeUnmute
undo the mute,Cmd.VolumeUnmute
stop muting now,Cmd.VolumeUnmute
i can listen again turn it on,Cmd.VolumeUnmute
give me sound again,Cmd.VolumeUnmute
re-enable the audio,Cmd.VolumeUnmute
put the volume back on,Cmd.VolumeUnmute
unmute everything,Cmd.VolumeUnmute
bring my sound back,Cmd.VolumeUnmute
let me hear things again,Cmd.VolumeUnmute
i can hear now turn it on,Cmd.VolumeUnmute
give me audio again,Cmd.VolumeUnmute
stop the silence i want sound,Cmd.VolumeUnmute
return the sound to my aids,Cmd.VolumeUnmute
switch my hearing back on,Cmd.VolumeUnmute
take the mute off,Cmd.VolumeUnmute
i'd like sound again please,Cmd.VolumeUnmute
wake the sound back up,Cmd.VolumeUnmute
put my hearing back on,Cmd.VolumeUnmute
let the audio come back,Cmd.VolumeUnmute
i want my aids making sound again,Cmd.VolumeUnmute
cancel the mute please,Cmd.VolumeUnmute
unmute me,Cmd.VolumeUnmute
turn the mute off,Cmd.VolumeUnmute
get me off mute,Cmd.VolumeUnmute
sound on again please,Cmd.VolumeUnmute
reactivate my hearing aid sound,Cmd.VolumeUnmute
i'm walking into a loud bar,Cmd.MemoryChange
switch me to the restaurant setting,Cmd.MemoryChange
i'm sitting down in a crowded diner,Cmd.MemoryChange
change to my outdoor program,Cmd.MemoryChange
set my aids for a noisy party,Cmd.MemoryChange
i'm getting in the car now,Cmd.MemoryChange
put me in the music listening mode,Cmd.MemoryChange
i'm heading into a meeting,Cmd.MemoryChange
tune for this windy weather,Cmd.MemoryChange
i'm at the gym now,Cmd.MemoryChange
give me my tv watching program,Cmd.MemoryChange
change into the quiet mode,Cmd.MemoryChange
i just walked into church,Cmd.MemoryChange
switch to the program for restaurants,Cmd.MemoryChange
set it up for a concert hall,Cmd.MemoryChange
i need my noisy environment setting,Cmd.MemoryChange
move me to the speech in noise mode,Cmd.MemoryChange
i'm starting my commute,Cmd.MemoryChange
use the setting for outdoors,Cmd.MemoryChange
flip into my everyday program,Cmd.MemoryChange
i'm in a loud cafeteria now,Cmd.MemoryChange
change the program for this place,Cmd.MemoryChange
adjust the mode for traffic,Cmd.MemoryChange
i'm settling in to watch a film,Cmd.MemoryChange
switch to the program made for crowds,Cmd.MemoryChange
load my driving profile,Cmd.MemoryChange
set my hearing for a busy street,Cmd.MemoryChange
i'm about to join a phone call,Cmd.MemoryChange
change to the comfortable indoor mode,Cmd.MemoryChange
i'm in a big echoey room now,Cmd.MemoryChange
the program isn't right for where i am,Cmd.MemoryChange
this setting doesn't suit this place,Cmd.MemoryChange
i need a better program for here,Cmd.MemoryChange
switch me to something better for this spot,Cmd.MemoryChange
this mode isn't working for my surroundings,Cmd.MemoryChange
how much charge is left,Cmd.BatteryLevel
are my aids fully charged,Cmd.BatteryLevel
what's my battery at,Cmd.BatteryLevel
do i need to recharge,Cmd.BatteryLevel
how long will the battery last,Cmd.BatteryLevel
is the battery low,Cmd.BatteryLevel
tell me the battery percentage,Cmd.BatteryLevel
how much power do i have left,Cmd.BatteryLevel
will these last till tonight,Cmd.BatteryLevel
check my charge level,Cmd.BatteryLevel
are the batteries about to run out,Cmd.BatteryLevel
how many hours of charge remain,Cmd.BatteryLevel
is there plenty of battery,Cmd.BatteryLevel
what's the charge on my aids,Cmd.BatteryLevel
should i charge them now,Cmd.BatteryLevel
how full is the battery,Cmd.BatteryLevel
battery level please,Cmd.BatteryLevel
are my hearing aids charged enough,Cmd.BatteryLevel
do these have enough power left,Cmd.BatteryLevel
is my charge running low,Cmd.BatteryLevel
power level check,Cmd.BatteryLevel
have i got enough battery for the day,Cmd.BatteryLevel
is it time to charge,Cmd.BatteryLevel
how depleted is the battery,Cmd.BatteryLevel
tell me how charged they are,Cmd.BatteryLevel
what percentage of battery is left,Cmd.BatteryLevel
are my aids running out of power,Cmd.BatteryLevel
send the tv audio to my aids,Cmd.StreamingStart
start streaming the television,Cmd.StreamingStart
play my phone audio through my aids,Cmd.StreamingStart
stream the music into my ears,Cmd.StreamingStart
route the movie sound to my hearing aids,Cmd.StreamingStart
begin streaming to my devices,Cmd.StreamingStart
connect the tv sound to me,Cmd.StreamingStart
let me hear the show through my aids,Cmd.StreamingStart
stream the podcast to my hearing aids,Cmd.StreamingStart
put the audio into my ears,Cmd.StreamingStart
start the audio stream,Cmd.StreamingStart
send sound straight to my aids,Cmd.StreamingStart
play the call through my hearing aids,Cmd.StreamingStart
stream from my tv now,Cmd.StreamingStart
i want to listen to the tv through my aids,Cmd.StreamingStart
beam the audio over to me,Cmd.StreamingStart
hook my aids up to the tv sound,Cmd.StreamingStart
direct the music to my hearing aids,Cmd.StreamingStart
feed the audio into my devices,Cmd.StreamingStart
turn on streaming to my ears,Cmd.StreamingStart
stop streaming to my aids,Cmd.StreamingStop
end the tv audio stream,Cmd.StreamingStop
i'm finished listening to the stream,Cmd.StreamingStop
cut off the streamed audio,Cmd.StreamingStop
stop sending sound to my hearing aids,Cmd.StreamingStop
turn streaming off now,Cmd.StreamingStop
end streaming from the tv,Cmd.StreamingStop
quit the audio stream,Cmd.StreamingStop
halt the streaming,Cmd.StreamingStop
no more streaming please,Cmd.StreamingStop
stop playing the tv through my aids,Cmd.StreamingStop
disconnect me from the stream,Cmd.StreamingStop
shut off the streamed sound,Cmd.StreamingStop
i'm done with the stream,Cmd.StreamingStop
close the audio streaming,Cmd.StreamingStop
stop the music going to my aids,Cmd.StreamingStop
end the broadcast to my hearing aids,Cmd.StreamingStop
end my tv streaming,Cmd.StreamingStop
stop the audio coming to my aids,Cmd.StreamingStop
quit streaming the television,Cmd.StreamingStop
i don't want the stream anymore,Cmd.StreamingStop
close the connection to the tv sound,Cmd.StreamingStop
stop piping audio to my ears,Cmd.StreamingStop
turn off the tv streaming,Cmd.StreamingStop
cut the streamed audio to my aids,Cmd.StreamingStop
finish the streaming session,Cmd.StreamingStop
i'm about to go for a run,Cmd.ActivityRun
log my jog,Cmd.ActivityRun
start recording my run,Cmd.ActivityRun
i'm heading out running,Cmd.ActivityRun
begin my running workout,Cmd.ActivityRun
record this run for me,Cmd.ActivityRun
start my jog tracking,Cmd.ActivityRun
time my run,Cmd.ActivityRun
i'm going jogging now,Cmd.ActivityRun
capture my running session,Cmd.ActivityRun
start tracking my jog,Cmd.ActivityRun
log this running workout,Cmd.ActivityRun
kick off my run tracking,Cmd.ActivityRun
i want to record a run,Cmd.ActivityRun
log the run i just did,Cmd.ActivityRun
record the miles i ran,Cmd.ActivityRun
save the run i just finished,Cmd.ActivityRun
note my jog,Cmd.ActivityRun
track the run i completed,Cmd.ActivityRun
log my finished run,Cmd.ActivityRun
i'm going for a stroll,Cmd.ActivityWalk
log my walk,Cmd.ActivityWalk
start my walk tracking,Cmd.ActivityWalk
record this walk,Cmd.ActivityWalk
i'm off for a walk,Cmd.ActivityWalk
time my stroll,Cmd.ActivityWalk
capture my walking session,Cmd.ActivityWalk
start logging my walk,Cmd.ActivityWalk
i'm taking a walk now,Cmd.ActivityWalk
record my steps on this walk,Cmd.ActivityWalk
track my stroll,Cmd.ActivityWalk
begin my walking workout,Cmd.ActivityWalk
log a walk for me,Cmd.ActivityWalk
log the stroll i just took,Cmd.ActivityWalk
track the walk i did,Cmd.ActivityWalk
record the walking i just finished,Cmd.ActivityWalk
i went for a walk log it,Cmd.ActivityWalk
save my walk,Cmd.ActivityWalk
note down my walk,Cmd.ActivityWalk
how many steps today,Cmd.ActivityStep
what's my step count,Cmd.ActivityStep
show my steps so far,Cmd.ActivityStep
check my step total,Cmd.ActivityStep
step count please,Cmd.ActivityStep
am i close to my step goal,Cmd.ActivityStep
tell me my steps for today,Cmd.ActivityStep
what's my daily step number,Cmd.ActivityStep
how far along my steps am i,Cmd.ActivityStep
steps so far today,Cmd.ActivityStep
give me my step tally,Cmd.ActivityStep
how many steps to my goal,Cmd.ActivityStep
display my step count,Cmd.ActivityStep
check my stand hours,Cmd.ActivityStand
what's my standing time,Cmd.ActivityStand
how many stand hours today,Cmd.ActivityStand
track my standing,Cmd.ActivityStand
show my stand count,Cmd.ActivityStand
am i meeting my stand goal,Cmd.ActivityStand
how much have i stood today,Cmd.ActivityStand
standing time please,Cmd.ActivityStand
tell me my stand hours,Cmd.ActivityStand
how long on my feet today,Cmd.ActivityStand
log my standing time,Cmd.ActivityStand
have i stood enough today,Cmd.ActivityStand
my standing total please,Cmd.ActivityStand
check standing progress,Cmd.ActivityStand
track my bike ride,Cmd.ActivityCycle
i'm going cycling,Cmd.ActivityCycle
log my ride,Cmd.ActivityCycle
start my cycling workout,Cmd.ActivityCycle
record this bike ride,Cmd.ActivityCycle
how far have i cycled,Cmd.ActivityCycle
begin tracking my ride,Cmd.ActivityCycle
i'm heading out on the bike,Cmd.ActivityCycle
capture my cycling session,Cmd.ActivityCycle
time my bike ride,Cmd.ActivityCycle
start logging my cycling,Cmd.ActivityCycle
track my biking,Cmd.ActivityCycle
how many miles have i biked,Cmd.ActivityCycle
record my ride for me,Cmd.ActivityCycle
log this cycling session,Cmd.ActivityCycle
track my aerobics,Cmd.ActivityAerobics
start my aerobics workout,Cmd.ActivityAerobics
log my aerobics session,Cmd.ActivityAerobics
i'm doing aerobics now,Cmd.ActivityAerobics
record my aerobics,Cmd.ActivityAerobics
capture my aerobics class,Cmd.ActivityAerobics
time my aerobics,Cmd.ActivityAerobics
start my cardio class tracking,Cmd.ActivityAerobics
log this aerobics workout,Cmd.ActivityAerobics
i'm starting aerobics,Cmd.ActivityAerobics
track my dance workout,Cmd.ActivityAerobics
record my aerobic exercise,Cmd.ActivityAerobics
begin my aerobics session,Cmd.ActivityAerobics
log my cardio dance,Cmd.ActivityAerobics
track my workout,Cmd.ActivityExercise
i'm about to exercise,Cmd.ActivityExercise
