text,intent
Wie lange mache ich schon Aerobic,Cmd.ActivityAerobics
Wie lange mache ich Aerobic,Cmd.ActivityAerobics
Seit wann mache ich Aerobic,Cmd.ActivityAerobics
Wie viele Minuten habe ich Aerobic gemacht,Cmd.ActivityAerobics
Habe ich mein Aerobic-Ziel erreicht,Cmd.ActivityAerobics
Wie viele Minuten habe ich trainiert,Cmd.ActivityAerobics
Zeigen Sie mir mein Aerobic-Ziel,Cmd.ActivityAerobics
Wie viele Kalorien habe ich beim Aerobic verbraucht,Cmd.ActivityAerobics
Wie viele Kalorien habe ich beim Aerobic verbrannt,Cmd.ActivityAerobics
Wie viele Kalorien habe ich beim Aerobic verbrannt?,Cmd.ActivityAerobics
Wie viele Kalorien habe ich beim Aerobic verbraucht?,Cmd.ActivityAerobics
Wie viele Aerobic-Kalorien,Cmd.ActivityAerobics
Aerobic-Kalorien,Cmd.ActivityAerobics
Kalorien Aerobic,Cmd.ActivityAerobics
heute verbrannte Kalorien,Cmd.ActivityCalories
Heute verbrannte Kalorien,Cmd.ActivityCalories
Wie viele Kalorien habe ich heute verbrannt?,Cmd.ActivityCalories
Wie viele Kalorien habe ich heute verbraucht?,Cmd.ActivityCalories
Kalorienzähler heute,Cmd.ActivityCalories
Wie viele Kalorien heute verbraucht,Cmd.ActivityCalories
Wie viele Kalorien heute verbrannt,Cmd.ActivityCalories
heutige Kalorienzahl,Cmd.ActivityCalories
Kalorien heute verbraucht,Cmd.ActivityCalories
verbrauchte Kalorien heute,Cmd.ActivityCalories
Wie lange fahre ich schon Fahrrad,Cmd.ActivityCycle
Wie lange radel ich schon,Cmd.ActivityCycle
Wie lange fahre ich schon mit dem Rad,Cmd.ActivityCycle
Bin ich meinem Radfahrziel nahe,Cmd.ActivityCycle
Bin ich meinem Fahrradziel nahe,Cmd.ActivityCycle
Wie viele Minuten bin ich mit dem Fahrrad unterwegs,Cmd.ActivityCycle
Wie viele Minuten bin ich mit dem Rad unterwegs,Cmd.ActivityCycle
Bin ich eine Stunde geradelt,Cmd.ActivityCycle
Bin ich eine Stunde mit dem Fahrrad gefahren,Cmd.ActivityCycle
Wie weit bin ich geradelt,Cmd.ActivityCycle
Habe ich mein Ziel beim Radfahren erreicht,Cmd.ActivityCycle
Habe ich mein Fahrradziel erreicht,Cmd.ActivityCycle
Habe ich mein Radfahrziel erreicht,Cmd.ActivityCycle
Was ist mein Ziel für das Fahrrad fahren,Cmd.ActivityCycle
Was ist mein Rad Ziel,Cmd.ActivityCycle
Ziel Rad,Cmd.ActivityCycle
Ziel Fahrrad,Cmd.ActivityCycle
Was ist mein Ziel beim Radfahren,Cmd.ActivityCycle
Zeigen Sie mir mein Radfahrziel,Cmd.ActivityCycle
Was ist mein Fahrradziel,Cmd.ActivityCycle
Wie lautet mein Fahrradziel,Cmd.ActivityCycle
Wie oft bin ich diese Woche schon Fahrrad gefahren,Cmd.ActivityCycle
Was sind meine Radfahrminuten für die Woche,Cmd.ActivityCycle
Wie lauten meine Radfahrminuten für die Woche,Cmd.ActivityCycle
Wie viele Minuten bin ich Rad gefahren,Cmd.ActivityCycle
Wie viele Stunden bin ich Fahrrad gefahren,Cmd.ActivityCycle
Wie viele Minuten bin ich diese Woche Fahrrad gefahren,Cmd.ActivityCycle
Wie oft bin ich diese Woche Fahrrad gefahren,Cmd.ActivityCycle
Wie oft bin ich diese Woche geradelt,Cmd.ActivityCycle
Wie oft bin ich diese Woche mit dem Rad gefahren,Cmd.ActivityCycle
Wie viele Kalorien habe ich beim Radfahren verbrannt?,Cmd.ActivityCycle
Wie viele Kalorien habe ich beim Radfahren verbraucht,Cmd.ActivityCycle
Wie viele Kalorien beim Radfahren,Cmd.ActivityCycle
Kalorien beim Radfahren,Cmd.ActivityCycle
Kalorien Radfahren,Cmd.ActivityCycle
Radfahren Kalorien,Cmd.ActivityCycle
Kalorien Radfahren,Cmd.ActivityCycle
Wie lange habe ich heute trainiert?,Cmd.ActivityExercise
Wie lang war mein Training heute?,Cmd.ActivityExercise
Wie nah bin ich an meinem Trainingsziel?,Cmd.ActivityExercise
Wie dicht bin ich an meinem Trainingsziel?,Cmd.ActivityExercise
Wie dicht bin ich an meinem Trainingsziel?,Cmd.ActivityExercise
Wie dicht ist mein Trainingsziel?,Cmd.ActivityExercise
Wie lautet mein Trainingsziel?,Cmd.ActivityExercise
Wie ist mein Trainingsziel?,Cmd.ActivityExercise
Wie viele Minuten habe ich trainiert?,Cmd.ActivityExercise
