text,intent,source
can you change to car memory,device.memory.change,fine_tuned_test_predictions.csv
can you set to noise memory,device.memory.change,fine_tuned_test_predictions.csv
change program to crowd,device.memory.change,fine_tuned_test_predictions.csv
can you change to auditorium program,device.memory.change,fine_tuned_test_predictions.csv
please change to test one,device.memory.change,fine_tuned_test_predictions.csv
can you set to worship program,device.memory.change,fine_tuned_test_predictions.csv
change my hearing aid program to golf,device.memory.change,fine_tuned_test_predictions.csv
pub memory,device.memory.change,fine_tuned_test_predictions.csv
change to office program,device.memory.change,fine_tuned_test_predictions.csv
can you switch to golf program,device.memory.change,fine_tuned_test_predictions.csv
please set to personal program,device.memory.change,fine_tuned_test_predictions.csv
change memory to one,device.memory.change,fine_tuned_test_predictions.csv
please switch memory to worship,device.memory.change,fine_tuned_test_predictions.csv
please set memory to quiet,device.memory.change,fine_tuned_test_predictions.csv
can you set program to one,device.memory.change,fine_tuned_test_predictions.csv
switch to crowd memory,device.memory.change,fine_tuned_test_predictions.csv
can you train memory,device.memory.change,fine_tuned_test_predictions.csv
please set memory to two,device.memory.change,fine_tuned_test_predictions.csv
switch to car memory,device.memory.change,fine_tuned_test_predictions.csv
please switch to office program,device.memory.change,fine_tuned_test_predictions.csv
can you set to master program,device.memory.change,fine_tuned_test_predictions.csv
please change to home program,device.memory.change,fine_tuned_test_predictions.csv
can you change to outdoors memory,device.memory.change,fine_tuned_test_predictions.csv
switch memory to theater,device.memory.change,fine_tuned_test_predictions.csv
switch my hearing aid program to speech,device.memory.change,fine_tuned_test_predictions.csv
please set to worship program,device.memory.change,fine_tuned_test_predictions.csv
please set to school program,device.memory.change,fine_tuned_test_predictions.csv
switch my hearing aid program to tinnitus memory,device.memory.change,fine_tuned_test_predictions.csv
please change program to quiet,device.memory.change,fine_tuned_test_predictions.csv
switch my hearing aid program to telephone,device.memory.change,fine_tuned_test_predictions.csv
set to worship program,device.memory.change,fine_tuned_test_predictions.csv
change my hearing mode,device.memory.change,fine_tuned_test_predictions.csv
can you switch program to mute,device.memory.change,fine_tuned_test_predictions.csv
please change memory to master,device.memory.change,fine_tuned_test_predictions.csv
can you set to school memory,device.memory.change,fine_tuned_test_predictions.csv
switch me to the setting for conversations,device.memory.change,fine_tuned_test_predictions.csv
can you change to school memory,device.memory.change,fine_tuned_test_predictions.csv
switch my hearing aid program to automatic program,device.memory.change,fine_tuned_test_predictions.csv
can you switch memory to number two,device.memory.change,fine_tuned_test_predictions.csv
set setting to number two,device.memory.change,fine_tuned_test_predictions.csv
change my hearing aid program to quiet,device.memory.change,fine_tuned_test_predictions.csv
please change to music memory,device.memory.change,fine_tuned_test_predictions.csv
can you turn on my program for restaurant,device.memory.change,fine_tuned_test_predictions.csv
please switch to golf,device.memory.change,fine_tuned_test_predictions.csv
can you change program to noise,device.memory.change,fine_tuned_test_predictions.csv
change the active profile,device.memory.change,fine_tuned_test_predictions.csv
please switch to gym program,device.memory.change,fine_tuned_test_predictions.csv
change my hearing aid program to test one,device.memory.change,fine_tuned_test_predictions.csv
can you work program,device.memory.change,fine_tuned_test_predictions.csv
can you change setting to two,device.memory.change,fine_tuned_test_predictions.csv
can you switch to quiet memory,device.memory.change,fine_tuned_test_predictions.csv
flip into my everyday program,device.memory.change,fine_tuned_test_predictions.csv
change memory to speech,device.memory.change,fine_tuned_test_predictions.csv
change to train memory,device.memory.change,fine_tuned_test_predictions.csv
can you set memory to two,device.memory.change,fine_tuned_test_predictions.csv
set to meeting memory,device.memory.change,fine_tuned_test_predictions.csv
change to crowd program,device.memory.change,fine_tuned_test_predictions.csv
please change to tinnitus,device.memory.change,fine_tuned_test_predictions.csv
please switch to master program,device.memory.change,fine_tuned_test_predictions.csv
change my hearing aid program to school,device.memory.change,fine_tuned_test_predictions.csv
change my hearing aid program to pub,device.memory.change,fine_tuned_test_predictions.csv
please set program to restaurant,device.memory.change,fine_tuned_test_predictions.csv
please switch to auditorium,device.memory.change,fine_tuned_test_predictions.csv
please switch memory to theater,device.memory.change,fine_tuned_test_predictions.csv
please change to mask mode,device.memory.change,fine_tuned_test_predictions.csv
can you switch memory to master,device.memory.change,fine_tuned_test_predictions.csv
i'm settling in for tv time,device.memory.change,fine_tuned_test_predictions.csv
change memory to home,device.memory.change,fine_tuned_test_predictions.csv
set to master memory,device.memory.change,fine_tuned_test_predictions.csv
can you change to mute memory,device.memory.change,fine_tuned_test_predictions.csv
television memory,device.memory.change,fine_tuned_test_predictions.csv
set memory to two,device.memory.change,fine_tuned_test_predictions.csv
can you switch to kitchen memory,device.memory.change,fine_tuned_test_predictions.csv
can you switch program to one,device.memory.change,fine_tuned_test_predictions.csv
switch my memory,device.memory.change,fine_tuned_test_predictions.csv
set program to master,device.memory.change,fine_tuned_test_predictions.csv
set memory to meeting,device.memory.change,fine_tuned_test_predictions.csv
can you switch to mask,device.memory.change,fine_tuned_test_predictions.csv
please switch memory to kitchen,device.memory.change,fine_tuned_test_predictions.csv
please set to automatic program,device.memory.change,fine_tuned_test_predictions.csv
can you noise setting,device.memory.change,fine_tuned_test_predictions.csv
please change to master,device.memory.change,fine_tuned_test_predictions.csv
can you train program,device.memory.change,fine_tuned_test_predictions.csv
can you switch to program two,device.memory.change,fine_tuned_test_predictions.csv
please change program to tinnitus,device.memory.change,fine_tuned_test_predictions.csv
can you switch to noise program,device.memory.change,fine_tuned_test_predictions.csv
please set setting to two,device.memory.change,fine_tuned_test_predictions.csv
change memory,device.memory.change,fine_tuned_test_predictions.csv
set to worship memory,device.memory.change,fine_tuned_test_predictions.csv
please change to telephone,device.memory.change,fine_tuned_test_predictions.csv
can you set program to telephone,device.memory.change,fine_tuned_test_predictions.csv
can you set memory to office,device.memory.change,fine_tuned_test_predictions.csv
please switch memory to home,device.memory.change,fine_tuned_test_predictions.csv
please change to everyday program,device.memory.change,fine_tuned_test_predictions.csv
please switch memory to four,device.memory.change,fine_tuned_test_predictions.csv
switch memory to number one,device.memory.change,fine_tuned_test_predictions.csv
change to car program,device.memory.change,fine_tuned_test_predictions.csv
can you switch memory to noise,device.memory.change,fine_tuned_test_predictions.csv
can you change to music,device.memory.change,fine_tuned_test_predictions.csv
switch my hearing aid program to memory number one,device.memory.change,fine_tuned_test_predictions.csv
can you change to worship memory,device.memory.change,fine_tuned_test_predictions.csv
can you set setting to two,device.memory.change,fine_tuned_test_predictions.csv
can you switch to car,device.memory.change,fine_tuned_test_predictions.csv
switch memory to number three,device.memory.change,fine_tuned_test_predictions.csv
setting number three,device.memory.change,fine_tuned_test_predictions.csv
change memory to four,device.memory.change,fine_tuned_test_predictions.csv
set to restaurant program,device.memory.change,fine_tuned_test_predictions.csv
i walked into a restaurant,device.memory.change,fine_tuned_test_predictions.csv
can you switch to meeting,device.memory.change,fine_tuned_test_predictions.csv
please change memory to three,device.memory.change,fine_tuned_test_predictions.csv
switch my hearing aid program to office memory,device.memory.change,fine_tuned_test_predictions.csv
can you set program to car,device.memory.change,fine_tuned_test_predictions.csv
can you change memory to theater,device.memory.change,fine_tuned_test_predictions.csv
please change to speech,device.memory.change,fine_tuned_test_predictions.csv
change program to school,device.memory.change,fine_tuned_test_predictions.csv
can you set to television memory,device.memory.change,fine_tuned_test_predictions.csv
change to personal program,device.memory.change,fine_tuned_test_predictions.csv
can you switch to car memory,device.memory.change,fine_tuned_test_predictions.csv
can you set program to everyday,device.memory.change,fine_tuned_test_predictions.csv
switch program to restaurant,device.memory.change,fine_tuned_test_predictions.csv
change memory to automatic,device.memory.change,fine_tuned_test_predictions.csv
please change setting to number two,device.memory.change,fine_tuned_test_predictions.csv
change my memory,device.memory.change,fine_tuned_test_predictions.csv
set to golf program,device.memory.change,fine_tuned_test_predictions.csv
set program to school,device.memory.change,fine_tuned_test_predictions.csv
please change program to mute,device.memory.change,fine_tuned_test_predictions.csv
please switch to music program,device.memory.change,fine_tuned_test_predictions.csv
can you switch program to theater,device.memory.change,fine_tuned_test_predictions.csv
set to telephone memory,device.memory.change,fine_tuned_test_predictions.csv
set to home program,device.memory.change,fine_tuned_test_predictions.csv
setting three,device.memory.change,fine_tuned_test_predictions.csv
set memory to restaurant,device.memory.change,fine_tuned_test_predictions.csv
please change program to auditorium,device.memory.change,fine_tuned_test_predictions.csv
please change settings to three,device.memory.change,fine_tuned_test_predictions.csv
switch program to television,device.memory.change,fine_tuned_test_predictions.csv
can you switch to theater memory,device.memory.change,fine_tuned_test_predictions.csv
change program to personal,device.memory.change,fine_tuned_test_predictions.csv
please change to theater memory,device.memory.change,fine_tuned_test_predictions.csv
memory three,device.memory.change,fine_tuned_test_predictions.csv
change memory to two,device.memory.change,fine_tuned_test_predictions.csv
change program to two,device.memory.change,fine_tuned_test_predictions.csv
please set to quiet program,device.memory.change,fine_tuned_test_predictions.csv
