text,intent
tone it down a bit,device.volume.decrease
it's too loud in here,device.volume.decrease
lower the level,device.volume.decrease
turn down a notch,device.volume.decrease
cut the volume,device.volume.decrease
reduce the sound,device.volume.decrease
pump the brakes on the volume,device.volume.decrease
pull back the volume,device.volume.decrease
can you quiet it down,device.volume.decrease
i need it quieter,device.volume.decrease
make it less loud,device.volume.decrease
the sound is piercing,device.volume.decrease
that's way too loud,device.volume.decrease
hurt my ears please,device.volume.decrease
turn the sound level down,device.volume.decrease
get that volume out of my ear,device.volume.decrease
i can't take how loud this is,device.volume.decrease
please make this quieter,device.volume.decrease
switch my hearing program,device.memory.change
i need a different memory for this location,device.memory.change
change to restaurant mode,device.memory.change
activate my office program,device.memory.change
set it to the outdoor setting,device.memory.change
use the music program instead,device.memory.change
i need my quiet program,device.memory.change
go back to my standard setting,device.memory.change
pick my telephone program,device.memory.change
i'm in the car now,device.memory.change
use my driving setting,device.memory.change
activate speech focus,help.edge_mode.show
apply wind noise reduction,help.edge_mode.show
will i make it through the day,device.status.battery
check the battery level,device.status.battery
are the batteries low,device.status.battery
do i need to charge soon,device.status.battery
what's my power level,device.status.battery
how's the charge looking,device.status.battery
can they make it until tomorrow,device.status.battery
battery status please,device.status.battery
is there enough power remaining,device.status.battery
will they last all day,device.status.battery
what's the current battery level,device.status.battery
i'm running low aren't i,device.status.battery
how much longer can they go,device.status.battery
am i good on batteries,device.status.battery
tell me the charge status,device.status.battery
show me the hearing aid battery level,device.status.battery
i lost track of my aids,help.find_my_hearing_aids.show
where are my hearing aids,help.find_my_hearing_aids.show
i can't find my left hearing aid,help.find_my_hearing_aids.show
did i drop my aids somewhere,help.find_my_hearing_aids.show
help me find my hearing aid,help.find_my_hearing_aids.show
which room did i leave my aid in,help.find_my_hearing_aids.show
i misplaced my hearing device,help.find_my_hearing_aids.show
have you seen my aids,help.find_my_hearing_aids.show
i need to locate my hearing aids,help.find_my_hearing_aids.show
where's the find my hearing aid feature,help.find_my_hearing_aids.show
i need to remember this,reminders.task.create
save this for me please,reminders.task.create
i might forget this,reminders.task.create
set up a reminder for that,reminders.task.create
help me remember to do that,reminders.task.create
can you remind me about this later,reminders.task.create
i'll need a reminder for this,reminders.task.create
don't let me forget this,reminders.task.create
make a note to remind me,reminders.task.create
keep this in mind for me,reminders.task.create
remind me i need to do this,reminders.task.create
i have something i need to remember,reminders.task.create
jot that down as a reminder,reminders.task.create
i better not forget this,reminders.task.create
capture this as a reminder,reminders.task.create
i want to send a text message,messaging.message.send
send an sms to my friend,messaging.message.send
text someone for me,messaging.message.send
i need to contact someone quickly,messaging.message.send
send a message to a contact,messaging.message.send
text a quick note,messaging.message.send
let someone know about this,messaging.message.send
send word to my family,messaging.message.send
i need to reach out to someone,messaging.message.send
transmit a message,messaging.message.send
forward this to someone,messaging.message.send
relay this information,messaging.message.send
broadcast a message,messaging.message.send
dispatch a text,messaging.message.send
reach out with this message,messaging.message.send
i want to message someone,messaging.message.send
tell someone this via text,messaging.message.send
shoot a message to someone,messaging.message.send
stream the audio to my devices,streaming.session.start
connect the sound to my hearing aids,streaming.session.start
send the television audio to my aids,streaming.session.start
i want to hear the tv in my aids,streaming.session.start
direct the audio to my hearing devices,streaming.session.start
pipe the sound through my aids,streaming.session.start
beam the tv sound to me,streaming.session.start
wireless stream the audio,streaming.session.start
use my hearing aids as speakers,streaming.session.start
deliver the sound to my aids,streaming.session.start
transfer audio to my devices,streaming.session.start
enable audio streaming,streaming.session.start
activate sound streaming,streaming.session.start
start streaming audio now,streaming.session.start
let me hear the tv through my aids,streaming.session.start
sync the audio to my aids,streaming.session.start
transmit the sound wirelessly,streaming.session.start
i'm lost in all these options,help.home.show
what do i need to know first,help.home.show
can you explain the basics,help.home.show
where should i start,help.home.show
i don't know what to do,help.home.show
help me get started,help.home.show
show me the fundamentals,help.home.show
what's the simplest way to begin,help.home.show
walk me through the basics,help.home.show
i'm new to this,help.home.show
guide me through the main features,help.home.show
what's the overview,help.home.show
take me on a tour,help.home.show
explain the main screen,help.home.show
what should i learn first,help.home.show
break it down for me,help.home.show
help me understand the interface,help.home.show
turn the volume down,device.volume.decrease
make it quieter,device.volume.decrease
soften it,device.volume.decrease
dial down the volume,device.volume.decrease
reduce how loud it is,device.volume.decrease
i need less volume,device.volume.decrease
quiet this down,device.volume.decrease
sounds too loud for me,device.volume.decrease
please lower the volume,device.volume.decrease
make the sound quieter,device.volume.decrease
turn down the gain,device.volume.decrease
decrease the loudness,device.volume.decrease
it needs to be softer,device.volume.decrease
can it be less loud,device.volume.decrease
back off the volume,device.volume.decrease
roll back the sound level,device.volume.decrease
lower it down please,device.volume.decrease
hush it up,device.volume.decrease
tamp down the volume,device.volume.decrease
reduce the noise level,device.volume.decrease
i need quieter sound,device.volume.decrease
turn down the level,device.volume.decrease
make it less intense,device.volume.decrease
soften the volume,device.volume.decrease
the audio is too hot,device.volume.decrease
bring the level down,device.volume.decrease
scale back the sound,device.volume.decrease
dim the volume,device.volume.decrease
muffle it a bit,device.volume.decrease
quiet it please,device.volume.decrease
battery percentage,device.status.battery
how much battery,device.status.battery
battery power,device.status.battery
is there enough power,device.status.battery
battery information,device.status.battery
check the power,device.status.battery
power level status,device.status.battery
charge status,device.status.battery
battery check now,device.status.battery
what is the charge,device.status.battery
what can i do with this app,help.home.show
show me the app features,help.home.show
what is this app for,help.home.show
help me understand this app,help.home.show
what does this do,help.home.show
