text,intent,source
i need to go to airport tommorow,reminders.task.create,v4_typo_stt
i need to go to airport tomorow,reminders.task.create,v4_typo_stt
make it quiter,device.volume.decrease,v4_typo_stt
make it quiteer,device.volume.decrease,v4_typo_stt
turn the sound upp,device.volume.increase,v4_typo_stt
make it loader,device.volume.increase,v4_typo_stt
turn it dowm,device.volume.decrease,v4_typo_stt
unmte it,device.volume.unmute,v4_typo_stt
mutt it,device.volume.mute,v4_typo_stt
find my phne,find.phone.locate,v4_typo_stt
show my remidners,help.reminder.show,v4_typo_stt
start streeming,streaming.session.start,v4_typo_stt
stop streeming,streaming.session.stop,v4_typo_stt
