text,intent
turn the audio up,Cmd.VolumeIncrease
turn up the audio,Cmd.VolumeIncrease
raise the audio,Cmd.VolumeIncrease
increase the audio,Cmd.VolumeIncrease
increase the audio level,Cmd.VolumeIncrease
boost the audio,Cmd.VolumeIncrease
boost the audio a bit,Cmd.VolumeIncrease
make the audio louder,Cmd.VolumeIncrease
the audio is too quiet,Cmd.VolumeIncrease
the audio is too soft,Cmd.VolumeIncrease
the audio is too low,Cmd.VolumeIncrease
i need more audio,Cmd.VolumeIncrease
i need louder audio,Cmd.VolumeIncrease
give me more audio,Cmd.VolumeIncrease
bring the audio up,Cmd.VolumeIncrease
bring the audio up a little,Cmd.VolumeIncrease
louder audio please,Cmd.VolumeIncrease
make the audio stronger,Cmd.VolumeIncrease
strengthen the audio,Cmd.VolumeIncrease
amplify the audio,Cmd.VolumeIncrease
the audio needs to be louder,Cmd.VolumeIncrease
can you raise the audio,Cmd.VolumeIncrease
can you turn the audio up,Cmd.VolumeIncrease
please increase the audio,Cmd.VolumeIncrease
put the audio up,Cmd.VolumeIncrease
push the audio up a bit,Cmd.VolumeIncrease
crank the audio up,Cmd.VolumeIncrease
audio up,Cmd.VolumeIncrease
more audio please,Cmd.VolumeIncrease
the audio is barely there,Cmd.VolumeIncrease
i can hardly hear the audio,Cmd.VolumeIncrease
the audio is faint,Cmd.VolumeIncrease
lift the audio a little,Cmd.VolumeIncrease
step the audio up,Cmd.VolumeIncrease
turn the audio down,Cmd.VolumeDecrease
turn down the audio,Cmd.VolumeDecrease
lower the audio,Cmd.VolumeDecrease
lower the audio level,Cmd.VolumeDecrease
decrease the audio,Cmd.VolumeDecrease
reduce the audio,Cmd.VolumeDecrease
reduce the audio level,Cmd.VolumeDecrease
make the audio quieter,Cmd.VolumeDecrease
make the audio softer,Cmd.VolumeDecrease
the audio is too loud,Cmd.VolumeDecrease
the audio is too strong,Cmd.VolumeDecrease
the audio is too harsh,Cmd.VolumeDecrease
i need less audio,Cmd.VolumeDecrease
less audio please,Cmd.VolumeDecrease
bring the audio down,Cmd.VolumeDecrease
bring the audio down a bit,Cmd.VolumeDecrease
quieter audio please,Cmd.VolumeDecrease
soften the audio,Cmd.VolumeDecrease
dim the audio a little,Cmd.VolumeDecrease
tone the audio down,Cmd.VolumeDecrease
ease the audio down,Cmd.VolumeDecrease
can you lower the audio,Cmd.VolumeDecrease
can you turn the audio down,Cmd.VolumeDecrease
please reduce the audio,Cmd.VolumeDecrease
put the audio down,Cmd.VolumeDecrease
audio down,Cmd.VolumeDecrease
the audio is uncomfortable,Cmd.VolumeDecrease
the audio is hurting my ears,Cmd.VolumeDecrease
take the audio down a notch,Cmd.VolumeDecrease
drop the audio a little,Cmd.VolumeDecrease
the audio needs to be softer,Cmd.VolumeDecrease
turn the audio down slightly,Cmd.VolumeDecrease
stop the audio,Cmd.VolumeMute
cut the audio,Cmd.VolumeMute
cut off the audio,Cmd.VolumeMute
mute the audio,Cmd.VolumeMute
silence the audio,Cmd.VolumeMute
kill all audio,Cmd.VolumeMute
no audio please,Cmd.VolumeMute
i want no audio,Cmd.VolumeMute
turn the audio off,Cmd.VolumeMute
turn off the audio,Cmd.VolumeMute
shut the audio off,Cmd.VolumeMute
shut off the audio,Cmd.VolumeMute
audio off,Cmd.VolumeMute
stop all the audio,Cmd.VolumeMute
i need silence not audio,Cmd.VolumeMute
end the audio,Cmd.VolumeMute
halt the audio,Cmd.VolumeMute
can you mute the audio,Cmd.VolumeMute
can you stop the audio,Cmd.VolumeMute
please turn the audio off,Cmd.VolumeMute
give me zero audio,Cmd.VolumeMute
make there be no audio,Cmd.VolumeMute
quiet the audio completely,Cmd.VolumeMute
silence all audio now,Cmd.VolumeMute
block the audio,Cmd.VolumeMute
the audio should stop,Cmd.VolumeMute
no more audio,Cmd.VolumeMute
drop the audio entirely,Cmd.VolumeMute
start the audio again,Cmd.VolumeUnmute
turn the audio on,Cmd.VolumeUnmute
turn on the audio,Cmd.VolumeUnmute
audio on,Cmd.VolumeUnmute
give me the audio back,Cmd.VolumeUnmute
restore the audio,Cmd.VolumeUnmute
enable the audio,Cmd.VolumeUnmute
unmute the audio,Cmd.VolumeUnmute
put the audio back on,Cmd.VolumeUnmute
let the audio through,Cmd.VolumeUnmute
i need the audio back,Cmd.VolumeUnmute
switch the audio on,Cmd.VolumeUnmute
can you turn the audio on,Cmd.VolumeUnmute
can you unmute the audio,Cmd.VolumeUnmute
please bring the audio back,Cmd.VolumeUnmute
the audio should come back,Cmd.VolumeUnmute
audio back on please,Cmd.VolumeUnmute
resume the audio,Cmd.VolumeUnmute
reactivate the audio,Cmd.VolumeUnmute
i want to hear audio again,Cmd.VolumeUnmute
turn the audio back on,Cmd.VolumeUnmute
let me have audio again,Cmd.VolumeUnmute
bring back my audio,Cmd.VolumeUnmute
