intent,predicted_intent,count_for_pair,confidence,row_number,text
reminders.add,Default Fallback Intent,82,0.4223947126343176,868,schedule physical therapy appointment tomorrow morning 8:40 a.m.
reminders.add,Default Fallback Intent,82,0.39978888557415,878,remember to watch
reminders.add,Default Fallback Intent,82,0.5526933880591195,879,remember to wash the car in 4 hours
reminders.add,Default Fallback Intent,82,0.6692323554033996,882,remember to wake up at 7 a.m.
reminders.add,Default Fallback Intent,82,0.6599655458189311,883,remember to wake up at 6 a.m.
reminders.add,Default Fallback Intent,82,0.5956487381526719,885,remember to turn the lights on at 8 p.m.
reminders.add,Default Fallback Intent,82,0.2686305768779065,893,don't let me forget
reminders.add,Default Fallback Intent,82,0.7866715359828772,930,remind me to get groceries every month on the 15th at 1 p.m.
reminders.add,Default Fallback Intent,82,0.3823038168090309,944,remind me at 7 p.m. on november 11 to do homework
reminders.add,Default Fallback Intent,82,0.675903972034039,952,remind me at 1 p.m. that i have to eat
Default Fallback Intent,Cmd.VolumeIncrease,64,0.2218633521387957,1938,i hear the voice
Default Fallback Intent,Cmd.VolumeIncrease,64,0.3647315403591152,1939,so where is brewster
Default Fallback Intent,Cmd.VolumeIncrease,64,0.7414656807181044,1956,i'm up
Default Fallback Intent,Cmd.VolumeIncrease,64,0.7709964921911542,1972,as far as far as cleaning up over there i went pretty
Default Fallback Intent,Cmd.VolumeIncrease,64,0.5557513088504629,1982,so she had it up when i come home
Default Fallback Intent,Cmd.VolumeIncrease,64,0.3270315570730432,2015,i wish i could wake up
Default Fallback Intent,Cmd.VolumeIncrease,64,0.5504900568846011,2017,these keeps doing this
Default Fallback Intent,Cmd.VolumeIncrease,64,0.2628212192415571,2044,i'm walking and they didn't working
Default Fallback Intent,Cmd.VolumeIncrease,64,0.3485130751660187,2052,more like this is
Default Fallback Intent,Cmd.VolumeIncrease,64,0.2499199089655394,2069,tuesday
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.3463281014713558,1843,what are stock options
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.6505202339481181,1853,where can i get my hearing checked
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.3694183602641641,1887,how do i get to swimsuits
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.3920146546072262,1923,to us number one hits
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.2574742356174315,1929,iconic store
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.23379808152576,1930,basically
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.23379808152576,1951,nevermind
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.23379808152576,1979,dailly
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.3441781516873805,1994,where can i find videos for the hearing aid for instructions
Default Fallback Intent,Help_HearingCareAnywhereConnect,57,0.3545730536109374,2009,lay down here
Default Fallback Intent,Cmd.FindMyPhone,52,0.17488894016445,1840,ashes to ashes all fall down
Default Fallback Intent,Cmd.FindMyPhone,52,0.510376508868482,1874,what is my location
Default Fallback Intent,Cmd.FindMyPhone,52,0.5203887251987827,1894,can you call my contact
Default Fallback Intent,Cmd.FindMyPhone,52,0.899130431645948,1902,can you put my phone on chris home
Default Fallback Intent,Cmd.FindMyPhone,52,0.9505704719763765,1908,phone phone phone phone phone
Default Fallback Intent,Cmd.FindMyPhone,52,0.9544683739423584,1934,adjusted with my phone
Default Fallback Intent,Cmd.FindMyPhone,52,0.3424317609471182,1935,is my sign
Default Fallback Intent,Cmd.FindMyPhone,52,0.2152839651490367,1955,android phone to listen to spotify
Default Fallback Intent,Cmd.FindMyPhone,52,0.7846617379781139,1964,phone
Default Fallback Intent,Cmd.FindMyPhone,52,0.9368985726495278,1991,shelley my phone
Cmd.VolumeDecrease,Cmd.VolumeIncrease,51,0.2538279345334832,1373,make my hearing aids softer
Cmd.VolumeDecrease,Cmd.VolumeIncrease,51,0.4103155129192364,1376,decrease the volume in my aids
Cmd.VolumeDecrease,Cmd.VolumeIncrease,51,0.4058801642140813,1380,drop the volume by 50%
Cmd.VolumeDecrease,Cmd.VolumeIncrease,51,0.4979396368735592,1383,min loudness
Cmd.VolumeDecrease,Cmd.VolumeIncrease,51,0.7921640249673843,1386,make the volume less
Cmd.VolumeDecrease,Cmd.VolumeIncrease,51,0.4966744577742999,1390,decrease the loudness in my aids
Cmd.VolumeDecrease,Cmd.VolumeIncrease,51,0.4979396368735592,1398,minimum loudness
Cmd.VolumeDecrease,Cmd.VolumeIncrease,51,0.3627196509017176,1401,turn down the volume in my right hearing aid
Cmd.VolumeDecrease,Cmd.VolumeIncrease,51,0.5163441824074111,1402,volume softer
Cmd.VolumeDecrease,Cmd.VolumeIncrease,51,0.5012342637134736,1413,less volume please
Cmd.MemoryChange,Default Fallback Intent,48,0.1963706665184656,2679,change to personal
Cmd.MemoryChange,Default Fallback Intent,48,0.2521405909992308,2682,change to car
Cmd.MemoryChange,Default Fallback Intent,48,0.2129896269585655,2686,change to automatic
Cmd.MemoryChange,Default Fallback Intent,48,0.2675010081840596,2688,change to golf
Cmd.MemoryChange,Default Fallback Intent,48,0.2536637522717289,2692,change to master
Cmd.MemoryChange,Default Fallback Intent,48,0.1808474065946467,2696,change to school
Cmd.MemoryChange,Default Fallback Intent,48,0.3033346026700168,4783,can you go to personal
Cmd.MemoryChange,Default Fallback Intent,48,0.2488624942406404,4784,please go to restaurant
Cmd.MemoryChange,Default Fallback Intent,48,0.3125876440770904,4786,can you go to meeting
Cmd.MemoryChange,Default Fallback Intent,48,0.3484011327493422,5401,can you auditorium memory
Cmd.MemoryChange,Help_MemoryOptions,47,0.5619006413938958,2608,restaurant memory
Cmd.MemoryChange,Help_MemoryOptions,47,0.6782770762763316,2609,outdoors memory
Cmd.MemoryChange,Help_MemoryOptions,47,0.6305531021142106,2610,meeting memory
Cmd.MemoryChange,Help_MemoryOptions,47,0.6469649546429201,2612,car memory
Cmd.MemoryChange,Help_MemoryOptions,47,0.2299195034038817,2613,auditorium memory
Cmd.MemoryChange,Help_MemoryOptions,47,0.7336206469503003,2614,television memory
Cmd.MemoryChange,Help_MemoryOptions,47,0.5492449019618584,2618,everyday memory
Cmd.MemoryChange,Help_MemoryOptions,47,0.3665348719312444,2619,golf memory
Cmd.MemoryChange,Help_MemoryOptions,47,0.3607673115398259,2621,kitchen memory
Cmd.MemoryChange,Help_MemoryOptions,47,0.7504597646227625,2624,office memory
Default Fallback Intent,Help_DeviceSettings,37,0.3078139180840445,1866,how do i know if i need hearing aids
Default Fallback Intent,Help_DeviceSettings,37,0.2326007244466244,1945,how do i set it up for stereo
Default Fallback Intent,Help_DeviceSettings,37,0.3058122655454698,1961,turn on the answer double tap slept here.
Default Fallback Intent,Help_DeviceSettings,37,0.3202055837316908,2010,you need some help
Default Fallback Intent,Help_DeviceSettings,37,0.4271215253467351,2021,he did just change it
Default Fallback Intent,Help_DeviceSettings,37,0.4161096523466606,2057,when is the king and i playing
