issue,text,intent,detail
duplicate_same_label,i can't find my right hearing aid,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,i cannot remember where my aids are,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,i cannot find my hearing aids,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,i can't find my right aid,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,what is intellivoice?,Help_IntelliVoice,normalized duplicate
duplicate_same_label,what is self check,Help_SelfCheck,normalized duplicate
duplicate_same_label,how do i pair my hearing aids?,Help_Pairing,normalized duplicate
duplicate_same_label,what is my hearing aid's serial number?,Help_DeviceSettings,normalized duplicate
duplicate_same_label,how do i set up auto streaming?,Help_DeviceSettings,normalized duplicate
duplicate_same_label,what is my hearing aid's firmware version?,Help_DeviceSettings,normalized duplicate
duplicate_same_label,complete reminder.,reminders.complete,normalized duplicate
duplicate_same_label,what is mask mode,Help_MaskMode,normalized duplicate
duplicate_same_label,how do i enable mask mode?,Help_MaskMode,normalized duplicate
duplicate_same_label,how do i use my hearing aid with an accessory,Help_Accessories,normalized duplicate
duplicate_same_label,please i can't find my right hearing aid,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,can you i can't find my right hearing aid,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,please i cannot remember where my aids are,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,can you i cannot remember where my aids are,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,please i cannot find my hearing aids,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,can you i cannot find my hearing aids,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,please i can't find my right aid,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,can you i can't find my right aid,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,can you complete reminder.,reminders.complete,normalized duplicate
duplicate_same_label,can you replay my message.,Cmd.ListenMessage,normalized duplicate
duplicate_same_label,please play my message,Cmd.ListenMessage,normalized duplicate
duplicate_same_label,where is the hearing aid model ?,Help_DeviceSettings,normalized duplicate
duplicate_same_label,what's my hearing aid's model?,Help_DeviceSettings,normalized duplicate
duplicate_same_label,i cannot find my other aid,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,how do i make a custom memory?,Help_MemoryOptions,normalized duplicate
duplicate_same_label,what's wrong with my right hearing aid,Help_SelfCheck,normalized duplicate
duplicate_same_label,what is dnn speech enhancement,Help_IntelliVoice,normalized duplicate
duplicate_same_label,i'd like to set a reminder,reminders.add,normalized duplicate
