text,intent,row,prediction,confidence,correct
switch my hearing aid to the restaurant program,device.memory.change,0,device.memory.change,0.97685975,True
put my hearing aids into the phone setting,device.memory.change,1,device.memory.change,0.8334455,True
change the current hearing program to music,device.memory.change,2,device.memory.change,0.97533256,True
use my outdoor hearing setting,device.memory.change,3,device.memory.change,0.9764752,True
move to the television listening program,device.memory.change,4,device.memory.change,0.9102235,True
change which hearing aid program is active,device.memory.change,5,device.memory.change,0.9196353,True
switch from my current hearing mode to the phone mode,device.memory.change,6,device.memory.change,0.82527405,True
select a different hearing profile,device.memory.change,7,device.memory.change,0.98269707,True
change the hearing setting I'm using now,device.memory.change,8,device.memory.change,0.97646415,True
put the devices into the program I use for conversations,device.memory.change,9,device.memory.change,0.88221496,True
switch the active memory on my hearing aids,device.memory.change,10,device.memory.change,0.89907634,True
choose another hearing aid environment,device.memory.change,11,device.memory.change,0.40014985,True
move my hearing aids to the music profile,device.memory.change,12,streaming.session.start,0.6715952,False
change the program for my hearing aids,device.memory.change,13,device.memory.change,0.9540674,True
select the telephone hearing program,device.memory.change,14,device.memory.change,0.9394403,True
switch to my custom hearing setting,device.memory.change,15,device.memory.change,0.9759148,True
change the active hearing memory,device.memory.change,16,device.memory.change,0.97132707,True
put my hearing aids in the program for watching TV,device.memory.change,17,device.memory.change,0.7454114,True
use a different hearing profile right now,device.memory.change,18,device.memory.change,0.965647,True
switch my devices to another listening mode,device.memory.change,19,device.memory.change,0.8451842,True
change the memory currently selected,device.memory.change,20,device.memory.change,0.9548617,True
move to my conversation program,device.memory.change,21,device.memory.change,0.97905356,True
select the hearing mode for noisy places,device.memory.change,22,device.memory.change,0.8645781,True
switch the hearing aids to my preferred program,device.memory.change,23,device.memory.change,0.948771,True
change the current listening profile,device.memory.change,24,device.memory.change,0.9825404,True
activate another hearing program,device.memory.change,25,device.memory.change,0.97497094,True
put the hearing aids on the setting I use outdoors,device.memory.change,26,device.memory.change,0.93191874,True
switch to the program for phone calls,device.memory.change,27,device.memory.change,0.9715476,True
change which memory my hearing aids are using,device.memory.change,28,device.memory.change,0.9243586,True
select a different sound program,device.memory.change,29,device.memory.change,0.96845955,True
move from this hearing program to another one,device.memory.change,30,device.memory.change,0.9677442,True
change my current device setting,device.memory.change,31,device.memory.change,0.98707867,True
switch to my TV listening profile,device.memory.change,32,device.memory.change,0.88621956,True
activate the restaurant hearing program,device.memory.change,33,device.memory.change,0.97977954,True
choose another memory for the hearing aids,device.memory.change,34,device.memory.change,0.889454,True
change the listening environment setting,device.memory.change,35,device.memory.change,0.97811776,True
switch my hearing aids into telephone mode,device.memory.change,36,device.memory.change,0.9054221,True
select my music hearing profile,device.memory.change,37,streaming.session.start,0.87722576,False
move to a different hearing memory,device.memory.change,38,device.memory.change,0.99013746,True
change the program that is active,device.memory.change,39,device.memory.change,0.97120464,True
switch the devices to another acoustic setting,device.memory.change,40,device.memory.change,0.9548979,True
choose the hearing program I need now,device.memory.change,41,device.memory.change,0.96808326,True
change from the current memory to my outdoor one,device.memory.change,42,device.memory.change,0.9753248,True
activate my conversation setting,device.memory.change,43,device.memory.change,0.94618857,True
switch the current hearing profile,device.memory.change,44,device.memory.change,0.9547322,True
pick another program for my hearing aids,device.memory.change,45,device.memory.change,0.9223636,True
change the active memory setting,device.memory.change,46,device.memory.change,0.9842174,True
put the devices into a different listening program,device.memory.change,47,device.memory.change,0.89917684,True
switch to another hearing environment,device.memory.change,48,device.memory.change,0.97183764,True
select the phone program on my hearing aids,device.memory.change,49,device.memory.change,0.71187013,True
change my hearing aids from the current program,device.memory.change,50,device.memory.change,0.9251365,True
activate a different hearing profile,device.memory.change,51,device.memory.change,0.97909445,True
switch the listening memory to another option,device.memory.change,52,device.memory.change,0.953983,True
make the sound a little softer,device.volume.decrease,53,device.volume.decrease,0.9873121,True
lower what I'm hearing without silencing it,device.volume.decrease,54,device.volume.decrease,0.99072474,True
"the hearing aids are too loud, turn them down",device.volume.decrease,55,device.volume.decrease,0.9834811,True
reduce the audio level slightly,device.volume.decrease,56,device.volume.decrease,0.9899914,True
I need less volume but I still want to hear,device.volume.decrease,57,device.volume.decrease,0.9684931,True
make the sound quieter,device.volume.decrease,58,device.volume.decrease,0.9932683,True
bring the volume down a notch,device.volume.decrease,59,device.volume.decrease,0.9872047,True
turn the audio down a little,device.volume.decrease,60,device.volume.decrease,0.9850537,True
reduce how loud the hearing aids are,device.volume.decrease,61,device.volume.decrease,0.9907885,True
make everything less loud,device.volume.decrease,62,device.volume.decrease,0.9910493,True
drop the listening level slightly,device.volume.decrease,63,device.volume.decrease,0.98494315,True
"the sound is too strong, lower it",device.volume.decrease,64,device.volume.decrease,0.99054694,True
give me a softer volume,device.volume.decrease,65,device.volume.decrease,0.9871715,True
turn down the hearing level,device.volume.decrease,66,device.volume.decrease,0.99311185,True
reduce the loudness but keep the sound on,device.volume.decrease,67,device.volume.decrease,0.9865563,True
make my hearing aids quieter,device.volume.decrease,68,device.volume.decrease,0.9906934,True
lower the current volume,device.volume.decrease,69,device.volume.decrease,0.99410665,True
take the volume down a bit,device.volume.decrease,70,device.volume.decrease,0.99166286,True
the audio is too loud for me,device.volume.decrease,71,device.volume.decrease,0.9651235,True
soften the sound coming through the devices,device.volume.decrease,72,device.volume.decrease,0.9773756,True
reduce the hearing aid volume,device.volume.decrease,73,device.volume.decrease,0.99347985,True
turn the sound lower,device.volume.decrease,74,device.volume.decrease,0.9912805,True
make the audio less intense,device.volume.decrease,75,device.volume.decrease,0.9877417,True
I want the volume reduced,device.volume.decrease,76,device.volume.decrease,0.6092391,True
bring the sound level down,device.volume.decrease,77,device.volume.decrease,0.99224997,True
