text,intent,source
please change program to television,Cmd.MemoryChange,reference_train
run me through the self check,Help_SelfCheck,reference_train
do you support italian translation,Help_Translate,reference_train
please i need a car battery,Default Fallback Intent,reference_train
can you remind me tomorrow to,reminders.add,reference_train
please set program to one,Cmd.MemoryChange,reference_train
where do i initiate a manual alert message?,Help_FallAlert,reference_train
please set memory to quiet,Cmd.MemoryChange,reference_train
change to program one,Cmd.MemoryChange,reference_train
please set reminder for 7 am tomorrow yoga,reminders.add,reference_train
just keep me that you searching,Default Fallback Intent,reference_train
can you whats my battery charge,Cmd.BatteryLevel,reference_train
send what i hear to another person,Help_HearShare,reference_train
can you turn volume on,Cmd.VolumeUnmute,reference_train
can you phone,Default Fallback Intent,reference_train
what is wicros,Help_WiCROS,reference_train
can you provincial hearing this is waiting to see how can i help you,Default Fallback Intent,reference_train
set to personal memory,Cmd.MemoryChange,reference_train
please set setting to four,Cmd.MemoryChange,reference_train
program one,Cmd.MemoryChange,reference_train
please volume on left aid,Cmd.VolumeUnmute,reference_train
please change program to four,Cmd.MemoryChange,reference_train
explain when edge mode helps,Help_EdgeMode,reference_train
change the program for this place,Cmd.MemoryChange,reference_train
meeting setting,Cmd.MemoryChange,reference_train
please remind me to pick up my prescription at 5 p.m. on sunday,reminders.add,reference_train
disconnect the remote microphone,Cmd.StreamingStop,reference_train
new reminder eat an apple every day at 9 a.m.,reminders.add,reference_train
have i reached my jogging goal?,Cmd.ActivityRun,reference_train
remind me of blood brothers,reminders.add,reference_train
how do i set up language translation,Help_Translate,reference_train
please send me a reminder to leave for work in 10 minutes,reminders.add,reference_train
thank you so much,Default Fallback Intent,reference_train
can you change to meeting,Cmd.MemoryChange,reference_train
please and push it down for dramatics,Default Fallback Intent,reference_train
please play the microphone,Cmd.StreamingStart,reference_train
can you speech memory,Cmd.MemoryChange,reference_train
please switch to theater,Cmd.MemoryChange,reference_train
step the volume up,Cmd.VolumeIncrease,reference_train
i need a car battery,Default Fallback Intent,reference_train
what features does this app have,Help_Home,reference_train
where should i start,Help_Home,reference_train
please 328 cedar falls,Default Fallback Intent,reference_train
can you turn up the volume on the hearing aid,Cmd.VolumeIncrease,reference_train
can you set program to three,Cmd.MemoryChange,reference_train
please the score of the minnesota twins game,Default Fallback Intent,reference_train
help me hear better,Cmd.VolumeIncrease,reference_train
can you hearing aids transcribe help,Help_Transcribe,reference_train
can you turn volume down,Cmd.VolumeDecrease,reference_train
help with bad audio from my aids,Help_DeviceSettings,reference_train
end the silence,Cmd.VolumeUnmute,reference_train
how do i adjust my loudness of the tinnitus volume in the hearing aid?,Help_Tinnitus,reference_train
can you set memory to tinnitus,Cmd.MemoryChange,reference_train
please i need an adjustment to my aids,Help_RemoteProgramming,reference_train
it's less the fucking thing altogether,Default Fallback Intent,reference_train
help me remember to call grandma this evening,reminders.add,reference_train
please change memory to train,Cmd.MemoryChange,reference_train
can you help for transcribe,Help_Transcribe,reference_train
can you turn my left hearing aid up,Cmd.VolumeIncrease,reference_train
set memory to home,Cmd.MemoryChange,reference_train
how much power do i have left,Cmd.BatteryLevel,reference_train
turn down the sound,Cmd.VolumeDecrease,reference_train
how do i change the cros balance on the transmitter?,Help_WiCROS,reference_train
how do i increase the treble,Help_Customize,reference_train
how can my aids help with ringing,Help_Tinnitus,reference_train
battery charge remaining,Cmd.BatteryLevel,reference_train
is it ok to push the mold in deep?,Help_InsertDevice,reference_train
reach out to a contact,Cmd.SendMessage,reference_train
how do i increase my activity score?,Help_ThriveScore,reference_train
i'm heading into a meeting,Cmd.MemoryChange,reference_train
change to quiet program,Cmd.MemoryChange,reference_train
how do i know if my hearing aid is working?,Help_SelfCheck,reference_train
can you tinnitus setting,Cmd.MemoryChange,reference_train
that's painfully loud,Cmd.VolumeDecrease,reference_train
guide me on the voice assistant feature,Help_VoiceAssistant,reference_train
please volume down left aid,Cmd.VolumeDecrease,reference_train
please help with changing programs on the phone,Help_ChangingMemories,reference_train
percentage of battery left please,Cmd.BatteryLevel,reference_train
can you sentences with more,Default Fallback Intent,reference_train
can you set reminder for everyday,reminders.add,reference_train
change memory to number two,Cmd.MemoryChange,reference_train
where’s the transcribe feature?,Help_Transcribe,reference_train
how do i change the name of my tv streamer?,Help_Accessories,reference_train
explain how to share my sound,Help_HearShare,reference_train
how many steps have i walked,Cmd.ActivityStep,reference_train
send a voice note,Cmd.SendMessage,reference_train
please have i stood an hour,Cmd.ActivityStand,reference_train
does my balance control stay the same if i change memories?,Help_WiCROS,reference_train
can you mute sound on hearing aids,Cmd.VolumeMute,reference_train
change memory to tinnitus,Cmd.MemoryChange,reference_train
please there is a problem with my hearing aids,Help_SelfCheck,reference_train
help with demo mode,Help_DemoMode,reference_train
remind me at noon,reminders.add,reference_train
turn down the volume in my left hearing aid,Cmd.VolumeDecrease,reference_train
can i restore default settings,Help_AppSettings,reference_train
switch memory to three,Cmd.MemoryChange,reference_train
please remind me today,reminders.add,reference_train
the tv is on but i miss what they say,Cmd.VolumeIncrease,reference_train
everything is coming in too hot,Cmd.VolumeDecrease,reference_train
how do i share my welness data?,Help_HearShare,reference_train
can the professional adjust the hearing aids remotely?,Help_RemoteProgramming,reference_train
please switch to noise program,Cmd.MemoryChange,reference_train
can you switch to school,Cmd.MemoryChange,reference_train
how do i invite a person with hearshare?,Help_HearShare,reference_train
how do i enable the sensitivity of double tap?,Help_DeviceSettings,reference_train
who won the ipl?,Default Fallback Intent,reference_train
i need an adjustment to my aids,Help_RemoteProgramming,reference_train
