suite,text,true_intent,predicted_intent,top2,confidence,margin,accepted,category
standard_test,turn the volume up on the hearing aid,Cmd.VolumeIncrease,Cmd.VolumeUnmute,Cmd.VolumeIncrease,0.8681,0.8175,False,same_family_opposite_or_sibling
standard_test,how much distance have i covered today,Cmd.ActivityStep,Cmd.ActivityStand,Cmd.ActivityExercise,0.3466,0.2365,False,same_family_opposite_or_sibling
standard_test,play tv,Cmd.StreamingStart,Default Fallback Intent,Cmd.StreamingStart,0.5312,0.1792,False,command_vs_help_confusion
standard_test,what do i need to know about this new app?,Help_WhatsNew,Help_Home,Help_WhatsNew,0.898,0.8066,False,same_family_opposite_or_sibling
standard_test,trying to get my hearing age to work,Help_SelfCheck,Default Fallback Intent,Help_RemoteProgramming,0.8524,0.8315,False,command_vs_help_confusion
standard_test,why can't i hear anything through my hearing aids,Help_SelfCheck,Help_Pairing,Help_DeviceSettings,0.8854,0.8608,False,negation
standard_test,can i charge my battery?,Help_Battery,Cmd.BatteryLevel,Help_Battery,0.7718,0.5446,False,command_vs_help_confusion
standard_test,can i access the cloud?,Help_HearingCareAnywhereConnect,Help_Home,Cmd.VolumeDecrease,0.3878,0.2015,False,insufficient_training_coverage
standard_test,how do i access the cloud?,Help_HearingCareAnywhereConnect,Help_Home,Help_Accessories,0.8198,0.7369,False,insufficient_training_coverage
standard_test,sync hearing aid to tv,Help_Pairing,Cmd.StreamingStart,Help_Pairing,0.6516,0.5003,False,command_vs_help_confusion
standard_test,how do i ask for a new setting?,Help_RemoteProgramming,Help_MemoryOptions,Help_RemoteProgramming,0.6109,0.2796,False,other_embedding_or_classifier_weakness
standard_test,i need help with my settings,Help_DeviceSettings,Help_HearingCareAnywhereConnect,Help_AppSettings,0.314,0.0889,False,low_margin_uncertainty
standard_test,what is data log,Help_DeviceSettings,Default Fallback Intent,Cmd.ActivityCycle,0.3077,0.2389,False,command_vs_help_confusion
standard_test,what memory and i currently in?,Help_ChangingMemories,Default Fallback Intent,Help_MemoryOptions,0.6078,0.3649,False,command_vs_help_confusion
standard_test,where's the button for memory?,Help_ChangingMemories,Default Fallback Intent,Help_ChangingMemories,0.5191,0.136,False,command_vs_help_confusion
standard_test,where's the memory button?,Help_ChangingMemories,Default Fallback Intent,Help_ChangingMemories,0.4838,0.0405,False,command_vs_help_confusion
standard_test,how do i say take me to the hotel in spanish,Cmd.TranslationStart,Help_InsertDevice,Default Fallback Intent,0.3545,0.0448,False,command_vs_help_confusion
standard_test,turn off the volume,Cmd.VolumeMute,Cmd.VolumeDecrease,Cmd.VolumeMute,0.401,0.053,False,same_family_opposite_or_sibling
standard_test,can i use the phone to check the volume of my hearing aids,Help_Volume,Help_SelfCheck,Default Fallback Intent,0.4235,0.2424,False,other_embedding_or_classifier_weakness
standard_test,what are stock options,Default Fallback Intent,Help_Home,Default Fallback Intent,0.6736,0.5775,False,command_vs_help_confusion
standard_test,creating a demo with your capabilities,Default Fallback Intent,Help_DemoMode,Default Fallback Intent,0.921,0.8465,True,command_vs_help_confusion
standard_test,play hank williams junior,Default Fallback Intent,Cmd.ListenMessage,Default Fallback Intent,0.7396,0.4879,False,command_vs_help_confusion
standard_test,am i close enough to the car,Default Fallback Intent,Cmd.BatteryLevel,Default Fallback Intent,0.6513,0.4321,False,command_vs_help_confusion
standard_test,where is the simba,Default Fallback Intent,Help_Home,Default Fallback Intent,0.3696,0.2503,False,command_vs_help_confusion
standard_test,hey find me a way to white oaks mall,Default Fallback Intent,Help_Home,Default Fallback Intent,0.3876,0.0708,False,command_vs_help_confusion
standard_test,i hear the voice,Default Fallback Intent,Cmd.VolumeIncrease,Help_IntelliVoice,0.4037,0.1496,False,command_vs_help_confusion
standard_test,alexa learn my voice,Default Fallback Intent,Help_VoiceAssistant,Help_IntelliVoice,0.6273,0.3415,False,command_vs_help_confusion
standard_test,hey google,Default Fallback Intent,Cmd.FindMyPhone,Default Fallback Intent,0.5326,0.1522,False,command_vs_help_confusion
standard_test,riley's a manager connected scott.,Default Fallback Intent,Help_Pairing,Default Fallback Intent,0.5442,0.3837,False,command_vs_help_confusion
standard_test,chelsea down at least you try,Default Fallback Intent,reminders.add,Default Fallback Intent,0.5764,0.2151,False,command_vs_help_confusion
standard_test,discover revelation,Default Fallback Intent,Cmd.VolumeDecrease,Cmd.FindMyPhone,0.5292,0.148,False,command_vs_help_confusion
standard_test,i said other program,Default Fallback Intent,Cmd.MemoryChange,Help_ChangingMemories,0.9822,0.9751,True,command_vs_help_confusion
standard_test,google,Default Fallback Intent,Cmd.FindMyPhone,Default Fallback Intent,0.661,0.397,False,command_vs_help_confusion
standard_test,see how it moves all the way across.,Default Fallback Intent,Help_Volume,Default Fallback Intent,0.4,0.1407,False,command_vs_help_confusion
standard_test,right on,Default Fallback Intent,Cmd.VolumeUnmute,Default Fallback Intent,0.5073,0.0748,False,command_vs_help_confusion
standard_test,you want me to say i love you,Default Fallback Intent,reminders.add,Default Fallback Intent,0.4704,0.0745,False,command_vs_help_confusion
standard_test,and push it down for dramatics,Default Fallback Intent,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.6419,0.569,False,command_vs_help_confusion
standard_test,why won't the hearing aids?,Default Fallback Intent,Help_DeviceSettings,Default Fallback Intent,0.4295,0.1876,False,command_vs_help_confusion
standard_test,thanks for changing,Default Fallback Intent,Cmd.MemoryChange,Default Fallback Intent,0.8571,0.7917,False,command_vs_help_confusion
standard_test,i can't hear anything,Default Fallback Intent,Cmd.VolumeIncrease,Default Fallback Intent,0.6855,0.5204,False,negation
standard_test,how do you spell keep my microphone,Default Fallback Intent,Help_CleanCare,Default Fallback Intent,0.4687,0.1214,False,command_vs_help_confusion
standard_test,what level am i hearing aids,Default Fallback Intent,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.3475,0.0141,False,command_vs_help_confusion
standard_test,can you listen to music,Default Fallback Intent,Cmd.StreamingStart,Cmd.ListenMessage,0.4704,0.262,False,command_vs_help_confusion
standard_test,"stream, youtube music.",Default Fallback Intent,Cmd.StreamingStop,Cmd.StreamingStart,0.8158,0.676,False,command_vs_help_confusion
standard_test,i need a car battery,Default Fallback Intent,Cmd.BatteryLevel,Default Fallback Intent,0.9349,0.881,True,command_vs_help_confusion
standard_test,how do i remove a sliver,Default Fallback Intent,Help_CleanCare,Help_HearingCareAnywhereConnect,0.5573,0.4122,False,command_vs_help_confusion
standard_test,why would i need to worry about health guidelines,Default Fallback Intent,Help_Health,Default Fallback Intent,0.4741,0.0396,False,command_vs_help_confusion
standard_test,what is starkey hearing aids,Default Fallback Intent,Help_DeviceSettings,Help_Volume,0.2163,0.032,False,command_vs_help_confusion
standard_test,change to test one,Cmd.MemoryChange,Default Fallback Intent,Cmd.MemoryChange,0.3388,0.0071,False,command_vs_help_confusion
standard_test,please turn the volume up on the hearing aid,Cmd.VolumeIncrease,Cmd.VolumeUnmute,Cmd.VolumeIncrease,0.9375,0.9095,True,same_family_opposite_or_sibling
standard_test,can you turn the volume up on the hearing aid,Cmd.VolumeIncrease,Cmd.VolumeUnmute,Cmd.VolumeIncrease,0.9201,0.8822,True,same_family_opposite_or_sibling
standard_test,please turn up the volume on the hearing aid,Cmd.VolumeIncrease,Cmd.VolumeUnmute,Cmd.VolumeIncrease,0.54,0.1541,False,same_family_opposite_or_sibling
standard_test,can you turn up the volume on the hearing aid,Cmd.VolumeIncrease,Cmd.VolumeUnmute,Cmd.VolumeIncrease,0.488,0.0551,False,same_family_opposite_or_sibling
standard_test,can you play tv,Cmd.StreamingStart,Default Fallback Intent,Cmd.StreamingStart,0.6402,0.4564,False,command_vs_help_confusion
standard_test,please i don’t have a normal memory,Help_MemoryOptions,Cmd.MemoryChange,Help_MemoryOptions,0.5753,0.2151,False,command_vs_help_confusion
standard_test,can you i don’t have a normal memory,Help_MemoryOptions,Cmd.MemoryChange,Help_MemoryOptions,0.5058,0.0537,False,command_vs_help_confusion
standard_test,please trying to get my hearing age to work,Help_SelfCheck,Default Fallback Intent,Help_RemoteProgramming,0.8933,0.8794,False,command_vs_help_confusion
standard_test,can you trying to get my hearing age to work,Help_SelfCheck,Default Fallback Intent,Help_RemoteProgramming,0.8839,0.8697,False,command_vs_help_confusion
standard_test,please sync hearing aid to tv,Help_Pairing,Cmd.StreamingStart,Default Fallback Intent,0.5,0.3625,False,command_vs_help_confusion
standard_test,can you sync hearing aid to tv,Help_Pairing,Cmd.StreamingStart,Help_Pairing,0.4788,0.1554,False,command_vs_help_confusion
standard_test,please i need help with my settings,Help_DeviceSettings,Help_HearingCareAnywhereConnect,Default Fallback Intent,0.3408,0.1905,False,other_embedding_or_classifier_weakness
standard_test,can you i need help with my settings,Help_DeviceSettings,Help_HearingCareAnywhereConnect,Help_AppSettings,0.2645,0.1073,False,other_embedding_or_classifier_weakness
standard_test,please where's the button for memory?,Help_ChangingMemories,Default Fallback Intent,Help_ChangingMemories,0.8314,0.7456,False,command_vs_help_confusion
standard_test,please where's the memory button?,Help_ChangingMemories,Default Fallback Intent,Help_ChangingMemories,0.855,0.7563,False,command_vs_help_confusion
standard_test,please creating a demo with your capabilities,Default Fallback Intent,Help_DemoMode,Default Fallback Intent,0.8755,0.7561,False,command_vs_help_confusion
standard_test,can you creating a demo with your capabilities,Default Fallback Intent,Help_DemoMode,Default Fallback Intent,0.9144,0.834,True,command_vs_help_confusion
standard_test,please play hank williams junior,Default Fallback Intent,Cmd.ListenMessage,Default Fallback Intent,0.7635,0.5341,False,command_vs_help_confusion
standard_test,can you play hank williams junior,Default Fallback Intent,Cmd.ListenMessage,Default Fallback Intent,0.745,0.5017,False,command_vs_help_confusion
standard_test,please am i close enough to the car,Default Fallback Intent,Cmd.BatteryLevel,Default Fallback Intent,0.5306,0.2341,False,command_vs_help_confusion
standard_test,can you am i close enough to the car,Default Fallback Intent,Cmd.BatteryLevel,Default Fallback Intent,0.555,0.2532,False,command_vs_help_confusion
standard_test,please i hear the voice,Default Fallback Intent,Cmd.VolumeIncrease,Help_IntelliVoice,0.4477,0.1998,False,command_vs_help_confusion
standard_test,can you i hear the voice,Default Fallback Intent,Cmd.VolumeIncrease,Help_IntelliVoice,0.4134,0.1201,False,command_vs_help_confusion
standard_test,please alexa learn my voice,Default Fallback Intent,Help_VoiceAssistant,Help_IntelliVoice,0.4018,0.0175,False,command_vs_help_confusion
standard_test,can you alexa learn my voice,Default Fallback Intent,Help_IntelliVoice,Help_VoiceAssistant,0.4702,0.111,False,command_vs_help_confusion
standard_test,please riley's a manager connected scott.,Default Fallback Intent,Help_Pairing,Default Fallback Intent,0.4909,0.2561,False,command_vs_help_confusion
standard_test,can you riley's a manager connected scott.,Default Fallback Intent,Help_Pairing,Default Fallback Intent,0.4645,0.2308,False,command_vs_help_confusion
standard_test,can you chelsea down at least you try,Default Fallback Intent,reminders.add,Default Fallback Intent,0.5225,0.1313,False,command_vs_help_confusion
standard_test,can you discover revelation,Default Fallback Intent,Cmd.VolumeDecrease,Cmd.FindMyPhone,0.5394,0.1855,False,command_vs_help_confusion
standard_test,please i said other program,Default Fallback Intent,Cmd.MemoryChange,Help_FindMyHearingAids,0.9909,0.9891,True,command_vs_help_confusion
standard_test,can you i said other program,Default Fallback Intent,Cmd.MemoryChange,Help_FindMyHearingAids,0.9867,0.9828,True,command_vs_help_confusion
standard_test,can you you want me to say i love you,Default Fallback Intent,reminders.add,Default Fallback Intent,0.5631,0.2603,False,command_vs_help_confusion
standard_test,please and push it down for dramatics,Default Fallback Intent,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.6442,0.5338,False,command_vs_help_confusion
standard_test,can you and push it down for dramatics,Default Fallback Intent,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.6073,0.5123,False,command_vs_help_confusion
standard_test,please thanks for changing,Default Fallback Intent,Cmd.MemoryChange,Default Fallback Intent,0.8742,0.7727,False,command_vs_help_confusion
standard_test,can you thanks for changing,Default Fallback Intent,Cmd.MemoryChange,Default Fallback Intent,0.9021,0.8356,True,command_vs_help_confusion
standard_test,please i can't hear anything,Default Fallback Intent,Cmd.VolumeIncrease,Default Fallback Intent,0.6212,0.4069,False,negation
standard_test,can you i can't hear anything,Default Fallback Intent,Cmd.VolumeIncrease,Default Fallback Intent,0.4859,0.1589,False,negation
standard_test,"please stream, youtube music.",Default Fallback Intent,Cmd.StreamingStop,Cmd.StreamingStart,0.7999,0.6764,False,command_vs_help_confusion
standard_test,"can you stream, youtube music.",Default Fallback Intent,Cmd.StreamingStart,Cmd.StreamingStop,0.5031,0.1385,False,command_vs_help_confusion
standard_test,please i need a car battery,Default Fallback Intent,Cmd.BatteryLevel,Default Fallback Intent,0.9137,0.8407,True,command_vs_help_confusion
standard_test,can you i need a car battery,Default Fallback Intent,Cmd.BatteryLevel,Default Fallback Intent,0.8657,0.7519,False,command_vs_help_confusion
standard_test,please have i reached my biking goal?,Cmd.ActivityCycle,Cmd.ActivityAerobics,Cmd.ActivityCycle,0.3772,0.0553,False,same_family_opposite_or_sibling
standard_test,can you have i reached my biking goal?,Cmd.ActivityCycle,Cmd.ActivityAerobics,Cmd.ActivityCycle,0.4038,0.0876,False,same_family_opposite_or_sibling
standard_test,please change to test one,Cmd.MemoryChange,Default Fallback Intent,Cmd.MemoryChange,0.4313,0.0394,False,command_vs_help_confusion
standard_test,can i translate english to french?,Help_Translate,Cmd.TranslationStart,Default Fallback Intent,0.361,0.0424,False,command_vs_help_confusion
standard_test,do i have a normal memory,Help_ChangingMemories,Help_MemoryOptions,Cmd.MemoryChange,0.9046,0.844,True,same_family_opposite_or_sibling
standard_test,give me a demonstration,Help_DemoMode,Default Fallback Intent,Help_DemoMode,0.3845,0.0407,False,command_vs_help_confusion
standard_test,hearing aid not charging,Help_SelfCheck,Help_Battery,Default Fallback Intent,0.8906,0.8285,False,negation
standard_test,troubleshoot my hearing aids,Help_SelfCheck,Cmd.VolumeDecrease,Help_DeviceSettings,0.3231,0.1098,False,command_vs_help_confusion
standard_test,get down south,Default Fallback Intent,Cmd.VolumeDecrease,Help_Home,0.9599,0.9457,True,command_vs_help_confusion
standard_test,turn on bluetooth,Help_Pairing,Cmd.VolumeUnmute,Help_Pairing,0.4834,0.1887,False,command_vs_help_confusion
standard_test,how do i change,Default Fallback Intent,Help_DeviceSettings,Help_ChangingMemories,0.3319,0.2004,False,command_vs_help_confusion
standard_test,how do i down cls,Default Fallback Intent,Help_Home,Help_Volume,0.5139,0.3247,False,command_vs_help_confusion
standard_test,play festival,Default Fallback Intent,Cmd.ListenMessage,Default Fallback Intent,0.8035,0.6129,False,command_vs_help_confusion
