text,intent,source,predicted_intent,correct
put my hearing aids into the phone setting,device.memory.change,unseen_semantic_stress_test,streaming.session.start,False
switch from my current hearing mode to the phone mode,device.memory.change,unseen_semantic_stress_test,streaming.session.start,False
select a different hearing profile,device.memory.change,unseen_semantic_stress_test,streaming.session.start,False
put the devices into the program I use for conversations,device.memory.change,unseen_semantic_stress_test,device.volume.increase,False
choose another hearing aid environment,device.memory.change,unseen_semantic_stress_test,device.volume.increase,False
move my hearing aids to the music profile,device.memory.change,unseen_semantic_stress_test,streaming.session.start,False
switch to my custom hearing setting,device.memory.change,unseen_semantic_stress_test,streaming.session.start,False
use a different hearing profile right now,device.memory.change,unseen_semantic_stress_test,streaming.session.start,False
change the memory currently selected,device.memory.change,unseen_semantic_stress_test,device.volume.increase,False
select the hearing mode for noisy places,device.memory.change,unseen_semantic_stress_test,streaming.session.start,False
put the hearing aids on the setting I use outdoors,device.memory.change,unseen_semantic_stress_test,device.volume.mute,False
change which memory my hearing aids are using,device.memory.change,unseen_semantic_stress_test,device.volume.increase,False
select a different sound program,device.memory.change,unseen_semantic_stress_test,device.volume.increase,False
select my music hearing profile,device.memory.change,unseen_semantic_stress_test,streaming.session.start,False
change the program that is active,device.memory.change,unseen_semantic_stress_test,reminders.task.complete,False
switch the current hearing profile,device.memory.change,unseen_semantic_stress_test,device.volume.increase,False
select the phone program on my hearing aids,device.memory.change,unseen_semantic_stress_test,streaming.session.start,False
I want the volume reduced,device.volume.decrease,unseen_semantic_stress_test,device.volume.increase,False
quiet the audio somewhat,device.volume.decrease,unseen_semantic_stress_test,streaming.session.start,False
give me a stronger listening level,device.volume.increase,unseen_semantic_stress_test,device.volume.decrease,False
increase the audio output,device.volume.increase,unseen_semantic_stress_test,streaming.session.start,False
boost the audio slightly,device.volume.increase,unseen_semantic_stress_test,streaming.session.start,False
bring the sound level higher,device.volume.increase,unseen_semantic_stress_test,device.volume.decrease,False
make the listening output stronger,device.volume.increase,unseen_semantic_stress_test,device.volume.decrease,False
make the audio less quiet,device.volume.increase,unseen_semantic_stress_test,streaming.session.start,False
turn it up but keep the same program,device.volume.increase,unseen_semantic_stress_test,device.memory.change,False
I don't want to hear any audio right now,device.volume.mute,unseen_semantic_stress_test,streaming.session.stop,False
shut off the audio output,device.volume.mute,unseen_semantic_stress_test,streaming.session.stop,False
stop the sound completely,device.volume.mute,unseen_semantic_stress_test,device.volume.decrease,False
make the audio stop,device.volume.mute,unseen_semantic_stress_test,streaming.session.stop,False
no sound from my hearing aids,device.volume.mute,unseen_semantic_stress_test,streaming.session.start,False
stop what is playing through my hearing aids,device.volume.mute,unseen_semantic_stress_test,streaming.session.stop,False
silence the audio output,device.volume.mute,unseen_semantic_stress_test,streaming.session.start,False
stop hearing anything through the devices,device.volume.mute,unseen_semantic_stress_test,streaming.session.stop,False
stop the hearing aid output,device.volume.mute,unseen_semantic_stress_test,streaming.session.stop,False
turn off what I'm hearing,device.volume.mute,unseen_semantic_stress_test,device.volume.decrease,False
no audio should come through,device.volume.mute,unseen_semantic_stress_test,streaming.session.start,False
shut down the sound output,device.volume.mute,unseen_semantic_stress_test,device.volume.decrease,False
stop the audio completely,device.volume.mute,unseen_semantic_stress_test,streaming.session.stop,False
give me zero sound,device.volume.mute,unseen_semantic_stress_test,streaming.session.start,False
restore audio to my hearing aids,device.volume.unmute,unseen_semantic_stress_test,streaming.session.start,False
resume audio output,device.volume.unmute,unseen_semantic_stress_test,streaming.session.start,False
resume the sound output,device.volume.unmute,unseen_semantic_stress_test,device.volume.decrease,False
"I can hear nothing, enable the audio",device.volume.unmute,unseen_semantic_stress_test,device.volume.increase,False
allow audio through the hearing aids,device.volume.unmute,unseen_semantic_stress_test,streaming.session.start,False
resume what was muted,device.volume.unmute,unseen_semantic_stress_test,device.volume.increase,False
make the hearing aids audible,device.volume.unmute,unseen_semantic_stress_test,device.volume.increase,False
switch off mute mode,device.volume.unmute,unseen_semantic_stress_test,device.volume.mute,False
let audio come through again,device.volume.unmute,unseen_semantic_stress_test,streaming.session.start,False
cancel the mute,device.volume.unmute,unseen_semantic_stress_test,device.volume.mute,False
resume audio through my hearing aids,device.volume.unmute,unseen_semantic_stress_test,streaming.session.start,False
reactivate audio on the hearing aids,device.volume.unmute,unseen_semantic_stress_test,streaming.session.start,False
remove complete silence,device.volume.unmute,unseen_semantic_stress_test,device.volume.mute,False
locate my mobile device,find.phone.locate,unseen_semantic_stress_test,device.volume.increase,False
locate the phone I paired,find.phone.locate,unseen_semantic_stress_test,device.volume.increase,False
my mobile has disappeared,find.phone.locate,unseen_semantic_stress_test,device.volume.increase,False
where is the mobile I paired,find.phone.locate,unseen_semantic_stress_test,device.volume.increase,False
tell me what I have scheduled,help.reminder.show,unseen_semantic_stress_test,device.volume.increase,False
show my reminder schedule,help.reminder.show,unseen_semantic_stress_test,reminders.task.create,False
create an entry in my reminders,reminders.task.create,unseen_semantic_stress_test,help.reminder.show,False
put this on my reminder list,reminders.task.create,unseen_semantic_stress_test,help.reminder.show,False
mark that item complete,reminders.task.complete,unseen_semantic_stress_test,device.memory.change,False
stop sending TV sound,streaming.session.stop,unseen_semantic_stress_test,device.volume.decrease,False
break the streaming link,streaming.session.stop,unseen_semantic_stress_test,streaming.session.start,False
