text,expected_intent,predicted_intent,text_norm,needs_review
play something,Default Fallback Intent,Default Fallback Intent,play something,True
play some music,Default Fallback Intent,Default Fallback Intent,play some music,True
maybe,Default Fallback Intent,Default Fallback Intent,maybe,True
send an email to John,Default Fallback Intent,Cmd.SendMessage,send an email to john,True
turn off bluetooth,Default Fallback Intent,Default Fallback Intent,turn off bluetooth,True
pause the movie,Default Fallback Intent,Default Fallback Intent,pause the movie,True
stop,Default Fallback Intent,Default Fallback Intent,stop,True
who invented the telephone,Default Fallback Intent,Default Fallback Intent,who invented the telephone,True
blah blah blah,Default Fallback Intent,Default Fallback Intent,blah blah blah,True
play music,Default Fallback Intent,Default Fallback Intent,play music,True
write an email,Default Fallback Intent,Default Fallback Intent,write an email,True
play a song,Default Fallback Intent,Default Fallback Intent,play a song,True
asdfghjkl,Default Fallback Intent,Default Fallback Intent,asdfghjkl,True
