text,expected_scope,scope_probability
change memory to four,IN_DOMAIN,0.9338456682732249
please set memory to quiet,IN_DOMAIN,0.9642105681354445
please change to gym,IN_DOMAIN,0.7914569099616395
set to master memory,IN_DOMAIN,0.960421114410959
can you set program to one,IN_DOMAIN,0.9852536549188886
can you memory number one,IN_DOMAIN,0.9151098714221259
please change to home program,IN_DOMAIN,0.945541783348637
can you switch memory to number two,IN_DOMAIN,0.9660506257025829
please change to mask mode,IN_DOMAIN,0.8038264551547855
can you switch memory to noise,IN_DOMAIN,0.965173655982346
please set program to mask,IN_DOMAIN,0.9545979156602703
can you set to speech program,IN_DOMAIN,0.9480380881653561
switch program to restaurant,IN_DOMAIN,0.911606080233891
can you switch to master program,IN_DOMAIN,0.9630588833941899
please change to test one,IN_DOMAIN,0.8147672921943921
please change memory to number two,IN_DOMAIN,0.9394497359386644
please set to personal program,IN_DOMAIN,0.9124601706554825
turn on my program for restaurant,IN_DOMAIN,0.8427587417905339
change my hearing aid program to quiet,IN_DOMAIN,0.9965040961042935
can you change to auditorium program,IN_DOMAIN,0.9343248540345018
change memory to home,IN_DOMAIN,0.9639563067292684
please change to telephone,IN_DOMAIN,0.8996822094798034
change my hearing aid program to golf,IN_DOMAIN,0.9931221403582664
change to crowd program,IN_DOMAIN,0.9412222666790304
change to office program,IN_DOMAIN,0.9539324185174475
please switch memory to worship,IN_DOMAIN,0.9285875201300501
change memory to one,IN_DOMAIN,0.9770904276168222
please switch to auditorium,IN_DOMAIN,0.8004330710114684
can you change to mute memory,IN_DOMAIN,0.9705305293485098
set program to kitchen,IN_DOMAIN,0.9770074791101767
set memory to one,IN_DOMAIN,0.9873192464212049
please change program to auditorium,IN_DOMAIN,0.9174509114297977
please change to outdoors program,IN_DOMAIN,0.939445658879135
set setting to one,IN_DOMAIN,0.9614733325510044
switch memory to theater,IN_DOMAIN,0.9650922442908729
switch to car memory,IN_DOMAIN,0.9665227072929679
please change memory to master,IN_DOMAIN,0.9301103103633039
please change to master,IN_DOMAIN,0.8198659370351846
change the active profile,IN_DOMAIN,0.7178152656964962
can you change to car memory,IN_DOMAIN,0.9542179252783234
can you change setting to two,IN_DOMAIN,0.9165681834875599
switch my hearing aid program to speech,IN_DOMAIN,0.9922795450758707
can you switch program to mute,IN_DOMAIN,0.9801114493010064
please change to kitchen,IN_DOMAIN,0.8683904467913067
can you set to school memory,IN_DOMAIN,0.9435389259000899
please change program to quiet,IN_DOMAIN,0.9599620801989884
switch my hearing aid program to telephone,IN_DOMAIN,0.9970284692531926
set to worship program,IN_DOMAIN,0.9563771172550627
switch my hearing aid program to tinnitus memory,IN_DOMAIN,0.9940694739439747
please switch memory to theater,IN_DOMAIN,0.9377294605198326
can you switch to golf program,IN_DOMAIN,0.9583471760882458
change program to crowd,IN_DOMAIN,0.9402846688516047
switch me to the setting for conversations,IN_DOMAIN,0.8083400886787088
can you change to school memory,IN_DOMAIN,0.9339416925792654
can you switch to mask program,IN_DOMAIN,0.9697041537847725
switch my hearing aid program to automatic program,IN_DOMAIN,0.9898064522984964
switch my memory,IN_DOMAIN,0.9745770902021983
please set to worship program,IN_DOMAIN,0.9279225813025014
can you set to worship program,IN_DOMAIN,0.9548309857953292
can you turn on my program for restaurant,IN_DOMAIN,0.8421464442057757
please change program to meeting,IN_DOMAIN,0.947968641059923
can you change program to noise,IN_DOMAIN,0.9552128683661659
shift into the outdoor profile,IN_DOMAIN,0.7144465621287105
