text,intent,true_id,pred_id,true_intent,pred_intent,confidence
can you activity goal,Cmd.ActivityAerobics,0,18,Cmd.ActivityAerobics,Cmd.VolumeIncrease,0.4043860137462616
track my dance workout,Cmd.ActivityAerobics,0,3,Cmd.ActivityAerobics,Cmd.ActivityExercise,0.47430717945098877
how many calories did i burn yesterday,Cmd.ActivityCalories,1,3,Cmd.ActivityCalories,Cmd.ActivityExercise,0.26614895462989807
start a bike workout,Cmd.ActivityCycle,2,3,Cmd.ActivityCycle,Cmd.ActivityExercise,0.2910931408405304
how many minutes have i been cycling,Cmd.ActivityCycle,2,4,Cmd.ActivityCycle,Cmd.ActivityRun,0.3890917897224426
i'm heading out on the bike,Cmd.ActivityCycle,2,41,Cmd.ActivityCycle,Help_MaskMode,0.5691341757774353
please have i biked an hour?,Cmd.ActivityCycle,2,5,Cmd.ActivityCycle,Cmd.ActivityStand,0.6300873160362244
start logging my training,Cmd.ActivityExercise,3,4,Cmd.ActivityExercise,Cmd.ActivityRun,0.2238265424966812
how long have i been exercising?,Cmd.ActivityExercise,3,2,Cmd.ActivityExercise,Cmd.ActivityCycle,0.39165377616882324
how long have i danced,Cmd.ActivityExercise,3,2,Cmd.ActivityExercise,Cmd.ActivityCycle,0.5130090713500977
how many minutes have i exercised this week,Cmd.ActivityExercise,3,4,Cmd.ActivityExercise,Cmd.ActivityRun,0.5652472972869873
log this running workout,Cmd.ActivityRun,4,3,Cmd.ActivityRun,Cmd.ActivityExercise,0.30517691373825073
begin a run,Cmd.ActivityRun,4,17,Cmd.ActivityRun,Cmd.VolumeDecrease,0.31309905648231506
begin my running workout,Cmd.ActivityRun,4,7,Cmd.ActivityRun,Cmd.ActivityWalk,0.31351953744888306
record the miles i ran,Cmd.ActivityRun,4,18,Cmd.ActivityRun,Cmd.VolumeIncrease,0.42694753408432007
how far have i ran?,Cmd.ActivityRun,4,2,Cmd.ActivityRun,Cmd.ActivityCycle,0.4746576249599457
how many calories have i burned while running?,Cmd.ActivityRun,4,1,Cmd.ActivityRun,Cmd.ActivityCalories,0.48604804277420044
am i meeting my stand goal,Cmd.ActivityStand,5,3,Cmd.ActivityStand,Cmd.ActivityExercise,0.4527975916862488
how am i doing on steps,Cmd.ActivityStep,6,50,Cmd.ActivityStep,Help_Translate,0.14507262408733368
can you calories steps,Cmd.ActivityStep,6,1,Cmd.ActivityStep,Cmd.ActivityCalories,0.5235068202018738
start tracking this stroll,Cmd.ActivityWalk,7,4,Cmd.ActivityWalk,Cmd.ActivityRun,0.3990000784397125
can i get through today?,Cmd.BatteryLevel,8,22,Cmd.BatteryLevel,Help_Accessories,0.23287338018417358
how charged are my aids,Cmd.BatteryLevel,8,32,Cmd.BatteryLevel,Help_FindMyHearingAids,0.27931883931159973
how much life is left in the hearing aid batteries,Cmd.BatteryLevel,8,24,Cmd.BatteryLevel,Help_Battery,0.39155861735343933
what percentage remains?,Cmd.BatteryLevel,8,21,Cmd.BatteryLevel,Default Fallback Intent,0.4500594735145569
what's the condition of my batteries,Cmd.BatteryLevel,8,24,Cmd.BatteryLevel,Help_Battery,0.45812612771987915
how long will the battery last,Cmd.BatteryLevel,8,24,Cmd.BatteryLevel,Help_Battery,0.47514447569847107
will they survive the evening?,Cmd.BatteryLevel,8,21,Cmd.BatteryLevel,Default Fallback Intent,0.5198642611503601
is it time to change my batteries,Cmd.BatteryLevel,8,24,Cmd.BatteryLevel,Help_Battery,0.5543992519378662
have i got enough battery for the day,Cmd.BatteryLevel,8,24,Cmd.BatteryLevel,Help_Battery,0.5548083782196045
how many hours of charge remain,Cmd.BatteryLevel,8,21,Cmd.BatteryLevel,Default Fallback Intent,0.5793820023536682
misplaced telephone,Cmd.FindMyPhone,9,5,Cmd.FindMyPhone,Cmd.ActivityStand,0.20037899911403656
