row,text,true_intent,pytorch_prediction,onnx_prediction,prediction_same,max_abs_logit_diff,mean_abs_logit_diff,cosine_similarity
0,where is my cell phone,Cmd.FindMyPhone,Cmd.FindMyPhone,Cmd.FindMyPhone,True,1.9073486e-06,6.173852e-07,1.0
1,how to intelligent voice,Help_IntelliVoice,Help_IntelliVoice,Help_IntelliVoice,True,2.3841858e-06,7.8538267e-07,0.99999994
2,can you switch setting to number two,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,9.536743e-07,2.9769643e-07,1.0
3,complete my reminder,reminders.complete,reminders.complete,reminders.complete,True,2.861023e-06,6.0049064e-07,1.0000002
4,please change program to office,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.9073486e-06,4.1053352e-07,1.0
5,trader reminder,reminders.add,reminders.add,reminders.add,True,2.861023e-06,6.470241e-07,1.0000001
6,what percentage of battery is left,Cmd.BatteryLevel,Cmd.BatteryLevel,Cmd.BatteryLevel,True,1.4305115e-06,4.5174048e-07,1.0000001
7,how do i change to another program on my hearing aids?,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,True,2.3841858e-06,5.268018e-07,1.0000001
8,can you change to quiet memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.1920929e-06,3.5769324e-07,1.0000001
9,send a quick text,Cmd.SendMessage,Cmd.SendMessage,Cmd.SendMessage,True,2.3841858e-06,5.633685e-07,0.99999994
10,remind me to pay my credit card bill,reminders.add,reminders.add,reminders.add,True,1.9073486e-06,5.9395506e-07,1.0
11,how do i customize my hearing aid memory?,Help_MemoryOptions,Help_MemoryOptions,Help_MemoryOptions,True,1.66893e-06,4.2115389e-07,1.0
12,television program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.9073486e-06,4.564461e-07,1.0
13,i need you to remind me,reminders.add,reminders.add,reminders.add,True,1.4305115e-06,3.5616551e-07,0.9999999
14,turn the volume up,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,True,1.9073486e-06,5.54284e-07,1.0
15,play frank sinatra,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,7.2741193e-07,1.0000001
16,how is heart rate recovery measured,Help_HeartRateRecovery,Help_HeartRateRecovery,Help_HeartRateRecovery,True,1.4305115e-06,4.181475e-07,1.0000001
17,please volume up right aid,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,True,1.937151e-06,6.64082e-07,0.9999999
18,what's the serial number of my aid?,Help_DeviceSettings,Help_Accessories,Help_Accessories,True,1.9073486e-06,6.498998e-07,1.0
19,can i translate english to french?,Help_Translate,Cmd.TranslationStart,Cmd.TranslationStart,True,2.3841858e-06,5.827955e-07,1.0
20,tell me about the news,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,2.3841858e-06,6.7231684e-07,0.99999994
21,apple music sign in,Default Fallback Intent,Cmd.MemoryChange,Cmd.MemoryChange,True,1.4305115e-06,4.7569344e-07,1.0
22,what's the meaning of life,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,3.33786e-06,8.8697857e-07,1.0
23,help customizing my settings,Help_Customize,Help_AppSettings,Help_AppSettings,True,2.861023e-06,7.845331e-07,1.0000001
24,how does the voice clarity feature work,Help_IntelliVoice,Help_VoiceAssistant,Help_VoiceAssistant,True,2.3841858e-06,9.607328e-07,1.0000001
25,where do i find my overall rating,Help_ThriveScore,Help_HearingCareAnywhereConnect,Help_HearingCareAnywhereConnect,True,2.861023e-06,7.8296455e-07,0.9999999
26,the stage sign,Default Fallback Intent,Cmd.MemoryChange,Cmd.MemoryChange,True,1.66893e-06,5.3600064e-07,0.9999999
