text,intent
aerobic calories,Cmd.ActivityAerobics
aerobics goal,Cmd.ActivityAerobics
am i close to my aerobics goal,Cmd.ActivityAerobics
begin aerobics session,Cmd.ActivityAerobics
begin tracking aerobics,Cmd.ActivityAerobics
calories aerobics,Cmd.ActivityAerobics
can you activity goal,Cmd.ActivityAerobics
can you aerobic calories,Cmd.ActivityAerobics
can you aerobics goal,Cmd.ActivityAerobics
can you have i reached my aerobics goal?,Cmd.ActivityAerobics
can you show me my activity goal?,Cmd.ActivityAerobics
capture my aerobics class,Cmd.ActivityAerobics
did i hit my aerobics target,Cmd.ActivityAerobics
have i reached my aerobics goal?,Cmd.ActivityAerobics
how far am i from my aerobics goal,Cmd.ActivityAerobics
how long until i reach my aerobics goal,Cmd.ActivityAerobics
how many aerobics calories,Cmd.ActivityAerobics
how many calories have i burned doing aerobics?,Cmd.ActivityAerobics
how many calories have i used doing aerobics?,Cmd.ActivityAerobics
how many minutes have i been doing aerobics?,Cmd.ActivityAerobics
how much aerobics have i done today,Cmd.ActivityAerobics
how much more aerobics do i need today,Cmd.ActivityAerobics
i'm doing aerobics now,Cmd.ActivityAerobics
i'm starting aerobics,Cmd.ActivityAerobics
log my aerobics session,Cmd.ActivityAerobics
log my cardio dance,Cmd.ActivityAerobics
log this aerobics workout,Cmd.ActivityAerobics
please have i reached my activity goal?,Cmd.ActivityAerobics
please have i reached my aerobics goal?,Cmd.ActivityAerobics
please show me my activity goal?,Cmd.ActivityAerobics
record my aerobic exercise,Cmd.ActivityAerobics
record my aerobics activity,Cmd.ActivityAerobics
show me my activity goal?,Cmd.ActivityAerobics
show my aerobics progress,Cmd.ActivityAerobics
track my aerobics,Cmd.ActivityAerobics
track my dance workout,Cmd.ActivityAerobics
what's my aerobics count this week,Cmd.ActivityAerobics
am i close to my calorie goal,Cmd.ActivityCalories
calorie count please,Cmd.ActivityCalories
calorie count today,Cmd.ActivityCalories
calories burned so far,Cmd.ActivityCalories
calories burned so far today,Cmd.ActivityCalories
calories burned this month,Cmd.ActivityCalories
calories used today,Cmd.ActivityCalories
can you calorie count today,Cmd.ActivityCalories
can you calories burned today,Cmd.ActivityCalories
can you calories used today,Cmd.ActivityCalories
can you used calories today,Cmd.ActivityCalories
check my burned calories,Cmd.ActivityCalories
how many calories did i burn,Cmd.ActivityCalories
how many calories did i burn yesterday,Cmd.ActivityCalories
how many calories have i burned,Cmd.ActivityCalories
how many calories have i burned this week,Cmd.ActivityCalories
how many calories have i burned today?,Cmd.ActivityCalories
how many calories have i lost this week,Cmd.ActivityCalories
how many calories have i used today,Cmd.ActivityCalories
how many calories left to burn,Cmd.ActivityCalories
how many calories today,Cmd.ActivityCalories
how many calories used today,Cmd.ActivityCalories
how much energy have i burned,Cmd.ActivityCalories
my calorie total,Cmd.ActivityCalories
please burned calories today,Cmd.ActivityCalories
please calorie count today,Cmd.ActivityCalories
please calories burned today,Cmd.ActivityCalories
please todays calorie count,Cmd.ActivityCalories
please used calories today,Cmd.ActivityCalories
show calories burned this week,Cmd.ActivityCalories
show my calorie history,Cmd.ActivityCalories
show my calories,Cmd.ActivityCalories
used calories today,Cmd.ActivityCalories
weekly calorie summary,Cmd.ActivityCalories
what's my burn so far,Cmd.ActivityCalories
what's my calorie goal,Cmd.ActivityCalories
what's my weekly calorie burn,Cmd.ActivityCalories
begin tracking my ride,Cmd.ActivityCycle
calories biking,Cmd.ActivityCycle
can you am i close to my cycling goal?,Cmd.ActivityCycle
can you calories biking,Cmd.ActivityCycle
can you show me my biking goal,Cmd.ActivityCycle
capture my cycling session,Cmd.ActivityCycle
did i reach my cycling goal,Cmd.ActivityCycle
how far do i have to ride to meet my goal?,Cmd.ActivityCycle
how far have i biked?,Cmd.ActivityCycle
how far have i cycled,Cmd.ActivityCycle
how long have i been bicycling,Cmd.ActivityCycle
how long have i been cycling.,Cmd.ActivityCycle
how long have i been riding?,Cmd.ActivityCycle
how many biking calories,Cmd.ActivityCycle
how many calories have i burned while biking,Cmd.ActivityCycle
how many calories have i used while biking,Cmd.ActivityCycle
how many minutes have i been biking?,Cmd.ActivityCycle
how many minutes have i been cycling,Cmd.ActivityCycle
how much biking have i done this week?,Cmd.ActivityCycle
how's my cycling progress,Cmd.ActivityCycle
i'm heading out on the bike,Cmd.ActivityCycle
log my ride,Cmd.ActivityCycle
log this cycling session,Cmd.ActivityCycle
please have i biked an hour?,Cmd.ActivityCycle
please have i reached my biking goal?,Cmd.ActivityCycle
please show me my biking goal,Cmd.ActivityCycle
record my cycling,Cmd.ActivityCycle
record this bike ride,Cmd.ActivityCycle
show me my biking goal,Cmd.ActivityCycle
show me my cycling stats,Cmd.ActivityCycle
start a bike workout,Cmd.ActivityCycle
start tracking my bike ride,Cmd.ActivityCycle
time my bike ride,Cmd.ActivityCycle
track my biking,Cmd.ActivityCycle
track this ride,Cmd.ActivityCycle
what are my biking minutes for the week?,Cmd.ActivityCycle
what is my biking count for the month?,Cmd.ActivityCycle
am i close to my exercise goal,Cmd.ActivityExercise
begin my workout,Cmd.ActivityExercise
begin my workout tracking,Cmd.ActivityExercise
calories exercise,Cmd.ActivityExercise
can you calories exercise,Cmd.ActivityExercise
can you show me my exercise goal,Cmd.ActivityExercise
can you work out goal,Cmd.ActivityExercise
capture my workout,Cmd.ActivityExercise
exercise goal,Cmd.ActivityExercise
have i reached my exercise goal?,Cmd.ActivityExercise
how long did i work out,Cmd.ActivityExercise
how long have i been working out,Cmd.ActivityExercise
how long have i danced,Cmd.ActivityExercise
how many calories did i burn working out,Cmd.ActivityExercise
how many calories did i use while exercising,Cmd.ActivityExercise
how many calories did i use working out,Cmd.ActivityExercise
how many minutes have i exercised this week,Cmd.ActivityExercise
how much exercise have i done today,Cmd.ActivityExercise
how much longer do i need to exercise today?,Cmd.ActivityExercise
i'm about to exercise,Cmd.ActivityExercise
i'm working out now,Cmd.ActivityExercise
log an exercise session,Cmd.ActivityExercise
log my exercise,Cmd.ActivityExercise
log my training session,Cmd.ActivityExercise
please have i reached my exercise goal,Cmd.ActivityExercise
record my exercise,Cmd.ActivityExercise
show me my exercise goal,Cmd.ActivityExercise
show me my exercise summary,Cmd.ActivityExercise
show my workout stats,Cmd.ActivityExercise
start an exercise session,Cmd.ActivityExercise
start logging my training,Cmd.ActivityExercise
start my workout,Cmd.ActivityExercise
start tracking my workout,Cmd.ActivityExercise
track my workout,Cmd.ActivityExercise
track this workout,Cmd.ActivityExercise
what is my exercise goal,Cmd.ActivityExercise
work out goal,Cmd.ActivityExercise
begin a run,Cmd.ActivityRun
begin my running workout,Cmd.ActivityRun
calories jogging,Cmd.ActivityRun
calories running,Cmd.ActivityRun
can you calories jogging,Cmd.ActivityRun
can you calories running,Cmd.ActivityRun
can you have i reached my jogging goal?,Cmd.ActivityRun
can you have i run for an hour?,Cmd.ActivityRun
can you running calories,Cmd.ActivityRun
can you show me my running goal,Cmd.ActivityRun
have i reached my jogging goal?,Cmd.ActivityRun
have i reached my running goal?,Cmd.ActivityRun
have i run for an hour?,Cmd.ActivityRun
how far have i ran?,Cmd.ActivityRun
how far have i run?,Cmd.ActivityRun
how many calories have i burned while running?,Cmd.ActivityRun
how many calories have i used while running?,Cmd.ActivityRun
how many minutes have i been jogging?,Cmd.ActivityRun
how many minutes have i jogged?,Cmd.ActivityRun
how many minutes have i ran?,Cmd.ActivityRun
how much more running do i need to do today?,Cmd.ActivityRun
how much running have i done this week?,Cmd.ActivityRun
i want to go for a run,Cmd.ActivityRun
i'm about to go for a run,Cmd.ActivityRun
i'm going jogging now,Cmd.ActivityRun
i'm heading out running,Cmd.ActivityRun
kick off my run tracking,Cmd.ActivityRun
log my finished run,Cmd.ActivityRun
log my jog,Cmd.ActivityRun
log the run i just did,Cmd.ActivityRun
log this running workout,Cmd.ActivityRun
note my jog,Cmd.ActivityRun
please have i run for an hour?,Cmd.ActivityRun
please have long have i been jogging?,Cmd.ActivityRun
please show me my running goal,Cmd.ActivityRun
record the miles i ran,Cmd.ActivityRun
record this run for me,Cmd.ActivityRun
running activity,Cmd.ActivityRun
running calories,Cmd.ActivityRun
save the run i just finished,Cmd.ActivityRun
show me my jogging goal,Cmd.ActivityRun
start recording my run,Cmd.ActivityRun
start running,Cmd.ActivityRun
start tracking my jog,Cmd.ActivityRun
track my run,Cmd.ActivityRun
track the run i completed,Cmd.ActivityRun
what are my running minutes for the week?,Cmd.ActivityRun
what is my running count for the month?,Cmd.ActivityRun
am i meeting my stand goal,Cmd.ActivityStand
calories standing,Cmd.ActivityStand
can you calories standing,Cmd.ActivityStand
can you show me my stand goal,Cmd.ActivityStand
can you show me my standing history,Cmd.ActivityStand
can you stand goal,Cmd.ActivityStand
check my stand hours,Cmd.ActivityStand
do i need to stand longer to reach my goal?,Cmd.ActivityStand
have i reached my stand goal,Cmd.ActivityStand
