text,intent,predicted_intent
add one more to that what does that equal,Default Fallback Intent,Help_WiCROS
can i reset a memory,Help_MemoryOptions,Cmd.MemoryChange
everyone is mumbling,Cmd.VolumeIncrease,Default Fallback Intent
help with device settings,Help_DeviceSettings,Help_MemoryOptions
message my husband,Cmd.SendMessage,Cmd.ListenMessage
activate the noisy environment setting,Cmd.MemoryChange,Cmd.ListenMessage
guide me on changing volume,Help_Volume,Help_DemoMode
i'm in a loud cafeteria now,Cmd.MemoryChange,Default Fallback Intent
show help guide for kind,Help_ThriveScore,Help_IntelliVoice
when is memorial day,Default Fallback Intent,Cmd.VolumeDecrease
can i control my hearing aid by just talking,Help_VoiceAssistant,Help_RemoteProgramming
set independent loudness per side,Help_Volume,Cmd.VolumeDecrease
where is,Default Fallback Intent,Cmd.FindMyPhone
put me in the music listening mode,Cmd.MemoryChange,Cmd.StreamingStart
use the audio streamer,Cmd.StreamingStart,Cmd.StreamingStop
get a transcript going,Cmd.TranscribeStart,Cmd.ListenMessage
what does my recovery score mean,Help_HeartRateRecovery,Cmd.FindMyPhone
how can the app help me find my aids,Help_FindMyHearingAids,Help_AppSettings
how long will the battery last,Cmd.BatteryLevel,Help_Battery
where do i find the mute button,Help_Volume,Cmd.FindMyPhone
how do i increase the bass,Help_Customize,Help_Volume
how can i see what my hearing aid can do,Help_DemoMode,Help_InsertDevice
how to adjust these,Default Fallback Intent,Help_Home
can you play the microphone,Cmd.StreamingStart,Cmd.ListenMessage
caption the people talking,Cmd.TranscribeStart,Cmd.ListenMessage
can you restaurant near me,Default Fallback Intent,Cmd.FindMyPhone
show me user manual for my accessory,Help_Accessories,Cmd.FindMyPhone
please enable right hearing aid,Cmd.VolumeUnmute,Help_SelfCheck
what should i know first,Help_Home,Default Fallback Intent
i'm getting in the car now,Cmd.MemoryChange,Default Fallback Intent
turn on light.,Default Fallback Intent,Help_ThriveScore
can you translate hebrew,Cmd.TranslationStart,Help_Translate
use hearing aid streaming,Cmd.StreamingStart,Help_SelfCheck
how do i clean a how to do subject,Default Fallback Intent,Help_CleanCare
what is noise induced hearing loss,Help_Tinnitus,Help_CleanCare
can you set to tight,Default Fallback Intent,Cmd.MemoryChange
please tell me what how much do i owe you is in español,Cmd.TranslationStart,Default Fallback Intent
what does the smart speech mode do,Help_IntelliVoice,Help_EdgeMode
can you mute,Cmd.VolumeMute,Cmd.VolumeUnmute
guide me on battery care,Help_Battery,Cmd.BatteryLevel
how many minutes have i exercised this week,Cmd.ActivityExercise,Cmd.ActivityRun
help putting in my hearing aids,Help_InsertDevice,Help_Tinnitus
total silence please,Cmd.VolumeMute,Cmd.VolumeDecrease
what what's not working,Default Fallback Intent,Help_WhatsNew
please turn my right hearing aid up,Cmd.VolumeIncrease,Help_SelfCheck
boost the loudness please,Cmd.VolumeIncrease,Cmd.VolumeDecrease
have i got enough battery for the day,Cmd.BatteryLevel,Help_Battery
take care,Default Fallback Intent,Cmd.ActivityExercise
upkeep for my hearing aids,Help_CleanCare,Help_SelfCheck
find my cell for me,Cmd.FindMyPhone,Default Fallback Intent
what is the best phone,Default Fallback Intent,Cmd.FindMyPhone
can you listen again.,Cmd.ListenMessage,Default Fallback Intent
