text,intent
change memory to four,device.memory.change
please set memory to quiet,device.memory.change
please change to gym,device.memory.change
set to master memory,device.memory.change
can you set program to one,device.memory.change
can you memory number one,device.memory.change
please change to home program,device.memory.change
can you switch memory to number two,device.memory.change
please change to mask mode,device.memory.change
can you switch memory to noise,device.memory.change
please set program to mask,device.memory.change
can you set to speech program,device.memory.change
switch program to restaurant,device.memory.change
can you switch to master program,device.memory.change
please change to test one,device.memory.change
please change memory to number two,device.memory.change
please set to personal program,device.memory.change
turn on my program for restaurant,device.memory.change
change my hearing aid program to quiet,device.memory.change
can you change to auditorium program,device.memory.change
change memory to home,device.memory.change
please change to telephone,device.memory.change
change my hearing aid program to golf,device.memory.change
change to crowd program,device.memory.change
change to office program,device.memory.change
please switch memory to worship,device.memory.change
change memory to one,device.memory.change
please switch to auditorium,device.memory.change
can you change to mute memory,device.memory.change
set program to kitchen,device.memory.change
set memory to one,device.memory.change
please change program to auditorium,device.memory.change
please change to outdoors program,device.memory.change
set setting to one,device.memory.change
switch memory to theater,device.memory.change
switch to car memory,device.memory.change
please change memory to master,device.memory.change
please change to master,device.memory.change
change the active profile,device.memory.change
can you change to car memory,device.memory.change
can you change setting to two,device.memory.change
switch my hearing aid program to speech,device.memory.change
can you switch program to mute,device.memory.change
please change to kitchen,device.memory.change
can you set to school memory,device.memory.change
please change program to quiet,device.memory.change
switch my hearing aid program to telephone,device.memory.change
set to worship program,device.memory.change
switch my hearing aid program to tinnitus memory,device.memory.change
please switch memory to theater,device.memory.change
can you switch to golf program,device.memory.change
change program to crowd,device.memory.change
switch me to the setting for conversations,device.memory.change
can you change to school memory,device.memory.change
can you switch to mask program,device.memory.change
switch my hearing aid program to automatic program,device.memory.change
switch my memory,device.memory.change
please set to worship program,device.memory.change
can you set to worship program,device.memory.change
can you turn on my program for restaurant,device.memory.change
please change program to meeting,device.memory.change
can you change program to noise,device.memory.change
shift into the outdoor profile,device.memory.change
can you train memory,device.memory.change
flip into my everyday program,device.memory.change
can you set to master program,device.memory.change
change to train memory,device.memory.change
can you work program,device.memory.change
can you set program to mask,device.memory.change
can you switch to quiet memory,device.memory.change
can you switch to mask,device.memory.change
please switch memory to home,device.memory.change
kitchen memory,device.memory.change
can you set memory to two,device.memory.change
switch to crowd memory,device.memory.change
switch memory to number three,device.memory.change
please change to tinnitus,device.memory.change
please switch to master program,device.memory.change
please switch to office program,device.memory.change
change my hearing aid program to pub,device.memory.change
please set program to restaurant,device.memory.change
please switch to gym program,device.memory.change
can you switch memory to master,device.memory.change
can you change to outdoors memory,device.memory.change
please set memory to two,device.memory.change
i'm settling in for tv time,device.memory.change
change memory to meeting,device.memory.change
please change to music memory,device.memory.change
change memory to automatic,device.memory.change
television memory,device.memory.change
please change to everyday program,device.memory.change
can you switch to car,device.memory.change
can you switch program to one,device.memory.change
change my hearing mode,device.memory.change
set program to master,device.memory.change
set memory to meeting,device.memory.change
set to meeting memory,device.memory.change
please switch memory to kitchen,device.memory.change
please set to automatic program,device.memory.change
change to car program,device.memory.change
can you noise setting,device.memory.change
can you train program,device.memory.change
can you switch to program two,device.memory.change
set to restaurant program,device.memory.change
can you switch to noise program,device.memory.change
please set setting to two,device.memory.change
change memory,device.memory.change
set to worship memory,device.memory.change
change my hearing aid program to school,device.memory.change
can you set program to telephone,device.memory.change
can you set memory to office,device.memory.change
can you switch to telephone program,device.memory.change
set memory to restaurant,device.memory.change
please switch memory to four,device.memory.change
switch memory to number one,device.memory.change
can you switch to kitchen memory,device.memory.change
can you set program to car,device.memory.change
can you change to music,device.memory.change
switch my hearing aid program to memory number one,device.memory.change
can you change to worship memory,device.memory.change
can you set setting to two,device.memory.change
please change program to tinnitus,device.memory.change
set memory to worship,device.memory.change
setting number three,device.memory.change
please change to theater memory,device.memory.change
change memory to speech,device.memory.change
i walked into a restaurant,device.memory.change
can you switch to meeting,device.memory.change
please change memory to three,device.memory.change
set memory to two,device.memory.change
can you set to noise memory,device.memory.change
can you change memory to theater,device.memory.change
please change to speech,device.memory.change
change program to school,device.memory.change
can you set to television memory,device.memory.change
change to personal program,device.memory.change
can you switch to car memory,device.memory.change
can you set program to everyday,device.memory.change
set to home program,device.memory.change
switch my hearing aid program to office memory,device.memory.change
please change setting to number two,device.memory.change
change my memory,device.memory.change
set to golf program,device.memory.change
set program to school,device.memory.change
please set to school program,device.memory.change
please switch to music program,device.memory.change
can you switch program to theater,device.memory.change
set to telephone memory,device.memory.change
please change program to mute,device.memory.change
setting three,device.memory.change
please change to outdoors memory,device.memory.change
pub memory,device.memory.change
please change settings to three,device.memory.change
switch program to television,device.memory.change
can you switch to theater memory,device.memory.change
change program to personal,device.memory.change
can you set to personal memory,device.memory.change
memory three,device.memory.change
change memory to two,device.memory.change
change program to two,device.memory.change
please set to quiet program,device.memory.change
set it up for a concert hall,device.memory.change
can you program number one,device.memory.change
set setting to number two,device.memory.change
please switch program to golf,device.memory.change
can you pub setting,device.memory.change
can you noise program,device.memory.change
please switch to golf,device.memory.change
can you switch to gym program,device.memory.change
please change setting to number one,device.memory.change
please set to theater program,device.memory.change
switch program to pub,device.memory.change
please switch memory to work,device.memory.change
please go to outdoors,device.memory.change
can you switch to mute memory,device.memory.change
can you set to train program,device.memory.change
can you switch to everyday memory,device.memory.change
change my hearing aid program to telephone,device.memory.change
