type,text,expected,intent,confidence,top2_intent,top2_confidence,margin,normalized_entropy,known_token_ratio,final_decision,correct
SUPPORTED,make it louder,device.volume.increase,device.volume.increase,0.9942443616971637,device.volume.decrease,0.001466731892087312,0.9927776298050763,0.01998170210463763,1.0,device.volume.increase,True
SUPPORTED,it's quieter can you make it a little louder,device.volume.increase,device.volume.increase,0.9909934556869757,device.volume.decrease,0.0027818330089821376,0.9882116226779936,0.02926034900162023,1.0,device.volume.increase,True
SUPPORTED,the audio is quiet but don't mute it make it louder,device.volume.increase,device.volume.mute,0.9302176386452107,device.volume.increase,0.04555868676560214,0.8846589518796085,0.14454948750489038,1.0,device.volume.mute,False
SUPPORTED,make it quieter,device.volume.decrease,device.volume.decrease,0.9927181641075439,reminders.task.create,0.0013618627290840647,0.9913563013784598,0.02464465442382971,1.0,device.volume.decrease,True
SUPPORTED,it's a little loud can you make it quieter,device.volume.decrease,device.volume.decrease,0.9902115743968412,device.memory.change,0.0021899252460155227,0.9880216491508256,0.03183270528444134,1.0,device.volume.decrease,True
SUPPORTED,the audio is loud but keep it on just lower it,device.volume.decrease,device.volume.decrease,0.9820276727981007,device.volume.increase,0.0032610677003965024,0.9787666050977042,0.054266750576857016,1.0,device.volume.decrease,True
SUPPORTED,mute it,device.volume.mute,device.volume.mute,0.8870314065180598,device.memory.change,0.042492273685181305,0.8445391328328785,0.2308978971332217,1.0,device.volume.mute,True
SUPPORTED,i can still hear it make it completely silent,device.volume.mute,device.volume.mute,0.9833898128096349,reminders.task.complete,0.0031599318944267414,0.9802298809152081,0.05028381164071847,1.0,device.volume.mute,True
SUPPORTED,turn off,device.volume.mute,device.volume.mute,0.7188707558308408,streaming.session.stop,0.11627856814362485,0.602592187687216,0.45372475102703397,1.0,device.volume.mute,True
SUPPORTED,unmute it,device.volume.unmute,device.volume.unmute,0.9884478243987938,find.phone.locate,0.002069964309777646,0.9863778600890161,0.036620349641650556,1.0,device.volume.unmute,True
SUPPORTED,turn the sound back on,device.volume.unmute,device.volume.unmute,0.9925226299526629,device.volume.decrease,0.0013449026947350028,0.991177727257928,0.025367198247795847,1.0,device.volume.unmute,True
SUPPORTED,i need to go to airport tomorrow,reminders.task.create,reminders.task.create,0.9625232637877216,streaming.session.start,0.010455484608303157,0.9520677791794184,0.10016915677628678,1.0,reminders.task.create,True
SUPPORTED,i need to go to airport tommorow,reminders.task.create,reminders.task.create,0.9066239845801368,device.memory.change,0.024897633693859424,0.8817263508862774,0.20919302263648187,0.8571428571428571,reminders.task.create,True
SUPPORTED,where can i find my phone,find.phone.locate,find.phone.locate,0.9800907276312671,help.reminder.show,0.005068111687647057,0.97502261594362,0.05876402610463002,1.0,find.phone.locate,True
SUPPORTED,please show the reminders i have,help.reminder.show,help.reminder.show,0.96662616419937,reminders.task.complete,0.010054920558394735,0.9565712436409752,0.08728091507697731,1.0,help.reminder.show,True
