text,intent,source,predicted_intent,correct
choose another hearing aid environment,device.memory.change,unseen_semantic_stress_test,device.volume.increase,False
move my hearing aids to the music profile,device.memory.change,unseen_semantic_stress_test,streaming.session.start,False
select my music hearing profile,device.memory.change,unseen_semantic_stress_test,streaming.session.start,False
make the audio more comfortable by lowering it,device.volume.decrease,unseen_semantic_stress_test,device.volume.increase,False
quiet the audio somewhat,device.volume.decrease,unseen_semantic_stress_test,streaming.session.stop,False
take the audio down slightly,device.volume.decrease,unseen_semantic_stress_test,streaming.session.stop,False
give me a stronger listening level,device.volume.increase,unseen_semantic_stress_test,device.volume.decrease,False
make the listening output stronger,device.volume.increase,unseen_semantic_stress_test,device.memory.change,False
make the audio less quiet,device.volume.increase,unseen_semantic_stress_test,device.volume.decrease,False
turn it up but keep the same program,device.volume.increase,unseen_semantic_stress_test,device.memory.change,False
strengthen the sound coming through,device.volume.increase,unseen_semantic_stress_test,streaming.session.start,False
shut off the audio output,device.volume.mute,unseen_semantic_stress_test,streaming.session.stop,False
make the audio stop,device.volume.mute,unseen_semantic_stress_test,streaming.session.stop,False
stop the hearing aid output,device.volume.mute,unseen_semantic_stress_test,streaming.session.stop,False
no audio should come through,device.volume.mute,unseen_semantic_stress_test,streaming.session.start,False
shut down the sound output,device.volume.mute,unseen_semantic_stress_test,device.volume.decrease,False
stop the audio completely,device.volume.mute,unseen_semantic_stress_test,streaming.session.stop,False
give me zero sound,device.volume.mute,unseen_semantic_stress_test,device.volume.unmute,False
stop muting my hearing aids,device.volume.unmute,unseen_semantic_stress_test,streaming.session.stop,False
"I can hear nothing, enable the audio",device.volume.unmute,unseen_semantic_stress_test,streaming.session.start,False
allow audio through the hearing aids,device.volume.unmute,unseen_semantic_stress_test,streaming.session.start,False
make the hearing aids audible,device.volume.unmute,unseen_semantic_stress_test,device.volume.increase,False
switch off mute mode,device.volume.unmute,unseen_semantic_stress_test,device.memory.change,False
enable the device output,device.volume.unmute,unseen_semantic_stress_test,device.memory.change,False
resume audio through my hearing aids,device.volume.unmute,unseen_semantic_stress_test,streaming.session.start,False
remove complete silence,device.volume.unmute,unseen_semantic_stress_test,reminders.task.complete,False
tell me what I have scheduled,help.reminder.show,unseen_semantic_stress_test,reminders.task.create,False
show my reminder schedule,help.reminder.show,unseen_semantic_stress_test,reminders.task.create,False
open my reminder list,help.reminder.show,unseen_semantic_stress_test,reminders.task.complete,False
give me a list of reminders,help.reminder.show,unseen_semantic_stress_test,reminders.task.create,False
establish the audio stream,streaming.session.start,unseen_semantic_stress_test,streaming.session.stop,False
stop sending media sound to the devices,streaming.session.stop,unseen_semantic_stress_test,device.volume.mute,False
break the current audio connection,streaming.session.stop,unseen_semantic_stress_test,streaming.session.start,False
break the streaming link,streaming.session.stop,unseen_semantic_stress_test,streaming.session.start,False
stop routing sound to my devices,streaming.session.stop,unseen_semantic_stress_test,device.volume.mute,False
