text,intent
i can barely make out what people say,device.volume.increase
everything sounds too faint,device.volume.increase
voices are too soft for me,device.volume.increase
crank the sound up a bit,device.volume.increase
boost the loudness please,device.volume.increase
make speech louder,device.volume.increase
turn the level up,device.volume.increase
i'm missing half the conversation,device.volume.increase
speech is too quiet,device.volume.increase
could you raise the volume,device.volume.increase
bump it up a little,device.volume.increase
everything is too low,device.volume.increase
i want it louder,device.volume.increase
amplify the sound for me,device.volume.increase
raise the loudness,device.volume.increase
the tv is too quiet for me,device.volume.increase
i keep missing words,device.volume.increase
sound feels weak,device.volume.increase
give me a bit more volume,device.volume.increase
step the volume up,device.volume.increase
louder please,device.volume.increase
i can't hear the speaker well,device.volume.increase
turn things up so i can hear,device.volume.increase
make my aids louder,device.volume.increase
push the level higher,device.volume.increase
increase how loud it is,device.volume.increase
people sound muffled and faint,device.volume.increase
i need to hear better turn it up,device.volume.increase
turn the sound down a bit,device.volume.decrease
make it softer please,device.volume.decrease
lower the volume,device.volume.decrease
it's too loud for me,device.volume.decrease
bring the level down,device.volume.decrease
quieter please,device.volume.decrease
ease the volume back,device.volume.decrease
that's painfully loud,device.volume.decrease
the sound is too strong,device.volume.decrease
cut the volume a little,device.volume.decrease
drop the level down,device.volume.decrease
tone the loudness down,device.volume.decrease
i need it softer,device.volume.decrease
too much volume right now,device.volume.decrease
soften things up,device.volume.decrease
knock the sound back,device.volume.decrease
scale the volume down,device.volume.decrease
it's blasting my ears,device.volume.decrease
dial the loudness down,device.volume.decrease
everything is way too loud,device.volume.decrease
make speech quieter,device.volume.decrease
lower how loud it is,device.volume.decrease
trim the volume,device.volume.decrease
back the level off,device.volume.decrease
the noise level is too high,device.volume.decrease
ratchet it down a notch,device.volume.decrease
gentle on the volume,device.volume.decrease
i need it more quiet,device.volume.decrease
give me a little quiet,device.volume.decrease
quiet it down for me,device.volume.decrease
i'd like things quieter,device.volume.decrease
make my surroundings quieter,device.volume.decrease
bring me some quiet,device.volume.decrease
my ears are taking a beating,device.volume.decrease
the noise is pounding my ears,device.volume.decrease
this is hammering my ears,device.volume.decrease
my ears can't take this pounding,device.volume.decrease
the sound is battering my ears,device.volume.decrease
cut all the sound,device.volume.mute
total silence please,device.volume.mute
kill the audio completely,device.volume.mute
i want absolute quiet,device.volume.mute
shut the sound off,device.volume.mute
silence everything,device.volume.mute
turn all sound off,device.volume.mute
no sound at all please,device.volume.mute
fully mute the aids,device.volume.mute
stop all audio,device.volume.mute
mute it entirely,device.volume.mute
block out every sound,device.volume.mute
i need complete silence now,device.volume.mute
zero volume please,device.volume.mute
switch the sound off,device.volume.mute
quiet everything down to nothing,device.volume.mute
mute right now,device.volume.mute
i want pure silence,device.volume.mute
cut every bit of sound,device.volume.mute
make it dead silent,device.volume.mute
no sound whatsoever please,device.volume.mute
kill all the noise completely,device.volume.mute
total quiet now please,device.volume.mute
shut off all sound for me,device.volume.mute
silence the aids entirely,device.volume.mute
i need it perfectly quiet,device.volume.mute
mute all audio right now,device.volume.mute
take everything to silence,device.volume.mute
absolutely no sound please,device.volume.mute
turn the sound back on,device.volume.unmute
unmute my aids,device.volume.unmute
bring the audio back,device.volume.unmute
restore the sound,device.volume.unmute
switch sound back on,device.volume.unmute
take my aids off mute,device.volume.unmute
let the audio return,device.volume.unmute
end the silence,device.volume.unmute
reactivate the sound,device.volume.unmute
sound back please,device.volume.unmute
undo the mute,device.volume.unmute
stop muting now,device.volume.unmute
i can listen again turn it on,device.volume.unmute
give me sound again,device.volume.unmute
re-enable the audio,device.volume.unmute
put the volume back on,device.volume.unmute
unmute everything,device.volume.unmute
bring my sound back,device.volume.unmute
let me hear things again,device.volume.unmute
i can hear now turn it on,device.volume.unmute
give me audio again,device.volume.unmute
stop the silence i want sound,device.volume.unmute
return the sound to my aids,device.volume.unmute
switch my hearing back on,device.volume.unmute
take the mute off,device.volume.unmute
i'd like sound again please,device.volume.unmute
wake the sound back up,device.volume.unmute
put my hearing back on,device.volume.unmute
let the audio come back,device.volume.unmute
i want my aids making sound again,device.volume.unmute
cancel the mute please,device.volume.unmute
unmute me,device.volume.unmute
turn the mute off,device.volume.unmute
get me off mute,device.volume.unmute
sound on again please,device.volume.unmute
reactivate my hearing aid sound,device.volume.unmute
i'd like to hear once more,device.volume.unmute
let me hear things once again,device.volume.unmute
restore my hearing now,device.volume.unmute
get my sound going again,device.volume.unmute
i want sound coming through again,device.volume.unmute
end the mute let me hear,device.volume.unmute
i'm walking into a loud bar,device.memory.change
switch me to the restaurant setting,device.memory.change
i'm sitting down in a crowded diner,device.memory.change
change to my outdoor program,device.memory.change
set my aids for a noisy party,device.memory.change
i'm getting in the car now,device.memory.change
put me in the music listening mode,device.memory.change
i'm heading into a meeting,device.memory.change
tune for this windy weather,device.memory.change
i'm at the gym now,device.memory.change
give me my tv watching program,device.memory.change
change into the quiet mode,device.memory.change
i just walked into church,device.memory.change
switch to the program for restaurants,device.memory.change
set it up for a concert hall,device.memory.change
i need my noisy environment setting,device.memory.change
move me to the speech in noise mode,device.memory.change
i'm starting my commute,device.memory.change
use the setting for outdoors,device.memory.change
flip into my everyday program,device.memory.change
i'm in a loud cafeteria now,device.memory.change
change the program for this place,device.memory.change
adjust the mode for traffic,device.memory.change
i'm settling in to watch a film,device.memory.change
switch to the program made for crowds,device.memory.change
load my driving profile,device.memory.change
set my hearing for a busy street,device.memory.change
i'm about to join a phone call,device.memory.change
change to the comfortable indoor mode,device.memory.change
i'm in a big echoey room now,device.memory.change
the program isn't right for where i am,device.memory.change
this setting doesn't suit this place,device.memory.change
i need a better program for here,device.memory.change
switch me to something better for this spot,device.memory.change
this mode isn't working for my surroundings,device.memory.change
i just took a seat in a noisy cafe,device.memory.change
i'm now seated in a loud coffee shop,device.memory.change
settling into a busy restaurant,device.memory.change
i just sat down somewhere really loud,device.memory.change
i'm seated in a crowded noisy spot,device.memory.change
how much charge is left,device.status.battery
are my aids fully charged,device.status.battery
what's my battery at,device.status.battery
do i need to recharge,device.status.battery
how long will the battery last,device.status.battery
is the battery low,device.status.battery
tell me the battery percentage,device.status.battery
how much power do i have left,device.status.battery
will these last till tonight,device.status.battery
check my charge level,device.status.battery
are the batteries about to run out,device.status.battery
how many hours of charge remain,device.status.battery
is there plenty of battery,device.status.battery
what's the charge on my aids,device.status.battery
should i charge them now,device.status.battery
how full is the battery,device.status.battery
battery level please,device.status.battery
are my hearing aids charged enough,device.status.battery
do these have enough power left,device.status.battery
is my charge running low,device.status.battery
power level check,device.status.battery
have i got enough battery for the day,device.status.battery
is it time to charge,device.status.battery
how depleted is the battery,device.status.battery
tell me how charged they are,device.status.battery
what percentage of battery is left,device.status.battery
are my aids running out of power,device.status.battery
send the tv audio to my aids,streaming.session.start
start streaming the television,streaming.session.start
play my phone audio through my aids,streaming.session.start
stream the music into my ears,streaming.session.start
route the movie sound to my hearing aids,streaming.session.start
begin streaming to my devices,streaming.session.start
connect the tv sound to me,streaming.session.start
let me hear the show through my aids,streaming.session.start
stream the podcast to my hearing aids,streaming.session.start
put the audio into my ears,streaming.session.start
start the audio stream,streaming.session.start
send sound straight to my aids,streaming.session.start
play the call through my hearing aids,streaming.session.start
stream from my tv now,streaming.session.start
i want to listen to the tv through my aids,streaming.session.start
beam the audio over to me,streaming.session.start
hook my aids up to the tv sound,streaming.session.start
direct the music to my hearing aids,streaming.session.start
feed the audio into my devices,streaming.session.start
turn on streaming to my ears,streaming.session.start
stop streaming to my aids,streaming.session.stop
end the tv audio stream,streaming.session.stop
i'm finished listening to the stream,streaming.session.stop
cut off the streamed audio,streaming.session.stop
stop sending sound to my hearing aids,streaming.session.stop
turn streaming off now,streaming.session.stop
end streaming from the tv,streaming.session.stop
quit the audio stream,streaming.session.stop
halt the streaming,streaming.session.stop
no more streaming please,streaming.session.stop
stop playing the tv through my aids,streaming.session.stop
disconnect me from the stream,streaming.session.stop
shut off the streamed sound,streaming.session.stop
i'm done with the stream,streaming.session.stop
close the audio streaming,streaming.session.stop
stop the music going to my aids,streaming.session.stop
end the broadcast to my hearing aids,streaming.session.stop
end my tv streaming,streaming.session.stop
stop the audio coming to my aids,streaming.session.stop
quit streaming the television,streaming.session.stop
i don't want the stream anymore,streaming.session.stop
close the connection to the tv sound,streaming.session.stop
stop piping audio to my ears,streaming.session.stop
turn off the tv streaming,streaming.session.stop
cut the streamed audio to my aids,streaming.session.stop
finish the streaming session,streaming.session.stop
cut the tv connection to my aids,streaming.session.stop
disconnect the television audio,streaming.session.stop
end the tv link to my aids,streaming.session.stop
stop the tv feed to my hearing aids,streaming.session.stop
drop the connection to the tv sound,streaming.session.stop
i'm about to go for a run,activity.run.query
log my jog,activity.run.query
start recording my run,activity.run.query
i'm heading out running,activity.run.query
begin my running workout,activity.run.query
record this run for me,activity.run.query
start my jog tracking,activity.run.query
time my run,activity.run.query
i'm going jogging now,activity.run.query
capture my running session,activity.run.query
start tracking my jog,activity.run.query
log this running workout,activity.run.query
kick off my run tracking,activity.run.query
i want to record a run,activity.run.query
log the run i just did,activity.run.query
record the miles i ran,activity.run.query
save the run i just finished,activity.run.query
note my jog,activity.run.query
track the run i completed,activity.run.query
log my finished run,activity.run.query
i'm going for a stroll,activity.walk.query
log my walk,activity.walk.query
start my walk tracking,activity.walk.query
record this walk,activity.walk.query
i'm off for a walk,activity.walk.query
time my stroll,activity.walk.query
capture my walking session,activity.walk.query
start logging my walk,activity.walk.query
i'm taking a walk now,activity.walk.query
record my steps on this walk,activity.walk.query
track my stroll,activity.walk.query
begin my walking workout,activity.walk.query
log a walk for me,activity.walk.query
log the stroll i just took,activity.walk.query
track the walk i did,activity.walk.query
record the walking i just finished,activity.walk.query
i went for a walk log it,activity.walk.query
save my walk,activity.walk.query
note down my walk,activity.walk.query
i'm off for a stroll please track it,activity.walk.query
heading out for a stroll record it,activity.walk.query
going for a walk track it for me,activity.walk.query
start tracking this stroll,activity.walk.query
log the stroll i'm taking,activity.walk.query
how many steps today,activity.step.query
what's my step count,activity.step.query
show my steps so far,activity.step.query
check my step total,activity.step.query
step count please,activity.step.query
am i close to my step goal,activity.step.query
tell me my steps for today,activity.step.query
what's my daily step number,activity.step.query
how far along my steps am i,activity.step.query
steps so far today,activity.step.query
give me my step tally,activity.step.query
how many steps to my goal,activity.step.query
display my step count,activity.step.query
check my stand hours,activity.stand.query
what's my standing time,activity.stand.query
how many stand hours today,activity.stand.query
track my standing,activity.stand.query
show my stand count,activity.stand.query
am i meeting my stand goal,activity.stand.query
how much have i stood today,activity.stand.query
standing time please,activity.stand.query
tell me my stand hours,activity.stand.query
how long on my feet today,activity.stand.query
log my standing time,activity.stand.query
