text,intent
Depuis combien de temps je fais mes exercices de gym ?,Cmd.ActivityAerobics
Combien de minutes d'exercice de gymnastique ?,Cmd.ActivityAerobics
Dis-moi si j'ai atteint mon objectif gym ?,Cmd.ActivityAerobics
Cela fait combien de temps que je m'entraîne aujourd'hui ?,Cmd.ActivityAerobics
Montre-moi mon objectif gym.,Cmd.ActivityAerobics
Rappelle-moi mon objectif gym.,Cmd.ActivityAerobics
Combien de calories dépensées en gymnastique ?,Cmd.ActivityAerobics
J'ai brûlé combien de calories en faisant ma gym ?,Cmd.ActivityAerobics
Durée des exercices de gym cette semaine ?,Cmd.ActivityAerobics
Temps total de gym sur le mois ?,Cmd.ActivityAerobics
Pendant combien de de temps j'ai fait de l'aerobic?,Cmd.ActivityAerobics
"Pendant combien de minutes , j'ai fait de l'aerobic?",Cmd.ActivityAerobics
Est-ce que j'ai atteinds mon objectif d'aerobic?,Cmd.ActivityAerobics
Pendant combien de temps j'ai fait de l'aerobic?,Cmd.ActivityAerobics
Montre moi mes objectifs d'aerobic,Cmd.ActivityAerobics
Combien de calories j'ai brulé en aeobic?,Cmd.ActivityAerobics
J'ai fait de l'aerobic  pendant combien de temps?,Cmd.ActivityAerobics
J'ai fait de l'aerobic  pendant combien de minutes?,Cmd.ActivityAerobics
Combien de calories ai-je brûlé en faisant de l'aérobic ?,Cmd.ActivityAerobics
Combien de calories ai-je utilisées en faisant de l'aérobic ?,Cmd.ActivityAerobics
Combien de calories d'aérobic,Cmd.ActivityAerobics
calories aérobic,Cmd.ActivityAerobics
calories aérobic,Cmd.ActivityAerobics
calories brûlées aujourd'hui,Cmd.ActivityCalories
calories brûlées aujourd'hui,Cmd.ActivityCalories
Combien de calories ai-je brûlé aujourd'hui ?,Cmd.ActivityCalories
Combien de calories ai-je utilisées aujourd'hui,Cmd.ActivityCalories
calories brûlées aujourd'hui,Cmd.ActivityCalories
Combien de calories utilisées aujourd'hui,Cmd.ActivityCalories
Combien de calories brûlées aujourd'hui,Cmd.ActivityCalories
Nombre de calories aujourd'hui,Cmd.ActivityCalories
calories utilisées aujourd'hui,Cmd.ActivityCalories
calories utilisées aujourd'hui,Cmd.ActivityCalories
À combien suis-je de mon objectif vélo ?,Cmd.ActivityCycle
Ai-je atteint mon objectif vélo ?,Cmd.ActivityCycle
Ai-je pédalé une heure ?,Cmd.ActivityCycle
Combien de kilomètres à vélo aujourd'hui ?,Cmd.ActivityCycle
Combien de minutes à bicyclette cette semaine ?,Cmd.ActivityCycle
Combien de minutes ai-je pédalé ?,Cmd.ActivityCycle
Combien de temps ai-je fait du vélo?,Cmd.ActivityCycle
Combien de temps en selle ?,Cmd.ActivityCycle
Combien de temps en selle aujourd'hui ?,Cmd.ActivityCycle
Combien de temps j'ai pédalé ce mois-ci ?,Cmd.ActivityCycle
Combien de vélo ai-je fait aujourd'hui ?,Cmd.ActivityCycle
Dis-moi quel était l'objectif à atteindre en pédalant ?,Cmd.ActivityCycle
Durée sur le vélo aujourd'hui ?,Cmd.ActivityCycle
Est ce que j'ai atteint mon objectif en velo?,Cmd.ActivityCycle
Est-ce que j'ai fait du velo pendant une heure ?,Cmd.ActivityCycle
Est-ce que je suis proche de mon objectif en velo?,Cmd.ActivityCycle
J'ai atteint mon objectif vélo ?,Cmd.ActivityCycle
J'ai brûlé combien de colories en pédalant ?,Cmd.ActivityCycle
J'ai fait combien de Km en velo cette semaine?,Cmd.ActivityCycle
Combien de Km j'ai fait en velo cette semaine?,Cmd.ActivityCycle
J'ai fait du velo pendant combien de temps?,Cmd.ActivityCycle
J'ai passé combien de minutes sur mon vélo ?,Cmd.ActivityCycle
J'ai passé combien de temps en velo ce mois ci ?,Cmd.ActivityCycle
J'ai passé combien de temps en velo ce mois ci,Cmd.ActivityCycle
J'ai passé combien de temps en velo cette semaine ?,Cmd.ActivityCycle
J'ai passé combien de temps en velo cette semaine,Cmd.ActivityCycle
J'ai pédalé combien de temps ?,Cmd.ActivityCycle
Je pédale depuis combien de temps ?,Cmd.ActivityCycle
Montre moi mon objectif en velo,Cmd.ActivityCycle
"Montre-moi mon objectif vélo, s'il-te-plaît ?",Cmd.ActivityCycle
Pendant combien de temps j'ai fai du velo?,Cmd.ActivityCycle
Quel est le but que je me suis fixé à vélo ?,Cmd.ActivityCycle
Quel est mon compte en velo pour ce mois en velo?,Cmd.ActivityCycle
Quel est mon objectif en velo?,Cmd.ActivityCycle
Quel est mon objectif vélo ?,Cmd.ActivityCycle
Quel est mon temps de pédalage ?,Cmd.ActivityCycle
Quel est mon total vélo pour le mois en cours ?,Cmd.ActivityCycle
Quelle distance ai-je parcouru à bicyclette ?,Cmd.ActivityCycle
Rappelle-moi mon objectif bicyclette ?,Cmd.ActivityCycle
Suis-je allé(e) loin à vélo ?,Cmd.ActivityCycle
Suis-je loin de mon objectif vélo ?,Cmd.ActivityCycle
Suis-je proche de mon objectif vélo ?,Cmd.ActivityCycle
Temps de pédalage à atteindre ?,Cmd.ActivityCycle
Temps passé à pédaler aujourd'hui ?,Cmd.ActivityCycle
Combien de calories ai-je brûlé en faisant du vélo ?,Cmd.ActivityCycle
Combien de calories ai-je utilisées en faisant du vélo ?,Cmd.ActivityCycle
Combien de calories à vélo,Cmd.ActivityCycle
calories de vélo,Cmd.ActivityCycle
calories à vélo,Cmd.ActivityCycle
calories à vélo,Cmd.ActivityCycle
Ai-je atteint mon objectif d'exercice ?,Cmd.ActivityExercise
Depuis combien de temps est-ce que je fais de l'exercice ?,Cmd.ActivityExercise
Combien de temps dois-je encore faire de l'exercice aujourd'hui ?,Cmd.ActivityExercise
Montrez-moi mon objectif d'exercice ?,Cmd.ActivityExercise
Quel est mon objectif d'exercice ?,Cmd.ActivityExercise
objectif d'exercice,Cmd.ActivityExercise
objectif d'entraînement,Cmd.ActivityExercise
Depuis combien de temps est-ce que je fais de l'exercice ?,Cmd.ActivityExercise
