text,intent
Have I reached my aerobics goal?,Cmd.ActivityAerobics
How long have I been doing aerobics?,Cmd.ActivityAerobics
How many minutes have I been doing aerobics?,Cmd.ActivityAerobics
Show me my aerobics goal?,Cmd.ActivityAerobics
aerobics goal,Cmd.ActivityAerobics
activity goal,Cmd.ActivityAerobics
Show me my activity goal?,Cmd.ActivityAerobics
Have I reached my activity goal?,Cmd.ActivityAerobics
How many calories have I burned doing aerobics?,Cmd.ActivityAerobics
How many calories have I used doing aerobics?,Cmd.ActivityAerobics
How many aerobics calories,Cmd.ActivityAerobics
aerobic calories,Cmd.ActivityAerobics
calories aerobics,Cmd.ActivityAerobics
burned calories today,Cmd.ActivityCalories
calories burned today,Cmd.ActivityCalories
How many calories have I burned today?,Cmd.ActivityCalories
How many calories have I used today,Cmd.ActivityCalories
calorie count today,Cmd.ActivityCalories
How many calories used today,Cmd.ActivityCalories
How many burned calories today,Cmd.ActivityCalories
todays calorie count,Cmd.ActivityCalories
calories used today,Cmd.ActivityCalories
used calories today,Cmd.ActivityCalories
Am I close to my cycling goal?,Cmd.ActivityCycle
Have I biked an hour?,Cmd.ActivityCycle
Have I reached my biking goal?,Cmd.ActivityCycle
Have I reached my cycling goal?,Cmd.ActivityCycle
How far do I have to ride to meet my goal?,Cmd.ActivityCycle
How far have I biked?,Cmd.ActivityCycle
How far have I cycled?,Cmd.ActivityCycle
How long have I been bicycling,Cmd.ActivityCycle
How long have I been biking,Cmd.ActivityCycle
How long have I been cycling.,Cmd.ActivityCycle
How long have I been riding?,Cmd.ActivityCycle
How many minutes have I been biking?,Cmd.ActivityCycle
How many minutes have I been Cycling,Cmd.ActivityCycle
How much biking have I done this month?,Cmd.ActivityCycle
How much biking have I done this week?,Cmd.ActivityCycle
Show me my biking goal,Cmd.ActivityCycle
What are my biking minutes for the week?,Cmd.ActivityCycle
what is my bicycle goal?,Cmd.ActivityCycle
What is my biking count for the month?,Cmd.ActivityCycle
What is my biking goal?,Cmd.ActivityCycle
What is my cycling goal?,Cmd.ActivityCycle
How many calories have I burned while biking,Cmd.ActivityCycle
How many calories have I used while biking,Cmd.ActivityCycle
How many biking calories,Cmd.ActivityCycle
biking calories,Cmd.ActivityCycle
calories biking,Cmd.ActivityCycle
cycling calories,Cmd.ActivityCycle
calories cycling,Cmd.ActivityCycle
Have I reached my exercise goal,Cmd.ActivityExercise
How long have I been exercising,Cmd.ActivityExercise
How much longer do I need to exercise today,Cmd.ActivityExercise
Show me my exercise goal,Cmd.ActivityExercise
What is my exercise goal,Cmd.ActivityExercise
exercise goal,Cmd.ActivityExercise
work out goal,Cmd.ActivityExercise
How long have I been working out,Cmd.ActivityExercise
How many minutes have I been working out,Cmd.ActivityExercise
how long did I work out,Cmd.ActivityExercise
how long did I exercise,Cmd.ActivityExercise
how many calories did I burn working out,Cmd.ActivityExercise
how many calories did I burn while exercising,Cmd.ActivityExercise
How many calories did I use working out,Cmd.ActivityExercise
How many calories did I use while exercising,Cmd.ActivityExercise
Calories working out,Cmd.ActivityExercise
calories exercise,Cmd.ActivityExercise
Am I close to my running goal?,Cmd.ActivityRun
Have I ran for an hour?,Cmd.ActivityRun
Have I reached my jogging goal?,Cmd.ActivityRun
Have I reached my running goal?,Cmd.ActivityRun
Have long have I been jogging?,Cmd.ActivityRun
How far have I jogged?,Cmd.ActivityRun
How far have I ran?,Cmd.ActivityRun
How far have I run?,Cmd.ActivityRun
How long have I been running?,Cmd.ActivityRun
How many minutes have I ran?,Cmd.ActivityRun
How many minutes have I been jogging?,Cmd.ActivityRun
How many minutes have I jogged?,Cmd.ActivityRun
How much more running do I need to do today?,Cmd.ActivityRun
How much running have I done this month?,Cmd.ActivityRun
How much running have I done this week?,Cmd.ActivityRun
Show me my jogging goal,Cmd.ActivityRun
Show me my running goal,Cmd.ActivityRun
What are my running minutes for the week?,Cmd.ActivityRun
What is my jogging goal?,Cmd.ActivityRun
What is my running count for the month?,Cmd.ActivityRun
What is my running goal?,Cmd.ActivityRun
Have I run for an hour?,Cmd.ActivityRun
How many calories have I burned while running?,Cmd.ActivityRun
How many calories have I used while running?,Cmd.ActivityRun
How many running calories,Cmd.ActivityRun
how many calories did I burn jogging,Cmd.ActivityRun
jogging calories,Cmd.ActivityRun
calories jogging,Cmd.ActivityRun
running calories,Cmd.ActivityRun
calories running,Cmd.ActivityRun
Have I reached my stand goal,Cmd.ActivityStand
how long do I have to stand,Cmd.ActivityStand
How long have I been standing up,Cmd.ActivityStand
How long have I been standing,Cmd.ActivityStand
Show me my stand goal,Cmd.ActivityStand
Can I see my stand goal,Cmd.ActivityStand
Do I need to stand longer to reach my goal,Cmd.ActivityStand
Have I stood an hour,Cmd.ActivityStand
How close am I to my standing goal.,Cmd.ActivityStand
How long have I stood,Cmd.ActivityStand
How many minutes have I been standing,Cmd.ActivityStand
How long have I stood this month,Cmd.ActivityStand
How long have I stood this week,Cmd.ActivityStand
How much longer do I need to stand,Cmd.ActivityStand
Show me how long I've stood,Cmd.ActivityStand
Show me my stand goal,Cmd.ActivityStand
Show me my standing goal,Cmd.ActivityStand
Show me my standing history,Cmd.ActivityStand
Stand Goal,Cmd.ActivityStand
Tell me what my Stand goal is,Cmd.ActivityStand
standing calories,Cmd.ActivityStand
how many calories did I use standing,Cmd.ActivityStand
calories standing,Cmd.ActivityStand
how many calories did I burn standing,Cmd.ActivityStand
Can I see my step goal,Cmd.ActivityStep
How many more steps do I need today,Cmd.ActivityStep
How many more steps to reach my goal,Cmd.ActivityStep
How many steps have I taken,Cmd.ActivityStep
How many steps have I taken this month,Cmd.ActivityStep
How many steps have I taken this week,Cmd.ActivityStep
How many steps have I taken today,Cmd.ActivityStep
Show me my step count,Cmd.ActivityStep
Show me my step goal,Cmd.ActivityStep
Step Goal,Cmd.ActivityStep
Steps taken,Cmd.ActivityStep
Tell me what my step count is,Cmd.ActivityStep
Tell me what my step goal is,Cmd.ActivityStep
What is my step count for the month,Cmd.ActivityStep
What is my step count for the week,Cmd.ActivityStep
What is my step count,Cmd.ActivityStep
What is my step goal,Cmd.ActivityStep
what percentage of my step goal have I taken today,Cmd.ActivityStep
step calories,Cmd.ActivityStep
calories steps,Cmd.ActivityStep
how many calories did I burn with my steps,Cmd.ActivityStep
how many steps calories,Cmd.ActivityStep
What is my Step count,Cmd.ActivityStep
What is my Step goal,Cmd.ActivityStep
How much distance have I covered today,Cmd.ActivityStep
Do I need to walk farther to reach my goal?,Cmd.ActivityWalk
Do I need to walk longer to reach my goal?,Cmd.ActivityWalk
How close am I to my walking goal.,Cmd.ActivityWalk
How far do I have to walk?,Cmd.ActivityWalk
How far have I walked,Cmd.ActivityWalk
How long have I walked.,Cmd.ActivityWalk
How much have I walked this month?,Cmd.ActivityWalk
How much have I walked this week?,Cmd.ActivityWalk
How much have I walked today?,Cmd.ActivityWalk
How much have I walked?,Cmd.ActivityWalk
How much walking have I done this month?,Cmd.ActivityWalk
How much walking have I done this week?,Cmd.ActivityWalk
My walking time is?,Cmd.ActivityWalk
Show me how long I've walked?,Cmd.ActivityWalk
Show me my walking goal?,Cmd.ActivityWalk
Show me my walking history?,Cmd.ActivityWalk
What is my walking count for the month?,Cmd.ActivityWalk
What is my walking goal?,Cmd.ActivityWalk
