text,intent,prediction,confidence,cluster,priority
where do i buy new batteries,Help_Battery,Default Fallback Intent,0.4512648,battery_help_vs_oos,NORMAL
rechargeable or disposable which is better,Help_Battery,Default Fallback Intent,0.8121024,battery_help_vs_oos,HIGH
are my hearing aids getting low?,Cmd.BatteryLevel,Help_DeviceSettings,0.25422823,battery_vs_device_settings,LOW
are my aids running low,Cmd.BatteryLevel,Help_DeviceSettings,0.31173125,battery_vs_device_settings,LOW
when will these die on me,Cmd.BatteryLevel,Default Fallback Intent,0.18711919,battery_vs_oos,LOW
should i plug them in soon,Cmd.BatteryLevel,Default Fallback Intent,0.34427312,battery_vs_oos,LOW
got enough battery for a movie,Cmd.BatteryLevel,Default Fallback Intent,0.67962396,battery_vs_oos,NORMAL
restore my profile after reinstalling,Help_HearingCareAnywhereConnect,Help_AppSettings,0.17666185,care_anywhere_vs_remote_programming,LOW
connect with my hearing care professional,Help_HearingCareAnywhereConnect,Help_RemoteProgramming,0.5231073,care_anywhere_vs_remote_programming,NORMAL
remote appointment with my audiologist,Help_HearingCareAnywhereConnect,Help_RemoteProgramming,0.72912705,care_anywhere_vs_remote_programming,NORMAL
how do i access my hearing aid programs?,Help_ChangingMemories,Help_MemoryOptions,0.32569468,changing_memories_vs_memory_options,LOW
what is memory,Help_ChangingMemories,Help_MemoryOptions,0.4709789,changing_memories_vs_memory_options,NORMAL
how do different memories work,Help_ChangingMemories,Help_MemoryOptions,0.71611583,changing_memories_vs_memory_options,NORMAL
too much wind noise outside,Help_EdgeMode,Cmd.VolumeDecrease,0.659093,edge_mode_vs_volume,NORMAL
reduce the background noise level,Help_EdgeMode,Cmd.VolumeDecrease,0.7716632,edge_mode_vs_volume,NORMAL
kill the noise completely,Help_EdgeMode,Cmd.VolumeMute,0.82183284,edge_mode_vs_volume,HIGH
the noise is unbearable right now,Help_EdgeMode,Cmd.VolumeDecrease,0.91900605,edge_mode_vs_volume,HIGH
explain my recovery score,Help_HeartRateRecovery,Help_ThriveScore,0.49652892,heart_rate_recovery_vs_thrive_score,NORMAL
what features are available,Help_Home,Help_WhatsNew,0.46050036,home_vs_oos,NORMAL
point me in the right direction,Help_Home,Default Fallback Intent,0.46726584,home_vs_oos,NORMAL
how do i navigate,Help_Home,Default Fallback Intent,0.5385874,home_vs_oos,NORMAL
where do i go to do things,Help_Home,Default Fallback Intent,0.6255661,home_vs_oos,NORMAL
none of this makes sense to me,Help_Home,Default Fallback Intent,0.64906293,home_vs_oos,NORMAL
break it down for me,Help_Home,Default Fallback Intent,0.6988367,home_vs_oos,NORMAL
i could use a hand figuring this out,Help_Home,Default Fallback Intent,0.7772346,home_vs_oos,NORMAL
i could use an introduction,Help_Home,Default Fallback Intent,0.8268627,home_vs_oos,HIGH
can you explain?,Help_Home,Default Fallback Intent,0.9327888,home_vs_oos,HIGH
where what is the home,Help_Home,Default Fallback Intent,0.99318236,home_vs_oos,HIGH
how to wear my hearing aid correctly,Help_InsertDevice,Default Fallback Intent,0.38004228,insert_device_vs_oos,NORMAL
do i put the earmold in first,Help_InsertDevice,Default Fallback Intent,0.54184085,insert_device_vs_oos,NORMAL
the dome won't stay put,Help_InsertDevice,Default Fallback Intent,0.6144758,insert_device_vs_oos,NORMAL
cut all the sound,Cmd.VolumeMute,Cmd.VolumeDecrease,0.47276986,mute_vs_volume_decrease,NORMAL
cut every bit of sound,Cmd.VolumeMute,Cmd.VolumeDecrease,0.6879821,mute_vs_volume_decrease,NORMAL
turn mute on,Cmd.VolumeMute,Cmd.VolumeUnmute,0.70588756,mute_vs_volume_decrease,NORMAL
not a peep please,Cmd.VolumeMute,Default Fallback Intent,0.9426115,mute_vs_volume_decrease,HIGH
where is my crowd settings,Help_MemoryOptions,Help_DeviceSettings,0.17267436,other_targeted_confusion,LOW
buzz my phone so i hear it,Cmd.FindMyPhone,Cmd.VolumeUnmute,0.17651704,other_targeted_confusion,LOW
log the miles i just covered,Cmd.ActivityRun,Cmd.BatteryLevel,0.17750394,other_targeted_confusion,LOW
tell me how much runtime is left,Cmd.BatteryLevel,Help_MemoryOptions,0.19316837,other_targeted_confusion,LOW
load my normal configuration,Cmd.MemoryChange,Help_MemoryOptions,0.19367743,other_targeted_confusion,LOW
my grandkids sound like whispers,Cmd.VolumeIncrease,Default Fallback Intent,0.21169779,other_targeted_confusion,LOW
what level am i hearing aids,Default Fallback Intent,Help_SelfCheck,0.23552303,other_targeted_confusion,LOW
what add-ons are available,Help_Accessories,Help_Home,0.24260876,other_targeted_confusion,LOW
what add-ons are compatible,Help_Accessories,Help_DeviceSettings,0.2773274,other_targeted_confusion,LOW
how long have i been on my feet,Cmd.ActivityStand,Cmd.ActivityStep,0.28395465,other_targeted_confusion,LOW
how can i get the left hearing aid?,Help_SelfCheck,Help_FindMyHearingAids,0.3014371,other_targeted_confusion,LOW
how should i store my aids overnight,Help_CleanCare,Help_FindMyHearingAids,0.30867627,other_targeted_confusion,LOW
how do i change the speech focus,Help_Customize,Help_IntelliVoice,0.31689432,other_targeted_confusion,LOW
reset the hearing aids,Default Fallback Intent,Cmd.VolumeUnmute,0.34315604,other_targeted_confusion,LOW
how do i turn my radio music,Default Fallback Intent,Help_DeviceSettings,0.35516167,other_targeted_confusion,NORMAL
can only connect,Default Fallback Intent,Help_Pairing,0.37193692,other_targeted_confusion,NORMAL
how do i change to basic mode,Help_AppSettings,Help_ChangingMemories,0.3984631,other_targeted_confusion,NORMAL
switch on translate mode,Cmd.TranslationStart,Cmd.MemoryChange,0.39858267,other_targeted_confusion,NORMAL
personalise my listening experience,Help_Customize,Cmd.MemoryChange,0.40367034,other_targeted_confusion,NORMAL
there's a constant buzzing in my head,Help_Tinnitus,Default Fallback Intent,0.41383493,other_targeted_confusion,NORMAL
how do i change my phone contact,Help_FallAlert,Help_Pairing,0.45615906,other_targeted_confusion,NORMAL
why can't i hear people in masks,Help_MaskMode,Default Fallback Intent,0.4575729,other_targeted_confusion,NORMAL
how can i use my voice to do things,Help_VoiceAssistant,Help_IntelliVoice,0.4583529,other_targeted_confusion,NORMAL
i just walked into church,Cmd.MemoryChange,Default Fallback Intent,0.46030423,other_targeted_confusion,NORMAL
fix the declining sound on my aids,Help_DeviceSettings,Help_Volume,0.46172604,other_targeted_confusion,NORMAL
how do i tune,Default Fallback Intent,Help_Customize,0.47578946,other_targeted_confusion,NORMAL
my aid keeps cutting out,Help_DeviceSettings,Help_InsertDevice,0.51087874,other_targeted_confusion,NORMAL
conversations are slipping past me,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.5142789,other_targeted_confusion,NORMAL
tone change,Help_DeviceSettings,Cmd.MemoryChange,0.52618283,other_targeted_confusion,NORMAL
the television is blaring and i still miss the words,Help_Customize,Default Fallback Intent,0.52620274,other_targeted_confusion,NORMAL
the sound is cutting in and out,Help_DeviceSettings,Cmd.VolumeDecrease,0.5466235,other_targeted_confusion,NORMAL
how do i know if my microphone is working?,Help_SelfCheck,Help_Accessories,0.5615043,other_targeted_confusion,NORMAL
why can't i hear anything through,Help_Pairing,Help_SelfCheck,0.57900333,other_targeted_confusion,NORMAL
how do i see my biking goals?,Help_Health,Cmd.ActivityCycle,0.5985581,other_targeted_confusion,NORMAL
view my body and brain health,Help_Health,Default Fallback Intent,0.60649973,other_targeted_confusion,NORMAL
patch the sound through to me,Cmd.StreamingStart,Cmd.VolumeDecrease,0.63004345,other_targeted_confusion,NORMAL
turn on hearing aids,Cmd.VolumeUnmute,Default Fallback Intent,0.6660358,other_targeted_confusion,NORMAL
can i set a favourite program,Help_MemoryOptions,Help_ChangingMemories,0.67033213,other_targeted_confusion,NORMAL
its lowd,Cmd.VolumeDecrease,Default Fallback Intent,0.69328547,other_targeted_confusion,NORMAL
notification settings for the app,Help_AppSettings,Help_DeviceSettings,0.73476225,other_targeted_confusion,NORMAL
i want less bass in my left aid,Help_Customize,Cmd.VolumeDecrease,0.8311801,other_targeted_confusion,HIGH
switch to advanced mode in the app,Help_AppSettings,Cmd.MemoryChange,0.8371876,other_targeted_confusion,HIGH
everything sounds muffled,Help_DeviceSettings,Cmd.VolumeIncrease,0.8969652,other_targeted_confusion,HIGH
microphone icon,Help_VoiceAssistant,Default Fallback Intent,0.9921663,other_targeted_confusion,HIGH
tick off my reminder,reminders.complete,reminders.add,0.64007986,reminder_completion_vs_oos,NORMAL
i took my pills you can clear that,reminders.complete,Default Fallback Intent,0.81581104,reminder_completion_vs_oos,HIGH
i did it cross it off,reminders.complete,Default Fallback Intent,0.9751185,reminder_completion_vs_oos,HIGH
that's handled cross it off,reminders.complete,Default Fallback Intent,0.98482805,reminder_completion_vs_oos,HIGH
fire off a text,Cmd.SendMessage,Default Fallback Intent,0.36094123,send_message_vs_oos,NORMAL
text a contact with my news,Cmd.SendMessage,Default Fallback Intent,0.45920807,send_message_vs_oos,NORMAL
show my daily wellness rating,Help_ThriveScore,Help_Health,0.4447385,thrive_score_vs_oos,NORMAL
my body and brain score,Help_ThriveScore,Default Fallback Intent,0.82065356,thrive_score_vs_oos,HIGH
my overall score for the day,Help_ThriveScore,Default Fallback Intent,0.9156476,thrive_score_vs_oos,HIGH
