intent,text,source,status
Cmd.VolumeIncrease,make it louder,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeIncrease,make the volume louder,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeIncrease,turn the volume up,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeIncrease,turn it up,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeIncrease,increase the volume,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeIncrease,increase volume,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeIncrease,volume up,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeIncrease,raise the volume,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeIncrease,raise volume,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeIncrease,make it a little louder,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeIncrease,make it much louder,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeIncrease,it's too quiet,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeIncrease,can you make it louder,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeIncrease,please make it louder,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeIncrease,louder please,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeDecrease,make it quieter,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeDecrease,make the volume quieter,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeDecrease,turn the volume down,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeDecrease,turn it down,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeDecrease,decrease the volume,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeDecrease,decrease volume,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeDecrease,volume down,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeDecrease,lower the volume,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeDecrease,lower volume,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeDecrease,make it a little quieter,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeDecrease,make it much quieter,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeDecrease,it's too loud,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeDecrease,can you make it quieter,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeDecrease,please make it quieter,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeDecrease,quieter please,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeMute,mute,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeMute,mute it,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeMute,mute the volume,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeMute,silence it,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeMute,silence the volume,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeMute,stop the sound,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeMute,stop sound,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeMute,turn the sound off,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeMute,turn off the sound,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeMute,turn the audio off,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeMute,make it silent,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeMute,make the sound silent,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeMute,no sound,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeMute,quiet please,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeUnmute,unmute,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeUnmute,unmute it,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeUnmute,unmute the volume,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeUnmute,turn the sound on,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeUnmute,turn the audio on,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeUnmute,restore the sound,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.VolumeUnmute,restore the volume,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeUnmute,bring the sound back,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeUnmute,turn sound back on,curated_production_candidate,REVIEW_REQUIRED
Cmd.VolumeUnmute,turn volume back on,curated_production_candidate,REVIEW_REQUIRED
Cmd.StreamingStart,start streaming,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.StreamingStart,start the stream,curated_production_candidate,REVIEW_REQUIRED
Cmd.StreamingStart,begin streaming,curated_production_candidate,REVIEW_REQUIRED
