text,intent
remind me to get groceries every month on the 15th at 1 p.m.,reminders.add
can you throw it on the floor,Default Fallback Intent
please isn't the charge for electricity similar to the charge for gasoline,Default Fallback Intent
i misplaced my phone find it,Cmd.FindMyPhone
guide me on caring for my hearing aids,Help_CleanCare
please change to office,Cmd.MemoryChange
can you remember to take medicine today at 5 p.m.,reminders.add
how do i dry my hearing aids,Help_CleanCare
start my cycling workout,Cmd.ActivityCycle
remind me to pick up my prescription at 5 p.m. on saturday,reminders.add
locate my aids,Help_FindMyHearingAids
please set reminder for 7 a.m. tomorrow about dinner please,reminders.add
dnn speech enhancement user guide,Help_IntelliVoice
please i said other program,Default Fallback Intent
please remind me to pick up my prescription wednesday at 5 p.m.,reminders.add
start a run,Cmd.ActivityRun
can you everyday program,Cmd.MemoryChange
make my aid silent,Cmd.VolumeMute
log my training session,Cmd.ActivityExercise
how will i know when my hearing care specialist adjusted my aids?,Help_RemoteProgramming
can you memory one,Cmd.MemoryChange
please switch to mute program,Cmd.MemoryChange
how do i adjust the loudness on the aid?,Help_Volume
how do i start the tinnitus relief sound,Help_Tinnitus
record this meeting,Cmd.TranscribeStart
it's on you,Default Fallback Intent
please first do you need to do,Default Fallback Intent
set memory to crowd,Cmd.MemoryChange
can you set program to two,Cmd.MemoryChange
i can't hear him so it's good,Default Fallback Intent
make the sound quieter,Cmd.VolumeDecrease
can you my hearing aids have too much treble,Help_Customize
turn down the loudness on my hearing aids,Cmd.VolumeDecrease
knock the sound down a bit,Cmd.VolumeDecrease
can you i wish i could wake up,Default Fallback Intent
how do i use accessories with my hearing aid,Help_Accessories
can you calories working out,Cmd.ActivityExercise
current battery,Cmd.BatteryLevel
listen via my hearing aids,Cmd.StreamingStart
how do i change to a different memory on my aid?,Help_ChangingMemories
trader reminder,reminders.add
please change program to master,Cmd.MemoryChange
send audio to my aids,Cmd.StreamingStart
can you switch to auditorium program,Cmd.MemoryChange
how do i find mask mode,Help_MaskMode
can you find my song,Default Fallback Intent
how much distance have i covered today,Cmd.ActivityStep
can you switch to theater program,Cmd.MemoryChange
how do i monitor my heart rate?,Help_HeartRate
play message,Cmd.ListenMessage
have i reached my jogging goal?,Cmd.ActivityRun
what does the self check do,Help_SelfCheck
can you turn the sound down,Cmd.VolumeDecrease
how do i adjust the volume,Help_Volume
how long did i work out,Cmd.ActivityExercise
please take us to see forget it we are in the car and the drone noise will cost if i have them in the road noises being amplified as well,Default Fallback Intent
please remind me to take medicine tomorrow morning,reminders.add
how do i adjust my loudness of the tinnitus volume on the hearing aids?,Help_Tinnitus
can you thrive assistant user guide,Help_VoiceAssistant
lower the level of my hearing aids,Cmd.VolumeDecrease
transmit the sound wirelessly,Cmd.StreamingStart
where did i leave my right aid?,Help_FindMyHearingAids
please all pre-program settings change when once changed,Default Fallback Intent
how many biking calories,Cmd.ActivityCycle
how do i turn on demo mode,Help_DemoMode
can you remind me to take medicine,reminders.add
can you turn off the volume,Cmd.VolumeMute
i better not forget this,reminders.add
how do i turn up the loudness on my aids?,Help_Volume
change to mute memory,Cmd.MemoryChange
please finish this reminder.,reminders.complete
how do i automatically change to a different memory for phone calls,Help_DeviceSettings
show me my step count?,Cmd.ActivityStep
go down in volume,Cmd.VolumeDecrease
going to call them in and see whether they want me to send this enormous,Default Fallback Intent
how do i personalize my sound,Help_Customize
how do you calculate the thrive score?,Help_ThriveScore
how to intellivoice,Help_IntelliVoice
can you play message i got.,Cmd.ListenMessage
who won the ipl?,Default Fallback Intent
can you home program,Cmd.MemoryChange
please change to work program,Cmd.MemoryChange
please good not seen a lot of fluid on that side,Default Fallback Intent
how do i delete the accessory?,Help_Accessories
can you remind me to see the table in 5 minutes,reminders.add
share my audio so others can hear,Help_HearShare
switch memory to two,Cmd.MemoryChange
please please diagnose my hearing aids,Help_SelfCheck
can you setting number four,Cmd.MemoryChange
steps taken?,Cmd.ActivityStep
please remind me at 1 p.m. that i have to eat,reminders.add
i don't understand their foreign language,Cmd.TranslationStart
hi,Default Fallback Intent
will i make it through the day,Cmd.BatteryLevel
what is voice ai?,Help_IntelliVoice
play frank sinatra,Default Fallback Intent
please change to quiet memory,Cmd.MemoryChange
can i customize edge mode,Help_EdgeMode
can you i lost my aid. can you help me find it?,Help_FindMyHearingAids
can you turn up the volume in my right hearing aid,Cmd.VolumeIncrease
where are the loudness settings,Help_Volume
can you sentences with more,Default Fallback Intent
can you set memory to auditorium,Cmd.MemoryChange
remind me to go to bed in 5 minutes,reminders.add
let me try the app features,Help_DemoMode
search nearby for my aids,Help_FindMyHearingAids
set program to worship,Cmd.MemoryChange
please let me hear the tv,Cmd.StreamingStart
tell me about the translation feature,Help_Translate
can you turn on the sound,Cmd.VolumeUnmute
how do i switch to music memory?,Help_ChangingMemories
stream the audio directly to my aids,Cmd.StreamingStart
please replay my message.,Cmd.ListenMessage
please test hearing aids,Help_SelfCheck
please make the hearing aids quieter,Cmd.VolumeDecrease
can you pump up the volume,Cmd.VolumeIncrease
can you reminder,reminders.add
can you start recording,Cmd.TranscribeStart
girls do that i want to go to italy,Default Fallback Intent
i've lost my hearing aids,Help_FindMyHearingAids
how do i tailor my hearing experience,Help_Customize
can you discover revelation,Default Fallback Intent
please pair right aid,Help_Pairing
please fix face mask problems,Help_MaskMode
can you switch program to outdoors,Cmd.MemoryChange
how do i adjust my table mic?,Help_Accessories
mark my reminder done,reminders.complete
please heart rate user guide,Help_HeartRate
decrease volume in my hearing aids,Cmd.VolumeDecrease
open translation in spanish,Cmd.TranslationStart
please we searched for relief you can go in,Default Fallback Intent
can you switch memory to speech,Cmd.MemoryChange
caption this conversation,Cmd.TranscribeStart
please right swift code of binary search,Default Fallback Intent
can you quiet memory,Cmd.MemoryChange
steps to pair my devices,Help_Pairing
add reminder feed a cat in 3 minutes,reminders.add
edge mode help,Help_EdgeMode
my handset is missing please ring it,Cmd.FindMyPhone
can you change setting to number three,Cmd.MemoryChange
set reminder about washing car,reminders.add
change volume down,Cmd.VolumeDecrease
i'd like things quieter,Cmd.VolumeDecrease
customize my hearing aid settings,Help_Customize
can you connect me to my audiologist,Help_RemoteProgramming
how often should i use dnn speech enhancement?,Help_IntelliVoice
change memory to two,Cmd.MemoryChange
send a text to my doctor,Cmd.SendMessage
where's self check?,Help_SelfCheck
please bustling hearing aid,Default Fallback Intent
wireless audio to aids,Cmd.StreamingStart
connect to remote,Cmd.StreamingStart
please switch to speech,Cmd.MemoryChange
how to decrease volume,Help_Volume
please set to outdoors program,Cmd.MemoryChange
show me my step goal?,Cmd.ActivityStep
mute the hearing aids,Cmd.VolumeMute
what sounds will i hear if i fall?,Help_FallAlert
set memory to theater,Cmd.MemoryChange
change to golf,Cmd.MemoryChange
hey find me a way to white oaks mall,Default Fallback Intent
please remind me 10:30 p.m. to close the restaurant,reminders.add
i am heading outdoors switch my program,Cmd.MemoryChange
please remind me i have a meeting,reminders.add
help with noise stimulus adjustment on my aids,Help_Tinnitus
please sync hearing aid to tv,Help_Pairing
how do i change the volume of the accessories?,Help_Accessories
please set to television memory,Cmd.MemoryChange
help for streaming,Help_Accessories
how do i set up cros,Help_WiCROS
how do i personalize my hearing aid memory?,Help_MemoryOptions
it's different both of them are different,Default Fallback Intent
"this is important, remind me later",reminders.add
can i setup geotagging,Help_MemoryOptions
how do i check if my hearing aids are paired to the phone?,Help_Pairing
battery drains fast,Help_Battery
can you it was discouraging and then i found balance of nature it's just being a no-brainer ever since i feel good,Default Fallback Intent
can the audiologist adjust my hearing aids remotely?,Help_RemoteProgramming
can you i'm floating on the road,Default Fallback Intent
how do i check to see if my hearing aid is working?,Help_SelfCheck
since you're coming up pretty soon,Default Fallback Intent
can you switch to train program,Cmd.MemoryChange
turn down my right aid,Cmd.VolumeDecrease
change to home,Cmd.MemoryChange
please remind me to charge my phone everyday at 11:00 p.m.,reminders.add
can you set program to golf,Cmd.MemoryChange
volume on,Cmd.VolumeUnmute
please new reminder eat an apple everyday at 9 a.m.,reminders.add
is the hearing aid connected to the app?,Help_Pairing
i need stronger audio,Cmd.VolumeIncrease
please pair left aid,Help_Pairing
change program to television,Cmd.MemoryChange
please listen to the presenter,Cmd.StreamingStart
help me find my aid,Help_FindMyHearingAids
can you have i stood an hour,Cmd.ActivityStand
where is the heart feature?,Help_HeartRate
kitchen setting,Cmd.MemoryChange
change to home program,Cmd.MemoryChange
quiet everything down to nothing,Cmd.VolumeMute
where did i put my phone,Cmd.FindMyPhone
can you fisher is jacking off in the car so it's in the closet,Default Fallback Intent
how do i save my settings online,Help_HearingCareAnywhereConnect
please battery life left,Cmd.BatteryLevel
did i reach my walking goal today,Cmd.ActivityWalk
how do i link with my hearing professional,Help_HearingCareAnywhereConnect
memory three,Cmd.MemoryChange
can you set to master memory,Cmd.MemoryChange
can you remind me to call mom on christmas,reminders.add
can i listen to the adjustments made by the hearing specialist?,Help_RemoteProgramming
what is my step count,Cmd.ActivityStep
don't tell me that's the problem,Default Fallback Intent
how many calories did i use while exercising,Cmd.ActivityExercise
can the hearing care specialist adjust the hearing aid remotely?,Help_RemoteProgramming
can you don't tell me that's the problem,Default Fallback Intent
can you set program to number one,Cmd.MemoryChange
running activity,Cmd.ActivityRun
as long as you hear the noise,Default Fallback Intent
note this down for me,reminders.add
can you switch to mute memory,Cmd.MemoryChange
track this ride,Cmd.ActivityCycle
what features should i know about,Help_Home
turn the level up,Cmd.VolumeIncrease
can you switch memory to meeting,Cmd.MemoryChange
help with pairing my hearing aids with the phone,Help_Pairing
how do i add caregiver?,Help_HearShare
can you make my hearing aids softer,Cmd.VolumeDecrease
how do i adjust my loudness of the white noise in the right hearing aid?,Help_Tinnitus
can you tone change,Help_DeviceSettings
how do i put my hearing aids in,Help_InsertDevice
how do i turn on mask mode,Help_MaskMode
how does heart rate work?,Help_HeartRate
how do i invie a caregiver to hearshare?,Help_HearShare
how do i access settings,Help_Home
can you switch setting to number one,Cmd.MemoryChange
what time is the sunset,Default Fallback Intent
change program to car,Cmd.MemoryChange
how many calories did i burn standing,Cmd.ActivityStand
can you change to car memory,Cmd.MemoryChange
dispatch a message,Cmd.SendMessage
how long to fully charge my hearing aid,Help_Battery
route the tv audio into my aids,Cmd.StreamingStart
how do i adjust my noise masker on my hearing aids?,Help_Tinnitus
how do i make double tap less sensitive?,Help_DeviceSettings
what do my hearing aids do when i've fallen?,Help_FallAlert
find where my phone went,Cmd.FindMyPhone
how can i see my health goals?,Help_Health
can you i misplaced my aids,Help_FindMyHearingAids
how to share hearing aid information with my son?,Help_HearShare
start writing down the speech,Cmd.TranscribeStart
set to automatic memory,Cmd.MemoryChange
what's the way to change between settings,Help_ChangingMemories
open transcription,Cmd.TranscribeStart
can you remind me to go running every wednesday at 7 a.m.,reminders.add
can you lexus assembly to new,Default Fallback Intent
pairing my hearing aids on the phone,Help_Pairing
i've completed that reminder,reminders.complete
talk to you later,Default Fallback Intent
can you help with tinnitus noise adjustments in my aids,Help_Tinnitus
please and if the size is a little side street they sent angels church,Default Fallback Intent
please switch to restaurant memory,Cmd.MemoryChange
help putting in my hearing aids,Help_InsertDevice
please change to home,Cmd.MemoryChange
can i preview the adjustments made by the professional?,Help_RemoteProgramming
can you send me a reminder to leave for work in 10 minutes,reminders.add
please it's different both of them are different,Default Fallback Intent
can you change to theater,Cmd.MemoryChange
can you switch memory to work,Cmd.MemoryChange
catch me up on new stuff,Help_WhatsNew
automatic program,Cmd.MemoryChange
show my current heart rate,Help_HeartRate
using the app without aids connected,Help_DemoMode
please i hear the voice,Default Fallback Intent
what's the translate feature for,Help_Translate
it's in charge of the armory,Default Fallback Intent
can you s&s side working,Default Fallback Intent
can you thanks for my child when i was a little girl with a grandfather who taught me the heart of my face,Default Fallback Intent
stream what i hear to a family member,Help_HearShare
what is heart help recovery,Help_HeartRateRecovery
send a short message,Cmd.SendMessage
switch to golf memory,Cmd.MemoryChange
where is the device test,Help_SelfCheck
can you i seen some of the models out there and they lose,Default Fallback Intent
turn my hearing aid volume down,Cmd.VolumeDecrease
take care,Default Fallback Intent
how do i preview new settings?,Help_RemoteProgramming
please switch to music,Cmd.MemoryChange
please set up a reminder,reminders.add
calories biking,Cmd.ActivityCycle
remind me to pick up my prescription at 5 p.m. on thursday,reminders.add
please where's my google phone,Cmd.FindMyPhone
set program to two,Cmd.MemoryChange
please i got this free guys swinging stage fright one of those up,Default Fallback Intent
information on the kind score,Help_ThriveScore
what's my weekly calorie burn,Cmd.ActivityCalories
do i need to recharge,Cmd.BatteryLevel
can you turn on my right aid,Cmd.VolumeUnmute
personal program,Cmd.MemoryChange
can you change program to theater,Cmd.MemoryChange
record something for another person,Cmd.SendMessage
what got added recently,Help_WhatsNew
