text,intent,sklearn_prediction,onnx_prediction,prediction_match,sklearn_confidence,onnx_confidence,confidence_diff
can you remind me to pick up my prescription at 5 p.m. on tuesday,reminders.add,55,55,True,0.9910437,0.9910436,5.9604645e-08
help with tinnitus volume adjustment on my hearing aids,Help_Tinnitus,48,48,True,0.97838575,0.9783858,5.9604645e-08
please switch to tinnitus,Cmd.MemoryChange,11,11,True,0.9899677,0.9899678,1.1920929e-07
how do i use the tv streamer,Help_Accessories,22,22,True,0.9448086,0.9448085,1.1920929e-07
can you running calories,Cmd.ActivityRun,4,4,True,0.8392572,0.8392568,3.5762787e-07
please mute my aids,Cmd.VolumeMute,19,19,True,0.8984208,0.89842105,2.3841858e-07
appreciate it,Default Fallback Intent,21,21,True,0.9935666,0.99356645,1.1920929e-07
set my hearing for a busy street,Cmd.MemoryChange,11,11,True,0.98202735,0.9820272,1.7881393e-07
please play tv stream,Cmd.StreamingStart,13,13,True,0.9562481,0.9562482,1.1920929e-07
help me remember to do that,reminders.add,55,55,True,0.98581785,0.98581785,0.0
set program to three,Cmd.MemoryChange,11,11,True,0.99160844,0.9916083,1.1920929e-07
can you lower the level of my hearing aids,Cmd.VolumeDecrease,17,17,True,0.9753998,0.97539955,2.3841858e-07
can you i can't even hardly hear that,Default Fallback Intent,21,21,True,0.9887938,0.9887938,0.0
please switch to everyday program,Cmd.MemoryChange,11,11,True,0.9927677,0.9927678,1.1920929e-07
where's the find my hearing aid feature,Help_FindMyHearingAids,32,32,True,0.9730138,0.9730137,1.1920929e-07
what does my recovery score mean,Help_HeartRateRecovery,47,47,True,0.66546607,0.6654637,2.3841858e-06
how do i check what accessories i have paired to my hearing aids?,Help_Accessories,22,22,True,0.9615104,0.9615106,1.7881393e-07
can you reminder done.,reminders.complete,56,56,True,0.9399405,0.9399405,0.0
it's busy being born,Default Fallback Intent,21,21,True,0.9935324,0.9935324,0.0
switch program to number three,Cmd.MemoryChange,11,11,True,0.99318635,0.9931864,5.9604645e-08
please i need to pair the hearing aid to my phone,Help_Pairing,43,43,True,0.9852572,0.9852572,0.0
can you unmute my hearing aids,Cmd.VolumeUnmute,20,20,True,0.8946695,0.89467007,5.9604645e-07
can you remind me to pick up prescription today at 5 p.m.,reminders.add,55,55,True,0.99174964,0.99174964,0.0
