text,intent,source
tell me a joke,OOD,v4_ood
who is the prime minister of india,OOD,v4_ood
what is the weather today,OOD,v4_ood
what is the capital of france,OOD,v4_ood
what is bitcoin,OOD,v4_ood
what is the stock market doing,OOD,v4_ood
book a hotel for tomorrow,OOD,v4_ood
i want to order pizza,OOD,v4_ood
open my browser,OOD,v4_ood
what time is the train,OOD,v4_ood
how do i cook pasta,OOD,v4_ood
play music,OOD,v4_ood
how are you,OOD,v4_ood
thank you,OOD,v4_ood
good morning,OOD,v4_ood
what happened in the news today,OOD,v4_ood
translate this sentence,OOD,v4_ood
set an alarm on my phone,OOD,v4_ood
send an email,OOD,v4_ood
take a photo,OOD,v4_ood
call my friend,OOD,v4_ood
show me a recipe,OOD,v4_ood
what is the temperature,OOD,v4_ood
tell me about football,OOD,v4_ood
asdfghjkl,OOD,v4_ood
jkakjhdjkhd,OOD,v4_ood
123456789,OOD,v4_ood
