text,intent,reason
"it is too loud in here, can you make it quieter",Cmd.VolumeDecrease,contains 'loud'
"it is too quiet in here, can you make it louder",Cmd.VolumeIncrease,contains 'quiet'
"everything sounds too loud, bring it down",Cmd.VolumeDecrease,contains 'loud'
"everything sounds too soft, bring it up",Cmd.VolumeIncrease,contains 'soft'
"i turned it up too far, take it back down",Cmd.VolumeDecrease,contains 'up'
"i turned it down too far, take it back up",Cmd.VolumeIncrease,contains 'down'
stop making it louder and lower it instead,Cmd.VolumeDecrease,contains 'louder'
stop making it quieter and raise it instead,Cmd.VolumeIncrease,contains 'quieter'
"that is far too much volume, cut it back",Cmd.VolumeDecrease,contains 'volume'
"the volume dropped too far, put it back up",Cmd.VolumeIncrease,contains 'dropped'
"i do not want it muted, i want it louder",Cmd.VolumeIncrease,contains 'muted'
"i do not want it louder, i want it muted",Cmd.VolumeMute,contains 'louder'
"it is muted, turn the sound back on",Cmd.VolumeUnmute,contains 'muted'
"the sound is on, mute it",Cmd.VolumeMute,contains 'on'
"i am not asking to change programs, just turn it up",Cmd.VolumeIncrease,contains 'programs'
"i am not asking to change the volume, switch my program",Cmd.MemoryChange,contains 'volume'
"do not start streaming, stop it",Cmd.StreamingStop,contains 'start'
"do not stop streaming, start it",Cmd.StreamingStart,contains 'stop'
"i do not need a new reminder, mark the old one done",reminders.complete,contains 'reminder'
"i do not want to mark it done, add another reminder",reminders.add,contains 'done'
"do not play the message, record a new one",Cmd.SendMessage,contains 'play'
"do not record a message, play the one i got",Cmd.ListenMessage,contains 'record'
"i am not looking for my phone, i lost a hearing aid",Help_FindMyHearingAids,contains 'phone'
"i am not looking for my hearing aid, i lost my phone",Cmd.FindMyPhone,contains 'hearing aid'
"do not tell me how, just change the volume",Cmd.VolumeDecrease,how-to distractor
"do not change anything, just tell me how volume works",Help_Volume,command distractor
"i did not ask about the battery type, just tell me the charge",Cmd.BatteryLevel,contains 'battery type'
"i did not ask for the charge level, what battery size do i need",Help_Battery,contains 'charge'
"not my step count, my stand time",Cmd.ActivityStand,contains 'step'
"not my stand time, my step count",Cmd.ActivityStep,contains 'stand'
"not my heart rate, my heart rate recovery",Help_HeartRateRecovery,contains 'heart rate'
"not the recovery number, just my heart rate",Help_HeartRate,contains 'recovery'
"not edge mode, i meant mask mode",Help_MaskMode,contains 'edge mode'
"not mask mode, i meant edge mode",Help_EdgeMode,contains 'mask mode'
"i do not want to transcribe, i want to translate",Cmd.TranslationStart,contains 'transcribe'
"i do not want to translate, i want to transcribe",Cmd.TranscribeStart,contains 'translate'
"i am not after a remote adjustment, i am after to share my data",Help_HearShare,corrective_taught_family
"skip mask mode, do demo mode instead",Help_DemoMode,corrective_HELD_OUT_family
"i am not after mask mode, i am after speech enhancement",Help_IntelliVoice,corrective_HELD_OUT_family
"speech enhancement is not what i wanted, demo mode is",Help_DemoMode,corrective_HELD_OUT_family
"my calories is not what i wanted, my standing time is",Cmd.ActivityStand,corrective_taught_family
"skip how to change programs, do how to make a new program instead",Help_MemoryOptions,corrective_taught_family
"i am not after how to put them in, i am after how to clean them",Help_CleanCare,corrective_taught_family
not my hearing aid found — i meant my phone found,Cmd.FindMyPhone,corrective_taught_family
"speech enhancement is not what i wanted, edge mode is",Help_EdgeMode,corrective_HELD_OUT_family
"how to change programs is not what i wanted, how to personalise the sound is",Help_Customize,corrective_taught_family
