text,intent
skridt taget,Cmd.ActivityStep
jeg mistede mit andet høreapparat,Help_FindMyHearingAids
"hvorfor kan du ikke finde det venstre høreapparat, det sidder i mit øre og virker fint?",Help_FindMyHearingAids
hvordan søger jeg efter mine hjælpemidler?,Help_FindMyHearingAids
mine høreapparater mangler,Help_FindMyHearingAids
mit andet hjælpemiddel mangler,Help_FindMyHearingAids
finde mit rette hjælpemiddel,Help_FindMyHearingAids
hvor er min hjælp?,Help_FindMyHearingAids
hvor er mit andet hjælpemiddel?,Help_FindMyHearingAids
mit venstre hjælpemiddel mangler,Help_FindMyHearingAids
jeg kan ikke finde min hjælp,Help_FindMyHearingAids
hvordan søger jeg efter mit andet høreapparat?,Help_FindMyHearingAids
hvor har jeg lagt mit høreapparat?,Help_FindMyHearingAids
Jeg kan ikke huske hvor mine høreapparater er,Help_FindMyHearingAids
find mit andet høreapparat,Help_FindMyHearingAids
jeg har forlagt mit højre hjælpemiddel,Help_FindMyHearingAids
hjælp mig med at finde mine hjælpemidler,Help_FindMyHearingAids
jeg kan ikke finde mit andet høreapparat,Help_FindMyHearingAids
"hvordan ved jeg, hvor mine hjælpemidler er?",Help_FindMyHearingAids
hvor placerede jeg mine høreapparater?,Help_FindMyHearingAids
hvor er mine hjælpemidler?,Help_FindMyHearingAids
hvor placerede jeg mit højre høreapparat?,Help_FindMyHearingAids
jeg kan ikke finde mit højre høreapparat,Help_FindMyHearingAids
jeg kan ikke finde mit højre høreapparat,Help_FindMyHearingAids
hvor er mine høreapparater?,Help_FindMyHearingAids
find mit rigtige høreapparat,Help_FindMyHearingAids
jeg mistede mine høreapparater. kan du hjælpe mig med at finde dem?,Help_FindMyHearingAids
jeg kan ikke finde mine høreapparater,Help_FindMyHearingAids
hvor efterlod jeg mit venstre høreapparat?,Help_FindMyHearingAids
hjælp mig med at finde mine høreapparater,Help_FindMyHearingAids
mit høreapparat mangler,Help_FindMyHearingAids
find mit venstre høreapparat,Help_FindMyHearingAids
hvordan finder jeg mit hjælpemiddel?,Help_FindMyHearingAids
kig efter mine høreapparater,Help_FindMyHearingAids
find mit højre hjælpemiddel,Help_FindMyHearingAids
jeg kan ikke finde mit højre høreapparat,Help_FindMyHearingAids
jeg kan ikke huske hvor mine hjælpemidler er,Help_FindMyHearingAids
hvordan søger jeg efter mit rigtige hjælpemiddel?,Help_FindMyHearingAids
hvor har jeg efterladt mit høreapparat?,Help_FindMyHearingAids
hvor efterlod jeg mit venstre hjælpemiddel?,Help_FindMyHearingAids
hvordan finder jeg mit andet høreapparat?,Help_FindMyHearingAids
hvor placerede jeg mit hjælpemiddel?,Help_FindMyHearingAids
