text,intent,norm,key
nudge the level higher,Cmd.VolumeIncrease,nudge the level higher,higher level nudge
nudge the level lower,Cmd.VolumeDecrease,nudge the level lower,level lower nudge
"it is too quiet, raise it",Cmd.VolumeIncrease,it is too quiet raise it,quiet raise too
"it is too loud, lower it",Cmd.VolumeDecrease,it is too loud lower it,loud lower too
bump the sound up a notch,Cmd.VolumeIncrease,bump the sound up a notch,bump notch sound up
bump the sound down a notch,Cmd.VolumeDecrease,bump the sound down a notch,bump down notch sound
i need a little more volume,Cmd.VolumeIncrease,i need a little more volume,little more need volume
i need a little less volume,Cmd.VolumeDecrease,i need a little less volume,less little need volume
tone things upward,Cmd.VolumeIncrease,tone things upward,thing tone upward
tone things downward,Cmd.VolumeDecrease,tone things downward,downward thing tone
"the sound is too low, raise it",Cmd.VolumeIncrease,the sound is too low raise it,low raise sound too
"the sound is too high, drop it",Cmd.VolumeDecrease,the sound is too high drop it,drop high sound too
give me more sound,Cmd.VolumeIncrease,give me more sound,give more sound
give me less sound,Cmd.VolumeDecrease,give me less sound,give less sound
lift the loudness,Cmd.VolumeIncrease,lift the loudness,lift loudnes
drop the loudness,Cmd.VolumeDecrease,drop the loudness,drop loudnes
kill all output,Cmd.VolumeMute,kill all output,all kill output
bring sound back on,Cmd.VolumeUnmute,bring sound back on,back br on sound
silence my aids,Cmd.VolumeMute,silence my aids,aids silence
unsilence my aids,Cmd.VolumeUnmute,unsilence my aids,aids unsilence
mute both hearing aids,Cmd.VolumeMute,mute both hearing aids,aids both hear mute
unmute both hearing aids,Cmd.VolumeUnmute,unmute both hearing aids,aids both hear unmute
cut all sound from my aids,Cmd.VolumeMute,cut all sound from my aids,aids all cut from sound
restore sound to my aids,Cmd.VolumeUnmute,restore sound to my aids,aids restore sound
begin streaming to my aids,Cmd.StreamingStart,begin streaming to my aids,aids begin stream
end streaming to my aids,Cmd.StreamingStop,end streaming to my aids,aids end stream
start the tv audio,Cmd.StreamingStart,start the tv audio,audio start tv
stop the tv audio,Cmd.StreamingStop,stop the tv audio,audio stop tv
hook me into the television audio,Cmd.StreamingStart,hook me into the television audio,audio hook into television
unhook me from the television audio,Cmd.StreamingStop,unhook me from the television audio,audio from television unhook
set a reminder for my pills,reminders.add,set a reminder for my pills,pill reminder set
my pill reminder is done,reminders.complete,my pill reminder is done,done pill reminder
remind me to call the clinic,reminders.add,remind me to call the clinic,call clinic remind
"i already called the clinic, clear that reminder",reminders.complete,i already called the clinic clear that reminder,already call clear clinic reminder
record a message for my daughter,Cmd.SendMessage,record a message for my daughter,daughter message record
play the message from my daughter,Cmd.ListenMessage,play the message from my daughter,daughter from message play
dictate a quick note for my son,Cmd.SendMessage,dictate a quick note for my son,dictate note quick son
replay what my son sent,Cmd.ListenMessage,replay what my son sent,replay sent son what
boost my hearing aid loudness,Cmd.VolumeIncrease,boost my hearing aid loudness,aid boost hear loudnes
how would i boost my hearing aid loudness,Help_Volume,how would i boost my hearing aid loudness,aid boost hear how loudnes
soften what i am hearing,Cmd.VolumeDecrease,soften what i am hearing,am hear soften what
how would i soften what i am hearing,Help_Volume,how would i soften what i am hearing,am hear how soften what
shut off all output,Cmd.VolumeMute,shut off all output,all off output shut
how would i shut off all output,Help_Volume,how would i shut off all output,all how off output shut
flip me over to the cafe setting,Cmd.MemoryChange,flip me over to the cafe setting,cafe flip over sett
how would i flip over to the cafe setting,Help_ChangingMemories,how would i flip over to the cafe setting,cafe flip how over sett
jump to setting number three,Cmd.MemoryChange,jump to setting number three,jump number sett three
how would i jump to setting number three,Help_ChangingMemories,how would i jump to setting number three,how jump number sett three
kick off live captions,Cmd.TranscribeStart,kick off live captions,caption kick live off
how would i kick off live captions,Help_Transcribe,how would i kick off live captions,caption how kick live off
translate this for me,Cmd.TranslationStart,translate this for me,translate
how does translating work,Help_Translate,how does translating work,does how translat work
how much battery is left,Cmd.BatteryLevel,how much battery is left,battery how left much
what kind of battery goes in my aid,Help_Battery,what kind of battery goes in my aid,aid battery goes in kind what
locate my mobile,Cmd.FindMyPhone,locate my mobile,locate mobile
locate my left earpiece,Help_FindMyHearingAids,locate my left earpiece,earpiece left locate
where did my mobile go,Cmd.FindMyPhone,where did my mobile go,did go mobile where
which earpiece is missing,Help_FindMyHearingAids,which earpiece is missing,earpiece miss which
kick off television audio,Cmd.StreamingStart,kick off television audio,audio kick off television
how would i configure a television box,Help_Accessories,how would i configure a television box,box configure how television
remind me at six,reminders.add,remind me at six,at remind six
what abilities does the reminder tool have,Help_Reminder,what abilities does the reminder tool have,abiliti does have reminder tool what
how far have i walked today,Cmd.ActivityWalk,how far have i walked today,far have how today walk
how far have i cycled today,Cmd.ActivityCycle,how far have i cycled today,cycl far have how today
log this stroll of mine,Cmd.ActivityWalk,log this stroll of mine,log mine stroll
log the jog i just did,Cmd.ActivityRun,log the jog i just did,did jog log
what is my step count today,Cmd.ActivityStep,what is my step count today,count step today what
how long did i stand today,Cmd.ActivityStand,how long did i stand today,did how long stand today
log my gym session,Cmd.ActivityExercise,log my gym session,gym log session
log this cardio dance session,Cmd.ActivityAerobics,log this cardio dance session,cardio dance log session
how long was my gym session,Cmd.ActivityExercise,how long was my gym session,gym how long session was
how much energy did my gym session burn,Cmd.ActivityCalories,how much energy did my gym session burn,burn did energy gym how much session
did i reach my walking target,Cmd.ActivityWalk,did i reach my walking target,did reach target walk
did i reach my upright target,Cmd.ActivityStand,did i reach my upright target,did reach target upright
explain my heart rate reading,Help_HeartRate,explain my heart rate reading,explain heart rate read
explain my heart rate recovery reading,Help_HeartRateRecovery,explain my heart rate recovery reading,explain heart rate read recovery
where do i see my activity summary,Help_Health,where do i see my activity summary,activity see summary where
where do i see my engagement score,Help_ThriveScore,where do i see my engagement score,engagement score see where
what abilities does edge mode have,Help_EdgeMode,what abilities does edge mode have,abiliti does edge have mode what
what abilities does mask mode have,Help_MaskMode,what abilities does mask mode have,abiliti does have mask mode what
how do i turn on the tinnitus masker,Help_Tinnitus,how do i turn on the tinnitus masker,how masker on tinnitu turn
how do i turn on speech enhancement,Help_IntelliVoice,how do i turn on speech enhancement,enhancement how on speech turn
how do i clean my aids,Help_CleanCare,how do i clean my aids,aids clean how
how do i put in my aids,Help_InsertDevice,how do i put in my aids,aids how in put
how do i pair my aids,Help_Pairing,how do i pair my aids,aids how pair
how do i run a self check on my aids,Help_SelfCheck,how do i run a self check on my aids,aids check how on run self
how do i share my data with my son,Help_HearShare,how do i share my data with my son,data how share son with
how do i book a remote appointment,Help_HearingCareAnywhereConnect,how do i book a remote appointment,appointment book how remote
"it is too loud in here, can you make it quieter",Cmd.VolumeDecrease,it is too loud in here can you make it quieter,here in loud make quieter too
"it is too quiet in here, can you make it louder",Cmd.VolumeIncrease,it is too quiet in here can you make it louder,here in louder make quiet too
"everything sounds too loud, bring it down",Cmd.VolumeDecrease,everything sounds too loud bring it down,br down everyth loud sound too
"everything sounds too soft, bring it up",Cmd.VolumeIncrease,everything sounds too soft bring it up,br everyth soft sound too up
"i turned it up too far, take it back down",Cmd.VolumeDecrease,i turned it up too far take it back down,back down far take too turn up
"i turned it down too far, take it back up",Cmd.VolumeIncrease,i turned it down too far take it back up,back down far take too turn up
stop making it louder and lower it instead,Cmd.VolumeDecrease,stop making it louder and lower it instead,instead louder lower mak stop
stop making it quieter and raise it instead,Cmd.VolumeIncrease,stop making it quieter and raise it instead,instead mak quieter raise stop
"that is far too much volume, cut it back",Cmd.VolumeDecrease,that is far too much volume cut it back,back cut far much too volume
"the volume dropped too far, put it back up",Cmd.VolumeIncrease,the volume dropped too far put it back up,back dropp far put too up volume
"i do not want it muted, i want it louder",Cmd.VolumeIncrease,i do not want it muted i want it louder,louder mut not want
"i do not want it louder, i want it muted",Cmd.VolumeMute,i do not want it louder i want it muted,louder mut not want
"it is muted, turn the sound back on",Cmd.VolumeUnmute,it is muted turn the sound back on,back mut on sound turn
"the sound is on, mute it",Cmd.VolumeMute,the sound is on mute it,mute on sound
"i am not asking to change programs, just turn it up",Cmd.VolumeIncrease,i am not asking to change programs just turn it up,am ask change not program turn up
"i am not asking to change the volume, switch my program",Cmd.MemoryChange,i am not asking to change the volume switch my program,am ask change not program switch volume
"do not start streaming, stop it",Cmd.StreamingStop,do not start streaming stop it,not start stop stream
"do not stop streaming, start it",Cmd.StreamingStart,do not stop streaming start it,not start stop stream
"i do not need a new reminder, mark the old one done",reminders.complete,i do not need a new reminder mark the old one done,done mark need new not old one reminder
"i do not want to mark it done, add another reminder",reminders.add,i do not want to mark it done add another reminder,add another done mark not reminder want
"do not play the message, record a new one",Cmd.SendMessage,do not play the message record a new one,message new not one play record
"do not record a message, play the one i got",Cmd.ListenMessage,do not record a message play the one i got,got message not one play record
"i am not looking for my phone, i lost a hearing aid",Help_FindMyHearingAids,i am not looking for my phone i lost a hearing aid,aid am hear look lost not phone
"i am not looking for my hearing aid, i lost my phone",Cmd.FindMyPhone,i am not looking for my hearing aid i lost my phone,aid am hear look lost not phone
"do not tell me how, just change the volume",Cmd.VolumeDecrease,do not tell me how just change the volume,change how not tell volume
"do not change anything, just tell me how volume works",Help_Volume,do not change anything just tell me how volume works,anyth change how not tell volume work
"i did not ask about the battery type, just tell me the charge",Cmd.BatteryLevel,i did not ask about the battery type just tell me the charge,about ask battery charge did not tell type
"i did not ask for the charge level, what battery size do i need",Help_Battery,i did not ask for the charge level what battery size do i need,ask battery charge did level need not size what
"not my step count, my stand time",Cmd.ActivityStand,not my step count my stand time,count not stand step time
"not my stand time, my step count",Cmd.ActivityStep,not my stand time my step count,count not stand step time
"not my heart rate, my heart rate recovery",Help_HeartRateRecovery,not my heart rate my heart rate recovery,heart not rate recovery
"not the recovery number, just my heart rate",Help_HeartRate,not the recovery number just my heart rate,heart not number rate recovery
"not edge mode, i meant mask mode",Help_MaskMode,not edge mode i meant mask mode,edge mask meant mode not
"not mask mode, i meant edge mode",Help_EdgeMode,not mask mode i meant edge mode,edge mask meant mode not
"i do not want to transcribe, i want to translate",Cmd.TranslationStart,i do not want to transcribe i want to translate,not transcribe translate want
"i do not want to translate, i want to transcribe",Cmd.TranscribeStart,i do not want to translate i want to transcribe,not transcribe translate want
"i am not after a remote adjustment, i am after to share my data",Help_HearShare,i am not after a remote adjustment i am after to share my data,adjustment after am data not remote share
"skip mask mode, do demo mode instead",Help_DemoMode,skip mask mode do demo mode instead,demo instead mask mode skip
"i am not after mask mode, i am after speech enhancement",Help_IntelliVoice,i am not after mask mode i am after speech enhancement,after am enhancement mask mode not speech
"speech enhancement is not what i wanted, demo mode is",Help_DemoMode,speech enhancement is not what i wanted demo mode is,demo enhancement mode not speech want what
"my calories is not what i wanted, my standing time is",Cmd.ActivityStand,my calories is not what i wanted my standing time is,calori not stand time want what
"skip how to change programs, do how to make a new program instead",Help_MemoryOptions,skip how to change programs do how to make a new program instead,change how instead make new program skip
"i am not after how to put them in, i am after how to clean them",Help_CleanCare,i am not after how to put them in i am after how to clean them,after am clean how in not put them
not my hearing aid found — i meant my phone found,Cmd.FindMyPhone,not my hearing aid found i meant my phone found,aid found hear meant not phone
"speech enhancement is not what i wanted, edge mode is",Help_EdgeMode,speech enhancement is not what i wanted edge mode is,edge enhancement mode not speech want what
"how to change programs is not what i wanted, how to personalise the sound is",Help_Customize,how to change programs is not what i wanted how to personalise the sound is,change how not personalise program sound want what
"skip speech enhancement, do the cros system instead",Help_WiCROS,skip speech enhancement do the cros system instead,cros enhancement instead skip speech system
"skip a self check, do how to put them in instead",Help_InsertDevice,skip a self check do how to put them in instead,check how in instead put self skip them
"i am not after my workout, i am after my walking",Cmd.ActivityWalk,i am not after my workout i am after my walking,after am not walk workout
"quieter is not what i wanted, muted is",Cmd.VolumeMute,quieter is not what i wanted muted is,mut not quieter want what
"skip to play my messages, do to record a message instead",Cmd.SendMessage,skip to play my messages do to record a message instead,instead messag message play record skip
"a self check is not what i wanted, how to clean them is",Help_CleanCare,a self check is not what i wanted how to clean them is,check clean how not self them want what
"i am not after how translate works, i am after to translate",Cmd.TranslationStart,i am not after how translate works i am after to translate,after am how not translate work
not my heart rate recovery — i meant my heart rate,Help_HeartRate,not my heart rate recovery i meant my heart rate,heart meant not rate recovery
not how translate works — i meant to translate,Cmd.TranslationStart,not how translate works i meant to translate,how meant not translate work
"skip streaming started, do streaming stopped instead",Cmd.StreamingStop,skip streaming started do streaming stopped instead,instead skip start stopp stream
