model,text,predicted,confidence,rejected_as_ood
Current INT8,I need to go to the airport tomorrow,streaming.session.start,0.3714865744113922,True
Current INT8,what is the weather going to be today,reminders.task.create,0.6769073009490967,True
Current INT8,call my brother when you get a chance,find.phone.locate,0.718578577041626,False
Current INT8,play some relaxing music,streaming.session.start,0.9883332848548889,False
Current INT8,open the camera,device.memory.change,0.4954582154750824,True
Current INT8,what time is it right now,device.volume.decrease,0.33759668469429016,True
Current INT8,how far away is the airport,device.volume.increase,0.44722962379455566,True
Current INT8,tell me a joke,device.memory.change,0.9486373066902161,False
Current INT8,I am going shopping this afternoon,device.memory.change,0.8100762963294983,False
Current INT8,send an email to my manager,streaming.session.start,0.44101428985595703,True
Current INT8,what is my battery percentage on the phone,find.phone.locate,0.9992586970329285,False
Current INT8,set an alarm for six in the morning,reminders.task.create,0.9838648438453674,False
Current INT8,show me the nearest restaurant,device.memory.change,0.8868818283081055,False
Current INT8,translate this sentence into Hindi,device.memory.change,0.7280626893043518,False
Current INT8,what is the capital of France,device.volume.increase,0.964694619178772,False
Current INT8,start navigation to the airport,streaming.session.start,0.9885241389274597,False
Current INT8,take a photo,device.memory.change,0.9457271099090576,False
Current INT8,open my calendar,streaming.session.stop,0.7823259234428406,False
Current INT8,what day is tomorrow,device.volume.decrease,0.4254499077796936,True
Current INT8,play the latest news,device.memory.change,0.36235255002975464,True
Current INT8,I need directions home,device.volume.increase,0.7384465336799622,False
Current INT8,connect to WiFi,streaming.session.start,0.992235004901886,False
Current INT8,turn on Bluetooth,device.volume.unmute,0.8941832184791565,False
Current INT8,check my email,reminders.task.complete,0.9490746855735779,False
Current INT8,what is the temperature outside,device.volume.increase,0.6842127442359924,True
Current INT8,remind me to buy milk next week,reminders.task.create,0.9995540976524353,False
Current INT8,book me a taxi,device.memory.change,0.9717556834220886,False
Current INT8,send a WhatsApp message,device.memory.change,0.904791533946991,False
Current INT8,open YouTube,streaming.session.start,0.5251960158348083,True
