text,intent
quand dois-je lancer un message d’alerte manuel ?,help.fall_alert.show
que fera mon aide auditive quand je serai tombé ?,help.fall_alert.show
quand puis-je intercepter un message texte d’alerte de chute ?,help.fall_alert.show
comment puis-je annuler un message texte d'alerte ?,help.fall_alert.show
où puis-je envoyer un texte d'alerte manuelle ?,help.fall_alert.show
quels sons vais-je entendre dans mon aide auditive si je tombe ?,help.fall_alert.show
qu'est-ce que j'entends lorsqu'un message texte d'alerte est reçu ?,help.fall_alert.show
comment puis-je intercepter un texte d'alerte manuelle ?,help.fall_alert.show
Quels sons vais-je entendre dans mes aides auditives si je tombe ?,help.fall_alert.show
où puis-je annuler un message texte d'alerte de chute ?,help.fall_alert.show
où puis-je annuler un texte d'alerte manuelle ?,help.fall_alert.show
comment puis-je lancer un message texte d'alerte manuelle ?,help.fall_alert.show
quand entendrais-je l'alerte envoyée ?,help.fall_alert.show
où puis-je intercepter le texte d'un message d'alerte ?,help.fall_alert.show
où puis-je arrêter une alerte de chute ?,help.fall_alert.show
où puis-je annuler un SMS d'alerte de chute ?,help.fall_alert.show
comment puis-je savoir si mon alerte manuelle a commencé ?,help.fall_alert.show
comment savoir si un message texte d'alerte est annulé ?,help.fall_alert.show
par où dois-je commencer un message texte d'alerte manuelle ?,help.fall_alert.show
comment activer l'alerte automatique ?,help.fall_alert.show
comment arrêter une alerte ?,help.fall_alert.show
quand dois-je arrêter un message texte d’alerte manuelle ?,help.fall_alert.show
quand dois-je commencer un texte d’alerte manuelle ?,help.fall_alert.show
comment puis-je lancer un message d'alerte manuel ?,help.fall_alert.show
l'alerte de chute ne fonctionne pas,help.fall_alert.show
comment dois-je envoyer un texte d'alerte manuelle ?,help.fall_alert.show
où puis-je arrêter une alerte ?,help.fall_alert.show
où puis-je lancer une alerte manuelle ?,help.fall_alert.show
où dois-je lancer une alerte manuelle ?,help.fall_alert.show
où puis-je envoyer une alerte manuelle ?,help.fall_alert.show
où puis-je lancer un message texte d'alerte manuelle ?,help.fall_alert.show
comment arrêter une alerte de chute ?,help.fall_alert.show
où puis-je intercepter un message texte d'alerte manuelle ?,help.fall_alert.show
comment puis-je lancer une alerte manuelle ?,help.fall_alert.show
quand puis-je annuler un message texte d'alerte ?,help.fall_alert.show
que peut faire mon aide auditive en cas de chute ?,help.fall_alert.show
où puis-je arrêter un message d'alerte de chute ?,help.fall_alert.show
comment créer un contact pour une alerte automne ?,help.fall_alert.show
où puis-je envoyer une alerte manuelle ?,help.fall_alert.show
aide-moi à intercepter une alerte de chute,help.fall_alert.show
comment dois-je envoyer une alerte manuelle ?,help.fall_alert.show
quand dois-je arrêter un message d’alerte ?,help.fall_alert.show
quand dois-je arrêter une alerte manuelle ?,help.fall_alert.show
que signifie l'alerte envoyée ?,help.fall_alert.show
que fait mon aide auditive quand je tombe ?,help.fall_alert.show
comment savoir si une alerte a été annulée ?,help.fall_alert.show
où puis-je intercepter un message texte d'alerte ?,help.fall_alert.show
par où commencer un message d'alerte manuelle ?,help.fall_alert.show
comment puis-je annuler un message d'alerte de chute ?,help.fall_alert.show
où puis-je arrêter un texte d'alerte ?,help.fall_alert.show
comment puis-je savoir si une alerte manuelle a été lancée ?,help.fall_alert.show
comment savoir si un message texte d'alerte est reçu ?,help.fall_alert.show
comment activer l'alerte automatique ?,help.fall_alert.show
quand pourrais-je intercepter un message texte d’alerte manuelle ?,help.fall_alert.show
où puis-je intercepter le texte d'un message d'alerte ?,help.fall_alert.show
comment puis-je arrêter un SMS d'alerte de chute ?,help.fall_alert.show
comment puis-je faire une démonstration de mes indicateurs d'alerte de chute ?,help.fall_alert.show
comment puis-je annuler un message d'alerte ?,help.fall_alert.show
à quoi ressemblent les indicateurs de chute ?,help.fall_alert.show
où puis-je annuler une alerte d'automne ?,help.fall_alert.show
quand puis-je annuler un message texte d'alerte manuelle ?,help.fall_alert.show
comment puis-je arrêter un SMS d'alerte ?,help.fall_alert.show
que fait mon aide auditive quand je tombe ?,help.fall_alert.show
où puis-je lancer un message d'alerte manuel ?,help.fall_alert.show
"aide, je suis tombé et je ne peux pas me relever",help.fall_alert.show
que font mes aides auditives en cas de chute ?,help.fall_alert.show
comment savoir si un message texte d'alerte est envoyé ?,help.fall_alert.show
qu'entendrai-je lorsqu'une alerte sera envoyée ?,help.fall_alert.show
comment puis-je intercepter un message texte d'alerte ?,help.fall_alert.show
où puis-je arrêter un message texte d'alerte ?,help.fall_alert.show
où dois-je envoyer une alerte manuelle ?,help.fall_alert.show
comment puis-je envoyer un SMS d'alerte manuelle ?,help.fall_alert.show
que peut faire mon aide auditive en cas de chute ?,help.fall_alert.show
où puis-je lancer une alerte manuelle ?,help.fall_alert.show
quelles sont les détections de chute,help.fall_alert.show
comment dois-je démarrer un message d'alerte manuel ?,help.fall_alert.show
quand puis-je intercepter un texte d’alerte de chute ?,help.fall_alert.show
quand dois-je lancer une alerte manuelle ?,help.fall_alert.show
quand dois-je arrêter une alerte SMS ?,help.fall_alert.show
comment configurer la détection de chute,help.fall_alert.show
comment puis-je annuler un texte d'alerte manuelle ?,help.fall_alert.show
comment puis-je envoyer un texte d'alerte manuelle ?,help.fall_alert.show
quand puis-je intercepter une alerte ?,help.fall_alert.show
qu'entendrais-je lorsqu'un message texte d'alerte est annulé ?,help.fall_alert.show
où puis-je arrêter un texte d'alerte de chute ?,help.fall_alert.show
quels sons vais-je entendre si je tombe ?,help.fall_alert.show
quand dois-je lancer un message d’alerte manuel ?,help.fall_alert.show
quand puis-je arrêter un message d'alerte manuelle ?,help.fall_alert.show
quand puis-je annuler un message d'alerte manuelle ?,help.fall_alert.show
où puis-je intercepter un message d'alerte de chute ?,help.fall_alert.show
que font mes aides auditives en cas de chute ?,help.fall_alert.show
